Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Am. Ind./AN,74,27,260,28,103,38,424,29,177,33,684,29,All Students,Arizona State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,276,60,918,61,259,68,929,67,535,64,1847,64,All Students,Arizona State University,***,***,8,38,8,38,***,***,3,100,4,100,***,***,11,55,12,58,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,178,42,586,37,203,43,755,43,381,42,1341,40,All Students,Arizona State University,15,67,48,48,58,74,4,75,10,80,18,100,19,68,58,53,76,80,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,583,45,1938,48,810,56,2659,54,1393,51,4597,51,All Students,Arizona State University,5,40,10,50,9,67,0,-,13,54,9,100,5,40,23,52,18,83,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Arizona State University,0,-,***,***,4,50,0,-,***,***,0,-,0,-,***,***,4,50,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,111,62,360,63,50,68,167,71,161,64,527,65,All Students,Arizona State University,***,***,6,67,9,78,***,***,11,73,18,72,***,***,17,71,27,74,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Arizona State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,125,48,658,53,156,60,672,60,281,55,1330,57,All Students,Arizona State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,2636,59,10035,58,2966,64,11464,63,5602,62,21499,61,All Students,Arizona State University,22,55,85,46,64,83,27,74,97,80,95,91,49,65,182,64,159,87,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3983,55,14755,55,4547,61,17070,60,8530,59,31825,58,All Students,Arizona State University,45,60,162,48,156,74,36,78,138,78,150,89,81,68,300,62,306,82,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
