School,Men Basketball,4-Class,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian University,16,92-c,0.92,Abilene Christian,31,11,20,0.355
Alabama A&M University,1,64-c,0.64,Alabama A&M,30,14,16,0.4
Alabama State University,13,91-c,0.91,Alabama,32,13,19,0.618
Alcorn State University,14,73-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
American University,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Appalachian State University,14,89-b,0.89,#N/A,#N/A,#N/A,#N/A,#N/A
Arizona State University,13,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Arkansas State University,12,71-d,0.71,Arkansas,34,22,12,0.387
Auburn University,11,100-c,1,Auburn,30,14,16,0.606
Austin Peay State University,13,71-d,0.71,Austin Peay,30,12,18,0.3
Ball State University,0,86-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
Baylor University,12,80-b,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
Belmont University,13,100-c,1,Belmont,36,26,10,0.647
Bethune-Cookman University,12,69-d,0.69,Bethune-Cookman,32,7,25,0.594
Binghamton University,13,92-c,0.92,Binghamton,30,7,23,0.419
Boise State University,13,79-c,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
Boston College,13,100-b,1,#N/A,#N/A,#N/A,#N/A,#N/A
Boston University,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Bowling Green State University,13,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Bradley University,13,93-c,0.93,Bradley,32,12,20,0.684
Brigham Young University,15,86-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
Brown University,0,96-e,0.96,Brown,29,15,14,0.219
Bryant University,13,85-c,0.85,Bryant,32,18,14,0.233
Bucknell University,12,100-c,1,Bucknell,30,16,14,0.618
Butler University,16,100-c,1,Butler,31,14,17,0.25
California Polytechnic State University,13,89-b,0.89,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Bakersfield,1,54-c,0.54,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Fresno,12,87-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Fullerton,14,81-d,0.81,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Northridge,7,62-c,0.62,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Sacramento,14,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Campbell University,13,100-c,1,Campbell,32,12,20,0.533
Canisius University,12,100-c,1,Canisius,34,21,13,0.655
Centenary College (Louisiana),0,100-a,1,#N/A,#N/A,#N/A,#N/A,#N/A
Central Connecticut State University,12,55-c,0.55,#N/A,#N/A,#N/A,#N/A,#N/A
Central Michigan University,13,93-c,0.93,Central Michigan,31,10,21,0.406
Charleston Southern University,13,83-b,0.83,Charleston Southern,31,13,18,0.355
Chicago State University,13,100-b,1,#N/A,#N/A,#N/A,#N/A,#N/A
Clemson University,13,100-c,1,Clemson,36,23,13,0.6
Cleveland State University,13,91-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Coastal Carolina University,14,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Colgate University,12,100-c,1,Colgate,31,13,18,0.276
College of Charleston (South Carolina),12,80-c,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
College of the Holy Cross,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Colorado State University,16,71-c,0.71,#N/A,#N/A,#N/A,#N/A,#N/A
Columbia University-Barnard College,0,94-d,0.94,#N/A,#N/A,#N/A,#N/A,#N/A
Coppin State University,15,44-b,0.44,#N/A,#N/A,#N/A,#N/A,#N/A
Cornell University,0,100-d,1,Cornell,28,2,26,0.406
Creighton University,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Dartmouth College,14,100-c,1,Dartmouth,28,12,16,0.639
Davidson College,11,100-c,1,Davidson,33,20,13,0.636
DePaul University,13,61-d,1,DePaul,33,12,21,0.618
Delaware State University,21,100-c,0.61,#N/A,#N/A,#N/A,#N/A,#N/A
Drake University,16,100-c,1,Drake,31,15,16,0.438
Drexel University,13,100-c,1,Drexel,30,16,14,0.657
Duke University,11,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Duquesne University,13,100-c,1,Duquesne,30,13,17,0.618
East Carolina University,14,69-c,0.69,East Carolina,34,17,17,0.8
East Tennessee State University,16,77-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
Eastern Illinois University,20,92-c,0.92,Eastern Illinois,30,11,19,0.071
Eastern Kentucky University,13,75-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
Eastern Michigan University,16,100-c,1,Eastern Michigan,37,22,15,0.429
Eastern Washington University,12,100-c,1,Eastern Washington,31,15,16,0.606
Elon University,17,79-c,0.79,Elon,32,18,14,0.703
Fairfield University,11,93-c,0.93,Fairfield,32,7,25,0.714
Fairleigh Dickinson University Metropolitan Campus,15,60-d,0.6,#N/A,#N/A,#N/A,#N/A,#N/A
Florida A&M University,13,68-d,0.68,Florida A&M,32,14,18,0.516
Florida Atlantic University,5,63-d,0.63,Florida Atlantic,32,10,22,0.364
Florida Gulf Coast University,13,50-c,0.5,Florida Gulf Coast,35,22,13,0.406
Florida International University,4,86-c,0.86,Florida International,31,15,16,0.484
Florida State University,11,83-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
