School,Metric,All Students 2013-14,All Students 2023-24,Student-Athletes 2013-14,Student-Athletes 2023-24
1 - DI CA Test,2017-18 Graduation Rate -,,,-,
1 - DI CA Test,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
1 - DI CA Test,Four-Class Average -,,,25%,
1 - DI CA Test,Student-Athlete Graduation Success Rate,,,33%,
Abilene Christian University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Abilene Christian University,Student-Athlete Graduation Success Rate,,,90%,
Abilene Christian University,2007-08 Graduation Rate,,57%,,55%
Abilene Christian University,2017-18 Graduation Rate,60%,,73%,
Abilene Christian University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Abilene Christian University,Four-Class Average,62%,58%,66%,57%
Abilene Christian University,Student-Athlete Academic Success Rate,,,,66%
Alabama A&M University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Alabama A&M University,Student-Athlete Graduation Success Rate,,,77%,50%
Alabama A&M University,2007-08 Graduation Rate,,29%,,33%
Alabama A&M University,2017-18 Graduation Rate,29%,,51%,
Alabama A&M University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Alabama A&M University,Four-Class Average,28%,41%,50%,46%
Alabama State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Alabama State University,Student-Athlete Graduation Success Rate,,,79%,70%
Alabama State University,2007-08 Graduation Rate,,25%,,46%
Alabama State University,2017-18 Graduation Rate,30%,,55%,
Alabama State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Alabama State University,Four-Class Average,30%,25%,56%,45%
Alcorn State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Alcorn State University,Student-Athlete Graduation Success Rate,,,81%,67%
Alcorn State University,2007-08 Graduation Rate,,34%,,30%
Alcorn State University,2017-18 Graduation Rate,46%,,70%,
Alcorn State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Alcorn State University,Four-Class Average,45%,35%,62%,35%
American University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
American University,Student-Athlete Graduation Success Rate,,,94%,94%
American University,2007-08 Graduation Rate,,80%,,86%
American University,2017-18 Graduation Rate,79%,,63%,
American University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
American University,Four-Class Average,79%,78%,71%,74%
Appalachian State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Appalachian State University,Student-Athlete Graduation Success Rate,,,89%,82%
Appalachian State University,2007-08 Graduation Rate,,69%,,73%
Appalachian State University,2017-18 Graduation Rate,73%,,76%,
Appalachian State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Appalachian State University,Four-Class Average,73%,67%,65%,63%
Arizona State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Arizona State University,Student-Athlete Graduation Success Rate,,,93%,82%
Arizona State University,2007-08 Graduation Rate,,59%,,68%
Arizona State University,2017-18 Graduation Rate,69%,,71%,
Arizona State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Arizona State University,Four-Class Average,68%,58%,66%,62%
Arkansas State University,2017-18 Graduation Rate -,,,66%,
Arkansas State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
