Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2007,Arizona State University,Pac-12 Conference,Overall,AZ,82,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/28.pdf?v=1750871843630
2007,University of Arizona,Pac-12 Conference,Overall,AZ,75,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/29.pdf?v=1750871843630
2007,Arkansas State University,Sun Belt Conference,Overall,AR,70,55,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/30.pdf?v=1750871843630
2007,"University of Arkansas, Fayetteville",Southeastern Conference,Overall,AR,76,53,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/31.pdf?v=1750871843630
2007,University of Arkansas at Little Rock,Sun Belt Conference,Overall,AR,79,49,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/32.pdf?v=1750871843630
2007,Auburn University,Southeastern Conference,Overall,AL,78,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/37.pdf?v=1750871843630
2007,Austin Peay State University,Ohio Valley Conference,Overall,TN,77,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/43.pdf?v=1750871843630
2007,Ball State University,Mid-American Conference,Overall,IN,72,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/47.pdf?v=1750871843630
2007,Charleston Southern University,Big South Conference,Overall,SC,74,51,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/48.pdf?v=1750871843630
2007,Baylor University,Big 12 Conference,Overall,TX,88,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/51.pdf?v=1750871843630
2007,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Overall,FL,65,48,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/61.pdf?v=1750871843630
2007,Binghamton University,America East Conference,Overall,NY,85,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/62.pdf?v=1750871843630
2007,Boise State University,Mountain West Conference,Overall,ID,79,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/66.pdf?v=1750871843630
2007,Boston College,Atlantic Coast Conference,Overall,MA,95,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/67.pdf?v=1750871843630
2007,Boston University,Patriot League,Overall,MA,95,80,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/68.pdf?v=1750871843630
2007,Bowling Green State University,Mid-American Conference,Overall,OH,86,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/71.pdf?v=1750871843630
2007,Bradley University,Missouri Valley Conference,Overall,IL,91,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/72.pdf?v=1750871843630
2007,Brigham Young University,West Coast Conference,Overall,UT,73,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/77.pdf?v=1750871843630
2007,Brown University,The Ivy League,Overall,RI,98,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/80.pdf?v=1750871843630
2007,Bryant University,Northeast Conference,Overall,RI,92,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/81.pdf?v=1750871843630
