,Basketball,Baseball,CC/Track,Football,Other,School
Am. Ind./AN,0,0,0,2,0,Abilene Christian University
Asian,0,0,0,0,0,Abilene Christian University
Black,7,1,9,51,0,Abilene Christian University
Hispanic,0,6,0,12,1,Abilene Christian University
Nat. Haw./PI,0,0,0,0,0,Abilene Christian University
N-R Alien,2,1,5,1,4,Abilene Christian University
Two or More,0,0,0,1,0,Abilene Christian University
Unknown,0,0,0,2,0,Abilene Christian University
White,7,44,16,64,15,Abilene Christian University
Total,16,52,30,133,20,Abilene Christian University
Am. Ind./AN,0,0,0,0,0,Alabama A&M University
Asian,0,0,0,0,0,Alabama A&M University
Black,1,2,2,4,3,Alabama A&M University
Hispanic,0,2,0,0,0,Alabama A&M University
Nat. Haw./PI,0,0,0,0,0,Alabama A&M University
N-R Alien,0,0,0,0,0,Alabama A&M University
Two or More,0,0,0,0,0,Alabama A&M University
Unknown,0,0,0,0,0,Alabama A&M University
White,0,1,0,0,1,Alabama A&M University
Total,1,5,2,4,4,Alabama A&M University
Am. Ind./AN,0,0,0,0,0,Alabama State University
Asian,0,0,0,0,0,Alabama State University
Black,12,3,19,63,2,Alabama State University
Hispanic,0,17,1,0,1,Alabama State University
Nat. Haw./PI,0,0,0,0,0,Alabama State University
N-R Alien,1,2,0,0,11,Alabama State University
Two or More,0,0,0,2,0,Alabama State University
Unknown,0,0,0,2,0,Alabama State University
White,0,7,0,1,0,Alabama State University
Total,13,29,20,68,14,Alabama State University
Am. Ind./AN,0,0,0,0,0,Alcorn State University
Asian,0,0,0,0,0,Alcorn State University
Black,13,14,12,73,4,Alcorn State University
Hispanic,0,10,1,0,1,Alcorn State University
Nat. Haw./PI,0,0,0,4,0,Alcorn State University
N-R Alien,1,1,0,1,4,Alcorn State University
Two or More,0,2,0,0,1,Alcorn State University
Unknown,0,0,0,0,0,Alcorn State University
White,0,0,0,2,0,Alcorn State University
Total,14,27,13,80,10,Alcorn State University
Am. Ind./AN,0,0,0,0,1,American University
Asian,0,0,0,0,2,American University
Black,1,0,1,0,2,American University
Hispanic,0,0,1,0,4,American University
Nat. Haw./PI,0,0,0,0,0,American University
N-R Alien,2,0,0,0,4,American University
Two or More,0,0,0,0,0,American University
Unknown,6,0,0,0,6,American University
White,4,0,8,0,14,American University
Total,13,0,10,0,33,American University
Am. Ind./AN,0,0,0,1,2,Appalachian State University
Asian,0,0,0,0,0,Appalachian State University
Black,10,3,5,50,4,Appalachian State University
Hispanic,0,1,1,1,0,Appalachian State University
Nat. Haw./PI,0,0,0,0,0,Appalachian State University
N-R Alien,2,0,0,0,7,Appalachian State University
Two or More,1,4,0,5,1,Appalachian State University
Unknown,0,0,0,0,0,Appalachian State University
White,1,19,22,24,47,Appalachian State University
Total,14,27,28,81,61,Appalachian State University
Am. Ind./AN,0,0,0,0,0,Arizona State University
Asian,1,0,1,1,0,Arizona State University
Black,7,0,11,50,6,Arizona State University
Hispanic,0,5,1,2,1,Arizona State University
Nat. Haw./PI,0,0,0,5,0,Arizona State University
N-R Alien,3,0,0,1,13,Arizona State University
Two or More,0,1,2,5,4,Arizona State University
Unknown,0,0,0,1,0,Arizona State University
White,2,21,7,19,23,Arizona State University
Total,13,27,22,84,47,Arizona State University
Am. Ind./AN,0,0,0,0,0,Arkansas State University
Asian,0,0,0,0,0,Arkansas State University
Black,10,1,4,48,0,Arkansas State University
Hispanic,0,0,2,0,0,Arkansas State University
Nat. Haw./PI,0,0,0,0,0,Arkansas State University
N-R Alien,0,1,3,1,3,Arkansas State University
Two or More,0,0,1,5,0,Arkansas State University
Unknown,0,2,2,1,0,Arkansas State University
White,2,25,14,16,6,Arkansas State University
Total,12,29,26,71,9,Arkansas State University
Am. Ind./AN,0,0,0,1,0,Auburn University
Asian,0,0,0,0,0,Auburn University
Black,9,3,9,65,0,Auburn University
Hispanic,0,0,3,0,0,Auburn University
Nat. Haw./PI,0,0,0,0,0,Auburn University
N-R Alien,2,0,2,0,16,Auburn University
Two or More,0,0,0,0,0,Auburn University
Unknown,0,1,2,5,0,Auburn University
White,0,23,20,15,27,Auburn University
Total,11,27,36,86,43,Auburn University
Am. Ind./AN,0,0,0,0,0,Austin Peay State University
Asian,0,0,1,0,0,Austin Peay State University
Black,9,0,1,50,0,Austin Peay State University
Hispanic,0,3,0,0,0,Austin Peay State University
Nat. Haw./PI,0,0,0,2,0,Austin Peay State University
N-R Alien,1,0,2,0,10,Austin Peay State University
Two or More,0,0,0,0,0,Austin Peay State University
Unknown,0,2,0,0,0,Austin Peay State University
White,3,19,6,32,5,Austin Peay State University
Total,13,24,10,84,15,Austin Peay State University
Am. Ind./AN,0,0,0,0,0,Ball State University
Asian,0,0,0,0,0,Ball State University
Black,0,0,0,0,0,Ball State University
Hispanic,0,0,0,0,0,Ball State University
Nat. Haw./PI,0,0,0,0,0,Ball State University
N-R Alien,0,0,0,0,0,Ball State University
Two or More,0,0,0,0,0,Ball State University
Unknown,0,0,0,0,0,Ball State University
White,0,0,0,0,0,Ball State University
Total,0,0,0,0,0,Ball State University
Am. Ind./AN,0,0,0,1,0,Baylor University
Asian,0,0,0,0,0,Baylor University
Black,5,0,12,51,0,Baylor University
Hispanic,0,2,0,2,0,Baylor University
Nat. Haw./PI,0,0,0,0,0,Baylor University
N-R Alien,2,0,2,4,16,Baylor University
Two or More,3,2,2,3,0,Baylor University
Unknown,0,0,0,0,0,Baylor University
White,2,21,7,18,4,Baylor University
Total,12,25,23,79,20,Baylor University
Am. Ind./AN,0,0,0,0,0,Belmont University
Asian,0,0,0,0,1,Belmont University
Black,2,0,1,0,1,Belmont University
Hispanic,1,1,0,0,4,Belmont University
Nat. Haw./PI,0,0,0,0,0,Belmont University
N-R Alien,0,0,4,0,13,Belmont University
Two or More,0,1,0,0,0,Belmont University
Unknown,0,1,1,0,0,Belmont University
White,10,22,12,0,10,Belmont University
Total,13,25,18,0,29,Belmont University
Am. Ind./AN,0,0,0,0,0,Bethune-Cookman University
Asian,0,0,0,0,0,Bethune-Cookman University
Black,12,4,33,111,3,Bethune-Cookman University
Hispanic,0,11,0,0,2,Bethune-Cookman University
Nat. Haw./PI,0,0,0,0,0,Bethune-Cookman University
N-R Alien,0,0,1,0,3,Bethune-Cookman University
Two or More,0,1,0,0,0,Bethune-Cookman University
Unknown,0,0,0,0,0,Bethune-Cookman University
White,0,21,0,5,0,Bethune-Cookman University
Total,12,37,34,116,8,Bethune-Cookman University
Am. Ind./AN,0,0,0,0,0,Binghamton University
Asian,0,0,1,0,3,Binghamton University
Black,9,1,2,0,2,Binghamton University
Hispanic,0,1,1,0,3,Binghamton University
Nat. Haw./PI,0,0,0,0,0,Binghamton University
N-R Alien,2,1,0,0,17,Binghamton University
Two or More,0,1,1,0,4,Binghamton University
Unknown,1,1,1,0,7,Binghamton University
White,1,22,26,0,70,Binghamton University
Total,13,27,32,0,106,Binghamton University
Am. Ind./AN,0,0,0,1,1,Boise State University
Asian,0,0,0,1,2,Boise State University
Black,6,0,5,31,0,Boise State University
Hispanic,0,0,0,5,4,Boise State University
Nat. Haw./PI,0,0,0,3,0,Boise State University
N-R Alien,4,0,3,4,3,Boise State University
Two or More,0,0,0,1,2,Boise State University
Unknown,0,0,0,0,0,Boise State University
White,3,0,14,33,30,Boise State University
Total,13,0,22,79,42,Boise State University
Am. Ind./AN,0,0,0,0,0,Boston College
Asian,0,0,0,0,0,Boston College
Black,4,1,0,23,0,Boston College
Hispanic,1,0,0,2,0,Boston College
Nat. Haw./PI,0,0,0,1,0,Boston College
N-R Alien,2,0,0,3,12,Boston College
Two or More,0,0,0,2,1,Boston College
Unknown,2,5,0,18,5,Boston College
White,4,15,0,34,20,Boston College
Total,13,21,0,83,38,Boston College
Am. Ind./AN,0,0,0,0,2,Boston University
Asian,0,0,0,0,1,Boston University
Black,10,0,4,0,1,Boston University
Hispanic,0,0,0,0,5,Boston University
Nat. Haw./PI,0,0,0,0,0,Boston University
N-R Alien,1,0,2,0,27,Boston University
Two or More,0,0,0,0,0,Boston University
Unknown,2,0,0,0,9,Boston University
White,0,0,10,0,70,Boston University
Total,13,0,16,0,115,Boston University
Am. Ind./AN,1,0,0,1,0,Bowling Green State University
Asian,0,0,0,0,0,Bowling Green State University
Black,9,0,0,43,1,Bowling Green State University
Hispanic,1,1,0,0,1,Bowling Green State University
Nat. Haw./PI,0,0,0,1,0,Bowling Green State University
N-R Alien,0,0,0,0,13,Bowling Green State University
Two or More,0,1,0,6,1,Bowling Green State University
Unknown,1,0,0,2,3,Bowling Green State University
White,1,23,0,34,39,Bowling Green State University
Total,13,25,0,87,58,Bowling Green State University
Am. Ind./AN,0,0,0,0,0,Bradley University
Asian,1,0,0,0,2,Bradley University
Black,9,0,0,0,1,Bradley University
Hispanic,0,1,2,0,3,Bradley University
Nat. Haw./PI,0,0,0,0,0,Bradley University
N-R Alien,1,0,0,0,9,Bradley University
Two or More,0,0,0,0,1,Bradley University
Unknown,0,0,0,0,0,Bradley University
White,2,26,13,0,18,Bradley University
Total,13,27,15,0,34,Bradley University
Am. Ind./AN,0,0,0,0,1,Brigham Young University
Asian,0,0,0,0,3,Brigham Young University
Black,3,1,5,14,0,Brigham Young University
Hispanic,0,2,1,1,7,Brigham Young University
Nat. Haw./PI,0,0,0,30,4,Brigham Young University
N-R Alien,0,0,1,0,2,Brigham Young University
Two or More,0,0,0,13,0,Brigham Young University
Unknown,0,1,0,0,0,Brigham Young University
White,12,22,41,37,46,Brigham Young University
Total,15,26,48,95,63,Brigham Young University
Am. Ind./AN,0,0,0,0,0,Brown University
Asian,0,0,0,0,0,Brown University
Black,0,0,0,0,0,Brown University
Hispanic,0,0,0,0,0,Brown University
Nat. Haw./PI,0,0,0,0,0,Brown University
N-R Alien,0,0,0,0,0,Brown University
Two or More,0,0,0,0,0,Brown University
Unknown,0,0,0,0,0,Brown University
White,0,0,0,0,0,Brown University
Total,0,0,0,0,0,Brown University
Am. Ind./AN,0,0,0,0,1,Bryant University
Asian,1,0,1,0,2,Bryant University
Black,4,0,0,35,1,Bryant University
Hispanic,0,0,0,4,6,Bryant University
Nat. Haw./PI,0,0,0,0,2,Bryant University
