,Basketball,CC/Track,Other,School
Am. Ind./AN,0,0,1,Abilene Christian University
Asian,1,0,0,Abilene Christian University
Black,6,7,1,Abilene Christian University
Hispanic,1,5,7,Abilene Christian University
Nat. Haw./PI,0,0,0,Abilene Christian University
N-R Alien,0,1,0,Abilene Christian University
Two or More,0,0,0,Abilene Christian University
Unknown,0,0,0,Abilene Christian University
White,5,21,56,Abilene Christian University
Total,13,34,65,Abilene Christian University
Am. Ind./AN,0,0,0,Alabama A&M University
Asian,0,0,0,Alabama A&M University
Black,2,1,9,Alabama A&M University
Hispanic,0,0,0,Alabama A&M University
Nat. Haw./PI,0,0,0,Alabama A&M University
N-R Alien,0,0,1,Alabama A&M University
Two or More,0,0,0,Alabama A&M University
Unknown,0,0,0,Alabama A&M University
White,0,0,0,Alabama A&M University
Total,2,1,10,Alabama A&M University
Am. Ind./AN,0,0,0,Alabama State University
Asian,0,0,1,Alabama State University
Black,13,23,32,Alabama State University
Hispanic,0,0,7,Alabama State University
Nat. Haw./PI,0,0,0,Alabama State University
N-R Alien,0,0,13,Alabama State University
Two or More,3,0,3,Alabama State University
Unknown,1,0,2,Alabama State University
White,0,1,7,Alabama State University
Total,17,24,65,Alabama State University
Am. Ind./AN,0,0,0,Alcorn State University
Asian,0,0,1,Alcorn State University
Black,11,25,13,Alcorn State University
Hispanic,0,0,1,Alcorn State University
Nat. Haw./PI,1,0,0,Alcorn State University
N-R Alien,1,0,17,Alcorn State University
Two or More,1,0,4,Alcorn State University
Unknown,0,0,0,Alcorn State University
White,0,0,12,Alcorn State University
Total,14,25,48,Alcorn State University
Am. Ind./AN,0,0,0,American University
Asian,0,0,2,American University
Black,5,1,0,American University
Hispanic,0,3,4,American University
Nat. Haw./PI,0,0,0,American University
N-R Alien,1,0,7,American University
Two or More,0,0,3,American University
Unknown,0,1,11,American University
White,5,6,44,American University
Total,11,11,71,American University
Am. Ind./AN,0,0,0,Appalachian State University
Asian,0,0,2,Appalachian State University
Black,7,10,1,Appalachian State University
Hispanic,1,0,3,Appalachian State University
Nat. Haw./PI,0,0,0,Appalachian State University
N-R Alien,0,0,2,Appalachian State University
Two or More,1,2,6,Appalachian State University
Unknown,0,0,0,Appalachian State University
White,6,25,88,Appalachian State University
Total,15,37,102,Appalachian State University
Am. Ind./AN,0,0,0,Arizona State University
Asian,1,0,2,Arizona State University
Black,6,7,5,Arizona State University
Hispanic,0,2,12,Arizona State University
Nat. Haw./PI,0,0,1,Arizona State University
N-R Alien,1,1,27,Arizona State University
Two or More,1,2,11,Arizona State University
Unknown,0,0,1,Arizona State University
White,5,16,60,Arizona State University
Total,14,28,119,Arizona State University
Am. Ind./AN,0,0,0,Arkansas State University
Asian,0,0,0,Arkansas State University
Black,10,10,3,Arkansas State University
Hispanic,0,1,2,Arkansas State University
Nat. Haw./PI,0,0,0,Arkansas State University
N-R Alien,0,2,17,Arkansas State University
Two or More,1,0,3,Arkansas State University
Unknown,0,0,1,Arkansas State University
White,4,13,35,Arkansas State University
Total,15,26,61,Arkansas State University
Am. Ind./AN,0,0,1,Auburn University
Asian,0,0,1,Auburn University
Black,10,12,12,Auburn University
Hispanic,0,1,7,Auburn University
Nat. Haw./PI,0,0,0,Auburn University
