School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,
Abilene Christian University,100-c,1,Abilene Christian,34,16,18,0.471,
Alabama A&M University,71-b,0.71,Alabama A&M,35,12,23,0.343,
Alabama State University,68-d,0.68,Alabama State,32,13,19,0.406,
Alcorn State University,59-d,0.59,Alcorn State,32,14,18,0.438,
American University,82-c,0.82,American,32,16,16,0.5,
Appalachian State University,100-b,1,Appalachian State,34,27,7,0.794,
Arizona State University,100-c,1,Arizona State,32,14,18,0.438,
Arkansas State University,88-d,0.88,Arkansas State,37,20,17,0.541,
Auburn University,70-b,0.7,Auburn NCAA,35,27,8,0.771,
Austin Peay State University,91-c,0.91,Austin Peay,35,19,16,0.543,
Ball State University,93-c,0.93,Ball State,31,15,16,0.484,
Baylor University,67-b,0.67,Baylor NCAA,35,24,11,0.686,
Belmont University,100-b,1,Belmont,33,20,13,0.606,
Bethune-Cookman University,79-c,0.79,Bethune-Cookman,34,17,17,0.5,
Binghamton University,86-b,0.86,Binghamton,30,15,15,0.5,
Boise State University,92-c,0.92,Boise State NCAA,33,22,11,0.667,
Boston College,100-b,1,Boston College,36,20,16,0.556,
Boston University,100-c,1,Boston University,33,16,17,0.485,
Bowling Green State University,92-c,0.92,Bowling Green State,34,20,14,0.588,
Bradley University,100-c,1,Bradley,35,23,12,0.657,
Brigham Young University,88-b,0.88,Brigham Young NCAA,34,23,11,0.676,
Brown University,94-d,0.94,Brown,31,13,18,0.419,
Bryant University,90-b,0.9,Bryant,33,20,13,0.606,
Bucknell University,91-c,0.91,Bucknell,33,14,19,0.424,
Butler University,86-c,0.86,Butler,33,18,15,0.545,
California Baptist University,85-c,0.85,California Baptist,33,16,17,0.485,
California Polytechnic State University,100-c,1,Cal Poly,32,4,28,0.125,
California State University Bakersfield,93-c,0.93,Cal State Bakersfield,32,13,19,0.406,
California State University Fresno,83-b,0.83,Fresno State,33,12,21,0.364,
California State University Fullerton,90-b,0.9,Cal State Fullerton,32,14,18,0.438,
California State University Northridge,53-d,0.53,Cal State Northridge,34,19,15,0.559,
California State University Sacramento,88-d,0.88,Sacramento State,34,10,24,0.294,*
Campbell University,100-c,1,Campbell,32,14,18,0.438,
Canisius University,90-b,0.9,Canisius,32,14,18,0.438,
Central Connecticut State University,83-c,0.83,Central Connecticut State,31,20,11,0.645,
Central Michigan University,76-d,0.76,Central Michigan,32,18,14,0.563,
Charleston Southern University,93-c,0.93,Charleston Southern,30,10,20,0.333,
Chicago State University,56-d,0.56,Chicago State,32,13,19,0.406,
Clemson University,100-b,1,Clemson NCAA,36,24,12,0.667,
Cleveland State University,100-c,1,Cleveland State,36,21,15,0.583,
Coastal Carolina University,89-b,0.89,Coastal Carolina,31,9,22,0.29,
Colgate University,85-c,0.85,Colgate NCAA,35,25,10,0.714,
College of Charleston (South Carolina),92-c,0.92,College of Charleston NCAA,35,27,8,0.771,
College of the Holy Cross,100-b,1,Holy Cross,33,10,23,0.303,
Colorado State University,90-b,0.9,Colorado State NCAA,36,25,11,0.694,
Columbia University-Barnard College,100-d,1,Columbia,27,13,14,0.481,
Coppin State University,82-c,0.82,Coppin State,29,2,27,0.069,
Cornell University,100-d,1,Cornell,30,22,8,0.733,
Creighton University,91-c,0.91,Creighton NCAA,35,25,10,0.714,
Dartmouth College,100-c,1,Dartmouth,27,6,21,0.222,
Davidson College,91-c,0.91,Davidson,32,15,17,0.469,
Delaware State University,73-c,0.73,Delaware State,34,15,19,0.441,
DePaul University,86-b,0.86,DePaul,32,3,29,0.094,
Drake University,79-c,0.79,Drake NCAA,35,28,7,0.8,
Drexel University,100-c,1,Drexel,32,20,12,0.625,
Duke University,67-b,0.67,Duke NCAA,36,27,9,0.75,
Duquesne University,100-b,1,Duquesne NCAA,37,25,12,0.676,
East Carolina University,82-c,0.82,East Carolina,33,15,18,0.455,
East Tennessee State University,89-d,0.89,East Tennessee State,35,19,16,0.543,
Eastern Illinois University,71-c,0.71,Eastern Illinois,32,14,18,0.438,
Eastern Kentucky University,92-c,0.92,Eastern Kentucky,31,17,14,0.548,
Eastern Michigan University,93-c,0.93,Eastern Michigan,31,13,18,0.419,
Eastern Washington University,100-b,1,Eastern Washington,32,21,11,0.656,
Elon University,100-c,1,Elon,32,13,19,0.406,
Fairfield University,100-c,1,Fairfield,37,24,13,0.649,
Fairleigh Dickinson University Metropolitan Campus,83-c,0.83,,,,,,*
Florida A&M University,62-e,0.62,Florida A&M,29,6,23,0.207,
Florida Atlantic University,100-c,1,Florida Atlantic NCAA,34,25,9,0.735,
Florida Gulf Coast University,93-c,0.93,Florida Gulf Coast,32,14,18,0.438,
Florida International University,81-d,0.81,Florida International,33,11,22,0.333,
Florida State University,100-c,1,Florida State,33,17,16,0.515,
Fordham University,93-c,0.93,Fordham,33,13,20,0.394,
Furman University,100-c,1,Furman,33,17,16,0.515,
Gardner-Webb University,100-b,1,Gardner-Webb,33,17,16,0.515,
George Mason University,100-b,1,George Mason,32,20,12,0.625,
George Washington University,100-b,1,George Washington,32,15,17,0.469,
Georgetown University,73-c,0.73,Georgetown,32,9,23,0.281,
Georgia Institute of Technology,75-c,0.75,Georgia Tech,32,14,18,0.438,
Georgia Southern University,73-c,0.73,Georgia Southern,33,9,24,0.273,
Georgia State University,91-c,0.91,Georgia State,31,14,17,0.452,
Gonzaga University,89-b,0.89,Gonzaga NCAA,35,27,8,0.771,
Grambling State University,86-c,0.86,Grambling NCAA,36,21,15,0.583,
Grand Canyon University,69-d,0.69,Grand Canyon NCAA,35,30,5,0.857,
Hampton University,75-c,0.75,Hampton,33,9,24,0.273,
Harvard University,100-d,1,Harvard,27,14,13,0.519,
High Point University,100-b,1,High Point,36,27,9,0.75,
