Race,Men  Basketball,Men  Baseball,Men  CC/Track,Men  Football,Men  Other,School,Sport Category
Am. Ind./AN,0,0,0,0,0,1 - DI CA Test,Men
Asian,0,0,0,0,0,1 - DI CA Test,Men
Black,0,0,0,0,0,1 - DI CA Test,Men
Hispanic,0,0,0,0,0,1 - DI CA Test,Men
Nat. Haw./PI,0,0,0,0,0,1 - DI CA Test,Men
US N-R,0,0,0,0,0,1 - DI CA Test,Men
Two or More,0,0,0,0,0,1 - DI CA Test,Men
Unknown,0,0,0,0,0,1 - DI CA Test,Men
White,0,0,0,0,0,1 - DI CA Test,Men
Total,0,0,0,0,0,1 - DI CA Test,Men
Am. Ind./AN,0,4,2,3,0,Abilene Christian University,Men
Asian,0,0,1,0,0,Abilene Christian University,Men
Black,7,2,7,53,0,Abilene Christian University,Men
Hispanic,1,4,4,3,0,Abilene Christian University,Men
Nat. Haw./PI,0,0,0,0,0,Abilene Christian University,Men
US N-R,4,3,2,1,10,Abilene Christian University,Men
Two or More,0,0,0,0,0,Abilene Christian University,Men
Unknown,0,0,0,0,0,Abilene Christian University,Men
White,1,17,12,24,9,Abilene Christian University,Men
Total,13,30,28,84,19,Abilene Christian University,Men
Am. Ind./AN,0,0,0,0,0,Alabama A&M University,Men
Asian,0,0,0,0,0,Alabama A&M University,Men
Black,11,13,20,75,1,Alabama A&M University,Men
Hispanic,0,7,0,1,7,Alabama A&M University,Men
Nat. Haw./PI,0,0,0,0,0,Alabama A&M University,Men
US N-R,2,0,1,0,1,Alabama A&M University,Men
Two or More,0,0,0,1,2,Alabama A&M University,Men
Unknown,0,0,0,0,0,Alabama A&M University,Men
White,0,7,0,1,2,Alabama A&M University,Men
Total,13,27,21,78,13,Alabama A&M University,Men
Am. Ind./AN,0,0,0,0,0,Alabama State University,Men
Asian,0,0,0,0,1,Alabama State University,Men
Black,13,5,14,94,0,Alabama State University,Men
Hispanic,0,15,0,0,0,Alabama State University,Men
Nat. Haw./PI,0,0,0,0,0,Alabama State University,Men
US N-R,0,0,3,0,11,Alabama State University,Men
Two or More,0,0,0,0,0,Alabama State University,Men
Unknown,0,0,0,0,1,Alabama State University,Men
White,0,4,0,4,4,Alabama State University,Men
Total,13,24,17,98,17,Alabama State University,Men
Am. Ind./AN,0,1,0,1,0,Alcorn State University,Men
Asian,0,0,0,0,0,Alcorn State University,Men
Black,12,8,10,56,0,Alcorn State University,Men
Hispanic,0,4,0,0,0,Alcorn State University,Men
Nat. Haw./PI,0,0,0,0,0,Alcorn State University,Men
US N-R,0,1,3,2,0,Alcorn State University,Men
Two or More,0,0,0,0,0,Alcorn State University,Men
Unknown,0,0,0,0,0,Alcorn State University,Men
White,0,6,0,2,0,Alcorn State University,Men
Total,12,20,13,61,0,Alcorn State University,Men
Am. Ind./AN,0,0,0,0,0,American University,Men
Asian,0,0,0,0,0,American University,Men
Black,3,0,2,0,6,American University,Men
Hispanic,0,0,1,0,11,American University,Men
Nat. Haw./PI,0,0,0,0,0,American University,Men
US N-R,2,0,0,0,4,American University,Men
Two or More,3,0,0,0,3,American University,Men
Unknown,1,0,0,0,1,American University,Men
White,4,0,11,0,26,American University,Men
Total,13,0,14,0,51,American University,Men
Am. Ind./AN,0,0,0,0,0,Appalachian State University,Men
Asian,0,0,0,0,0,Appalachian State University,Men
Black,10,0,6,40,2,Appalachian State University,Men
Hispanic,0,2,0,4,2,Appalachian State University,Men
Nat. Haw./PI,0,0,0,0,0,Appalachian State University,Men
US N-R,0,1,0,1,3,Appalachian State University,Men
Two or More,0,2,1,5,0,Appalachian State University,Men
Unknown,0,0,0,1,0,Appalachian State University,Men
White,1,21,13,20,23,Appalachian State University,Men
Total,11,26,20,71,30,Appalachian State University,Men
Am. Ind./AN,0,0,0,0,0,Arizona State University,Men
Asian,0,1,0,0,2,Arizona State University,Men
Black,8,0,4,47,0,Arizona State University,Men
Hispanic,0,6,0,6,10,Arizona State University,Men
Nat. Haw./PI,0,1,0,9,0,Arizona State University,Men
US N-R,2,0,3,0,18,Arizona State University,Men
Two or More,0,1,0,5,2,Arizona State University,Men
Unknown,0,3,1,6,2,Arizona State University,Men
White,1,19,3,12,36,Arizona State University,Men
Total,11,31,11,85,70,Arizona State University,Men
Am. Ind./AN,0,0,0,2,0,Arkansas State University,Men
Asian,0,1,0,0,0,Arkansas State University,Men
Black,12,3,7,68,0,Arkansas State University,Men
Hispanic,0,0,0,0,0,Arkansas State University,Men
Nat. Haw./PI,0,0,1,0,0,Arkansas State University,Men
US N-R,0,0,0,0,0,Arkansas State University,Men
Two or More,2,0,2,3,0,Arkansas State University,Men
Unknown,0,1,4,6,0,Arkansas State University,Men
White,1,24,13,22,6,Arkansas State University,Men
Total,15,29,27,101,6,Arkansas State University,Men
Am. Ind./AN,0,1,0,1,0,Auburn University,Men
Asian,0,0,0,0,2,Auburn University,Men
Black,9,2,5,56,0,Auburn University,Men
Hispanic,0,1,1,2,3,Auburn University,Men
Nat. Haw./PI,0,0,0,1,0,Auburn University,Men
US N-R,0,1,7,2,7,Auburn University,Men
Two or More,2,1,1,6,0,Auburn University,Men
Unknown,0,0,0,1,0,Auburn University,Men
White,1,20,16,12,37,Auburn University,Men
Total,12,26,30,81,49,Auburn University,Men
Am. Ind./AN,0,0,0,0,0,Austin Peay State University,Men
Asian,0,0,0,0,0,Austin Peay State University,Men
Black,2,0,0,41,0,Austin Peay State University,Men
Hispanic,0,2,2,3,0,Austin Peay State University,Men
Nat. Haw./PI,0,0,0,0,0,Austin Peay State University,Men
US N-R,1,3,0,0,5,Austin Peay State University,Men
Two or More,2,4,0,6,0,Austin Peay State University,Men
Unknown,2,3,1,2,0,Austin Peay State University,Men
White,0,13,3,16,7,Austin Peay State University,Men
Total,7,25,6,68,12,Austin Peay State University,Men
