Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2017,Abilene Christian University,Western Athletic Conference,Overall,TX,90,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/2.pdf?v=1751165106122
2017,University of Akron,Mid-American Conference,Overall,OH,84,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/5.pdf?v=1751165106122
2017,Alabama A&M University,Southwestern Athletic Conf.,Overall,AL,77,50,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/6.pdf?v=1751165106122
2017,Alabama State University,Southwestern Athletic Conf.,Overall,AL,79,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/7.pdf?v=1751165106122
2017,University of Alabama,Southeastern Conference,Overall,AL,96,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/8.pdf?v=1751165106122
2017,University of Alabama at Birmingham,American Athletic Conference,Overall,AL,93,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/9.pdf?v=1751165106122
2017,University at Albany,America East Conference,Overall,NY,86,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/14.pdf?v=1751165106122
2017,Alcorn State University,Southwestern Athletic Conf.,Overall,MS,81,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/17.pdf?v=1751165106122
2017,American University,Patriot League,Overall,DC,94,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/23.pdf?v=1751165106122
2017,Appalachian State University,Sun Belt Conference,Overall,NC,89,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/27.pdf?v=1751165106122
