School,Sport,Race,%N,2017-18,4-Class,GSR
Arizona State University,Baseball,,2017-18 4,-Class,GSR,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Am. Ind./AN,0-a,0-a,-,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Asian,-,-,-,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Black,-,0-a,100-a,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Hispanic,0-a,0-b,50-a,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Nat. Haw./PI,-,-,-,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,US N-R,-,-,-,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Two or More,-,-,-,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Unknown,-,-,-,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,White,38-b,43-e,93-c,
Arizona State University,Baseball,,,,,
Arizona State University,Baseball,Total,30-b,33-e,89-d,
Arizona State University,Football,,2017-18 4,-Class,GSR,
Arizona State University,Football,,,,,
Arizona State University,Football,Am. Ind./AN,-,-,-,
Arizona State University,Football,,,,,
Arizona State University,Football,Asian,-,67-a,67-a,
Arizona State University,Football,,,,,
Arizona State University,Football,Black,75-b,62-e,85-e,
Arizona State University,Football,,,,,
Arizona State University,Football,Hispanic,100-a,75-a,86-b,
Arizona State University,Football,,,,,
Arizona State University,Football,Nat. Haw./PI,-,-,-,
Arizona State University,Football,,,,,
Arizona State University,Football,US N-R,-,-,-,
Arizona State University,Football,,,,,
Arizona State University,Football,Two or More,0-a,0-a,-,
Arizona State University,Football,,,,,
Arizona State University,Football,Unknown,-,-,-,
Arizona State University,Football,,,,,
Arizona State University,Football,White,100-a,92-c,95-e,
Arizona State University,Football,,,,,
Arizona State University,Football,Total,79-c,68-e,87-e,
Arizona State University,Men's Basketball,,2017-18 4,-Class,GSR,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Am. Ind./AN,-,-,-,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Asian,100-a,100-a,100-a,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Black,100-a,50-a,100-a,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Hispanic,-,-,-,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Nat. Haw./PI,-,-,-,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,US N-R,-,-,-,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Two or More,-,-,100-a,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Unknown,-,-,-,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,White,-,40-a,100-a,
Arizona State University,Men's Basketball,,,,,
Arizona State University,Men's Basketball,Total,100-a,55-c,100-c,
Arizona State University,Men's Other,,2017-18 4,-Class,GSR,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Am. Ind./AN,100-a,100-a,100-a,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Asian,100-a,75-a,100-a,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Black,100-a,100-a,100-a,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Hispanic,100-a,83-b,100-a,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Nat. Haw./PI,-,-,-,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,US N-R,60-a,73-c,100-c,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Two or More,100-a,67-a,67-a,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Unknown,-,100-a,100-a,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,White,60-b,66-e,85-e,
Arizona State University,Men's Other,,,,,
Arizona State University,Men's Other,Total,74-e,71-e,91-e,
Arizona State University,Men's CC/Track,,2017-18 4,-Class,GSR,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Am. Ind./AN,-,-,-,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Asian,-,-,-,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Black,-,75-a,83-b,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Hispanic,0-a,0-a,-,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Nat. Haw./PI,-,-,-,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,US N-R,-,-,100-a,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Two or More,-,-,100-a,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Unknown,-,-,-,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,White,100-a,83-b,100-a,
Arizona State University,Men's CC/Track,,,,,
Arizona State University,Men's CC/Track,Total,50-a,73-c,93-c,
Arizona State University,Women's Basketball,Am. Ind./AN,-,-,-,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,Asian,-,50-a,100-a,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,Black,50-a,57-b,100-a,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,Hispanic,-,-,-,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,Nat. Haw./PI,-,-,-,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,US N-R,-,-,100-a,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,Two or More,-,-,-,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,Unknown,-,-,-,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,White,-,60-a,100-a,
Arizona State University,Women's Basketball,,,,,
Arizona State University,Women's Basketball,Total,50-a,57-c,100-b,
Arizona State University,Women's CC/Track,,%-N,,,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,,2017-18,4-Class,GSR,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Am. Ind./AN,-,50-a,50-a,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Asian,-,-,-,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Black,-,60-a,100-a,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Hispanic,-,0-a,0-a,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Nat. Haw./PI,-,-,-,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,US N-R,-,100-a,100-b,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Two or More,-,100-a,100-a,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Unknown,-,-,-,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,White,100-a,75-c,91-c,
Arizona State University,Women's CC/Track,,,,,
Arizona State University,Women's CC/Track,Total,100-a,70-e,89-e,
Arizona State University,Women's Other,,2017-18,4-Class,GSR,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Am. Ind./AN,-,50-a,100-a,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Asian,100-a,80-a,100-a,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Black,86-b,75-c,92-c,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Hispanic,50-a,62-c,91-c,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Nat. Haw./PI,-,-,-,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,US N-R,85-c,83-e,100-e,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Two or More,-,100-b,100-b,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Unknown,-,67-a,67-a,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,White,70-e,69-e,98-e,
Arizona State University,Women's Other,,,,,
Arizona State University,Women's Other,Total,75-e,72-e,97-e,
Arkansas State University,Baseball,,2017-18 4,-Class,GSR,
Arkansas State University,Baseball,,,,,
Arkansas State University,Baseball,Am. Ind./AN,-,-,-,
Arkansas State University,Baseball,,,,,
Arkansas State University,Baseball,Asian,-,-,-,
Arkansas State University,Baseball,,,,,
