Race,Men Basketball,Men Baseball,Men CC/Track,Men Football,Men Other,School,Sport Category
Total,13,30,28,84,19,Abilene Christian University,Men
Total,13,27,21,78,13,Alabama A&M University,Men
Total,13,24,17,98,17,Alabama State University,Men
Total,12,20,13,61,0,Alcorn State University,Men
Total,13,0,14,0,51,American University,Men
Total,11,26,20,71,30,Appalachian State University,Men
Total,11,31,11,85,70,Arizona State University,Men
Total,15,29,27,101,6,Arkansas State University,Men
Total,12,26,30,81,49,Auburn University,Men
Total,7,25,6,68,12,Austin Peay State University,Men
Total,13,25,0,86,34,Ball State University,Men
Total,0,0,0,0,0,Baylor University,Men
Total,12,28,27,0,37,Belmont University,Men
Total,5,18,9,29,2,Bethune-Cookman University,Men
Total,13,27,26,0,100,Binghamton University,Men
Total,13,0,18,100,18,Boise State University,Men
Total,12,27,0,97,55,Boston College,Men
Total,13,0,28,0,132,Boston University,Men
Total,13,27,4,101,57,Bowling Green State University,Men
Total,13,23,22,0,24,Bradley University,Men
Total,10,30,44,90,60,Brigham Young University,Men
Total,0,0,0,0,0,Brown University,Men
Total,13,29,16,81,105,Bryant University,Men
Total,13,14,14,84,75,Bucknell University,Men
Total,13,29,12,0,42,Butler University,Men
Total,9,26,9,0,108,California Baptist University,Men
Total,11,23,33,78,57,California Polytechnic State University,Men
Total,12,28,11,0,51,California State University Bakersfield,Men
Total,13,33,0,103,8,California State University Fresno,Men
Total,13,33,44,0,35,California State University Fullerton,Men
Total,11,29,12,0,53,California State University Northridge,Men
Total,12,30,17,68,32,California State University Sacramento,Men
Total,12,31,19,86,63,Campbell University,Men
Total,11,26,12,0,88,Canisius University,Men
Total,12,19,22,72,17,Central Connecticut State University,Men
Total,12,30,10,87,31,Central Michigan University,Men
Total,14,29,20,83,11,Charleston Southern University,Men
Total,13,0,7,0,31,Chicago State University,Men
Total,13,31,22,107,56,Clemson University,Men
Total,13,0,0,0,109,Cleveland State University,Men
Total,13,28,27,101,33,Coastal Carolina University,Men
Total,13,0,0,79,77,Colgate University,Men
Total,12,28,9,0,36,College of Charleston (South Carolina),Men
Total,13,3,17,82,48,College of the Holy Cross,Men
Total,13,0,36,84,24,Colorado State University,Men
Total,0,0,0,0,0,Columbia University-Barnard College,Men
Total,0,0,0,0,0,Coppin State University,Men
Total,0,0,0,0,0,Cornell University,Men
Total,13,22,16,0,31,Creighton University,Men
Total,3,7,8,27,37,Dartmouth College,Men
Total,12,28,14,0,76,Davidson College,Men
Total,13,0,28,0,46,DePaul University,Men
Total,11,19,21,55,0,Delaware State University,Men
Total,13,0,26,99,48,Drake University,Men
Total,10,0,0,0,142,Drexel University,Men
Total,12,20,8,74,46,Duke University,Men
Total,13,0,20,76,8,Duquesne University,Men
Total,14,32,24,108,10,East Carolina University,Men
Total,9,15,5,52,7,East Tennessee State University,Men
Total,13,27,27,93,29,Eastern Illinois University,Men
Total,13,32,17,94,18,Eastern Kentucky University,Men
Total,13,26,31,109,8,Eastern Michigan University,Men
Total,13,0,19,91,6,Eastern Washington University,Men
Total,0,0,0,0,0,Elon University,Men
Total,12,31,3,0,116,Fairfield University,Men
Total,13,28,25,0,49,Fairleigh Dickinson University Metropolitan Campus,Men
Total,12,29,13,76,8,Florida A&M University,Men
Total,12,25,0,70,46,Florida Atlantic University,Men
Total,0,0,0,0,0,Florida Gulf Coast University,Men
Total,13,25,11,78,19,Florida International University,Men
Total,12,28,29,82,37,Florida State University,Men
Total,12,21,29,59,25,Fordham University,Men
Total,13,0,10,87,28,Furman University,Men
Total,13,25,17,107,72,Gardner-Webb University,Men
Total,14,37,54,0,127,George Mason University,Men
Total,13,28,12,0,47,George Washington University,Men
Total,11,22,22,57,89,Georgetown University,Men
Total,15,36,32,93,48,Georgia Institute of Technology,Men
Total,10,28,0,73,36,Georgia Southern University,Men
Total,10,19,0,81,28,Georgia State University,Men
Total,11,29,26,0,32,Gonzaga University,Men
Total,13,30,19,84,0,Grambling State University,Men
Total,13,27,35,0,64,Grand Canyon University,Men
Total,17,0,23,94,52,Hampton University,Men
Total,0,0,0,0,0,Harvard University,Men
Total,13,24,22,0,42,High Point University,Men
Total,10,25,8,0,81,Hofstra University,Men
Total,12,28,17,62,28,Houston Christian University,Men
Total,10,0,17,60,41,Howard University,Men
Total,12,0,30,67,7,Idaho State University,Men
Total,12,28,41,80,16,Illinois State University,Men
Total,13,30,45,101,0,Indiana State University,Men
Total,6,16,20,64,71,Indiana University Bloomington,Men
Total,13,0,16,0,60,Indiana University Indianapolis,Men
Total,12,25,23,0,63,Iona University,Men
Total,13,0,31,90,33,Iowa State University,Men
Total,12,26,21,72,6,Jackson State University,Men
Total,13,24,11,93,28,Jacksonville State University,Men
Total,9,27,0,0,54,Jacksonville University,Men
Total,10,27,0,62,24,James Madison University,Men
Total,10,28,22,75,8,Kansas State University,Men
Total,13,32,35,76,17,Kennesaw State University,Men
Total,13,32,41,85,40,Kent State University,Men
Total,13,0,21,0,71,La Salle University,Men
Total,13,5,0,65,34,Lafayette College,Men
Total,15,48,40,144,19,Lamar University,Men
Total,12,23,7,66,76,Lehigh University,Men
Total,21,44,66,155,29,Liberty University,Men
Total,13,29,28,0,33,Lipscomb University,Men
Total,14,26,34,0,49,Long Beach State University,Men
Total,13,26,31,92,212,Long Island University,Men
Total,13,30,16,0,33,Longwood University,Men
Total,10,27,22,74,33,Louisiana State University,Men
Total,8,29,20,83,6,Louisiana Tech University,Men
Total,10,25,7,0,45,Loyola Marymount University,Men
Total,11,0,11,0,39,Loyola University Chicago,Men
Total,12,0,0,0,94,Loyola University Maryland,Men
Total,10,26,18,0,70,Manhattan University,Men
Total,15,32,18,0,89,Marist University,Men
Total,11,0,0,0,79,Marquette University,Men
Total,13,26,13,117,35,Marshall University,Men
Total,14,27,26,75,0,McNeese State University,Men
Total,13,30,11,85,77,Mercer University,Men
Total,10,16,33,73,110,Merrimack College,Men
Total,12,25,18,84,63,Miami University (Ohio),Men
Total,11,24,9,73,90,Michigan State University,Men
Total,13,31,20,88,17,Middle Tennessee State University,Men
Total,13,30,31,81,21,Mississippi State University,Men
Total,15,20,5,53,2,Mississippi Valley State University,Men
Total,11,25,0,71,46,Missouri State University,Men
Total,11,23,45,57,74,Monmouth University,Men
Total,14,0,28,94,23,Montana State University-Bozeman,Men
Total,11,33,19,109,13,Morehead State University,Men
Total,12,11,0,83,17,Morgan State University,Men
Total,13,27,34,0,93,Mount St. Mary's University,Men
Total,11,24,9,77,22,Murray State University,Men
Total,13,27,13,0,88,New Jersey Institute of Technology,Men
Total,13,25,12,90,19,New Mexico State University,Men
Total,9,22,6,0,77,Niagara University,Men
Total,13,27,13,79,14,Nicholls State University,Men
Total,12,13,20,66,6,Norfolk State University,Men
Total,14,24,17,58,9,North Carolina A&T State University,Men
Total,11,0,14,64,12,North Carolina Central University,Men
Total,11,23,25,74,76,North Carolina State University,Men
Total,12,32,44,86,32,North Dakota State University,Men
Total,10,25,23,0,56,Northeastern University,Men
Total,13,0,25,104,6,Northern Arizona University,Men
Total,13,28,0,98,50,Northern Illinois University,Men
Total,12,24,7,0,33,Northern Kentucky University,Men
Total,13,29,22,92,0,Northwestern State University,Men
Total,9,27,0,68,77,Northwestern University,Men
Total,13,27,23,0,53,Oakland University,Men
Total,13,29,13,109,32,Ohio University,Men
Total,12,34,51,86,51,Oklahoma State University,Men
Total,12,27,0,81,49,Old Dominion University,Men
Total,13,25,16,0,33,Oral Roberts University,Men
Total,12,25,0,74,58,Oregon State University,Men
Total,13,28,38,101,192,Pennsylvania State University,Men
Total,13,23,14,0,32,Pepperdine University,Men
Total,11,0,4,88,8,Portland State University,Men
Total,10,23,16,84,15,Prairie View A&M University,Men
Total,11,26,5,0,44,Presbyterian College,Men
Total,0,0,0,0,0,Princeton University,Men
Total,14,0,12,0,91,Providence College,Men
Total,11,26,23,74,74,Purdue University,Men
Total,13,26,31,0,45,Purdue University Fort Wayne,Men
Total,3,26,6,0,89,Quinnipiac University,Men
Total,13,26,9,0,34,Radford University,Men
Total,10,22,23,68,15,Rice University,Men
Total,13,27,22,0,75,Rider University,Men
Total,12,0,11,87,91,Robert Morris University,Men
Total,13,25,35,109,95,Rutgers The State University of New Jersey New Brunswick,Men
Total,9,25,24,69,116,Sacred Heart University,Men
Total,20,0,43,131,83,Saint Francis University,Men
Total,12,24,34,0,74,Saint Joseph's University,Men
