School,Metric,All Students,Student-Athletes
Abilene Christian University,2017-18 Graduation Rate,60%,73%
Alabama A&M University,2017-18 Graduation Rate,29%,51%
Alabama State University,2017-18 Graduation Rate,30%,55%
Alcorn State University,2017-18 Graduation Rate,46%,70%
American University,2017-18 Graduation Rate,79%,63%
Appalachian State University,2017-18 Graduation Rate,73%,76%
Arizona State University,2017-18 Graduation Rate,69%,71%
Arkansas State University,2017-18 Graduation Rate -,,66%
Auburn University,2017-18 Graduation Rate,79%,65%
Austin Peay State University,2017-18 Graduation Rate,48%,80%
Ball State University,2017-18 Graduation Rate,63%,74%
Baylor University,2017-18 Graduation Rate,80%,69%
Belmont University,2017-18 Graduation Rate,72%,84%
Bethune-Cookman University,2017-18 Graduation Rate,28%,33%
Binghamton University,2017-18 Graduation Rate,84%,86%
Boise State University,2017-18 Graduation Rate,62%,62%
Boston College,2017-18 Graduation Rate,91%,78%
Boston University,2017-18 Graduation Rate,90%,85%
Bowling Green State University,2017-18 Graduation Rate,63%,75%
Bradley University,2017-18 Graduation Rate,72%,74%
Brigham Young University,2017-18 Graduation Rate,82%,68%
Brown University,2017-18 Graduation Rate,96%,-
Bryant University,2017-18 Graduation Rate,81%,78%
Bucknell University,2017-18 Graduation Rate,83%,92%
Butler University,2017-18 Graduation Rate,80%,82%
California Baptist University,2017-18 Graduation Rate,59%,58%
California Polytechnic State University,2017-18 Graduation Rate,86%,85%
California State University Bakersfield,2017-18 Graduation Rate,49%,60%
California State University Fresno,2017-18 Graduation Rate,25%,62%
California State University Fullerton,2017-18 Graduation Rate,69%,67%
California State University Northridge,2017-18 Graduation Rate,56%,62%
California State University Sacramento,2017-18 Graduation Rate,,56% 67%
Campbell University,2017-18 Graduation Rate,56%,54%
Canisius University,2017-18 Graduation Rate,71%,65%
Central Connecticut State University,2017-18 Graduation Rate,49%,60%
Central Michigan University,2017-18 Graduation Rate,62%,76%
Charleston Southern University,2017-18 Graduation Rate,48%,53%
Chicago State University,2017-18 Graduation Rate,17%,36%
Clemson University,2017-18 Graduation Rate,88%,72%
Cleveland State University,2017-18 Graduation Rate,49%,64%
Coastal Carolina University,2017-18 Graduation Rate,51%,65%
Colgate University,2017-18 Graduation Rate,91%,88%
College of Charleston (South Carolina),2017-18 Graduation Rate,65%,63%
College of the Holy Cross,2017-18 Graduation Rate,90%,88%
Colorado State University,2017-18 Graduation Rate,67%,79%
Columbia University-Barnard College,2017-18 Graduation Rate,95%,-
