School,Men's GSR Percentage,Men's Win Category,Women's GSR Percentage,Women's Win Category
Abilene Christian University,1,3,1,3
Alabama A&M University,0.71,3,0.8,3
Alabama State University,0.68,5,0.88,5
Alcorn State University,0.59,4,0.72,4
American University,0.82,4,0.92,4
Appalachian State University,1,3,1,3
Arizona State University,1,4,1,4
Arkansas State University,0.88,3,0.84,3
Auburn University,0.7,2,1,2
Austin Peay State University,0.91,3,0.94,3
Ball State University,0.93,1,1,1
Baylor University,0.67,2,1,2
Belmont University,1,2,0.93,2
Bethune-Cookman University,0.79,3,0.92,3
Binghamton University,0.86,3,1,3
Boise State University,0.92,2,1,2
Boston College,1,3,0.91,3
Boston University,1,2,1,2
Bowling Green State University,0.92,3,1,3
Bradley University,1,5,1,5
Brigham Young University,0.88,3,0.86,3
Brown University,0.94,3,1,3
Bryant University,0.9,3,1,3
Bucknell University,0.91,3,1,3
Butler University,0.86,3,0.88,3
California Baptist University,0.85,1,1,1
California Polytechnic State University,1,3,0.88,3
California State University Bakersfield,0.93,4,1,4
California State University Fresno,0.83,3,0.86,3
California State University Fullerton,0.9,4,0.82,4
California State University Northridge,0.53,5,0.93,5
California State University Sacramento,0.88,5,0.82,5
Campbell University,1,3,1,3
Canisius University,0.9,3,1,3
Central Connecticut State University,0.83,4,0.93,4
Central Michigan University,0.76,4,1,4
Charleston Southern University,0.93,4,0.81,4
Chicago State University,0.56,5,0.4,5
Clemson University,1,4,0.95,4
Cleveland State University,1,1,1,1
Coastal Carolina University,0.89,4,0.87,4
Colgate University,0.85,3,1,3
College of Charleston (South Carolina),0.92,2,0.82,2
College of the Holy Cross,1,2,1,2
Colorado State University,0.9,2,1,2
Columbia University-Barnard College,1,2,1,2
Coppin State University,0.82,3,0.83,3
Cornell University,1,4,0.94,4
Creighton University,0.91,1,1,1
Dartmouth College,1,4,1,4
Davidson College,0.91,2,1,2
Delaware State University,0.73,4,0.83,4
DePaul University,0.86,4,1,4
Drake University,0.79,1,1,1
Drexel University,1,3,1,3
