School,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian,30,14,16,0.467
Air Force,32,15,17,0.469
Akron,29,11,18,0.379
Alabama NCAA,34,24,10,0.706
Alabama A&M,31,15,16,0.484
Alabama State,29,3,26,0.103
Albany (NY),32,25,7,0.781
Alcorn State,32,12,20,0.375
American,30,10,20,0.333
Appalachian State,32,17,15,0.531
Arizona NCAA,34,18,16,0.529
Arizona State,31,11,20,0.355
Arkansas,33,18,15,0.545
Arkansas State,30,13,17,0.433
Arkansas-Pine Bluff,33,17,16,0.515
Army,29,12,17,0.414
Auburn NCAA,32,20,12,0.625
Austin Peay,33,17,16,0.515
Ball State,34,28,6,0.824
Baylor NCAA,34,26,8,0.765
Bellarmine,29,10,19,0.345
Belmont,35,26,9,0.743
Bethune-Cookman,31,15,16,0.484
Binghamton,31,14,17,0.452
Boise State,35,21,14,0.6
Boston College,33,14,19,0.424
Boston University,32,20,12,0.625
Bowling Green State,31,16,15,0.516
Bradley,32,6,26,0.188
Brigham Young,33,16,17,0.485
Brown,27,16,11,0.593
Bryant,30,15,15,0.5
Bucknell,31,13,18,0.419
Buffalo,33,19,14,0.576
Butler,32,15,17,0.469
Cal Poly,31,17,14,0.548
Cal State Bakersfield,29,8,21,0.276
Cal State Fullerton,31,10,21,0.323
Cal State Northridge,30,3,27,0.1
California,34,19,15,0.559
California Baptist NCAA,32,28,4,0.875
Campbell,31,17,14,0.548
Canisius,31,17,14,0.548
Central Arkansas,33,21,12,0.636
Central Connecticut State,30,9,21,0.3
Central Michigan,28,6,22,0.214
Charleston Southern,30,11,19,0.367
Charlotte,31,16,15,0.516
Chattanooga NCAA,33,28,5,0.848
Chicago State,27,1,26,0.037
Cincinnati,32,14,18,0.438
Clemson,31,12,19,0.387
Cleveland State,35,29,6,0.829
Coastal Carolina,33,12,21,0.364
Colgate,34,20,14,0.588
College of Charleston,32,22,10,0.688
Colorado NCAA,34,24,10,0.706
Colorado State,31,20,11,0.645
Columbia NCAA,30,23,7,0.767
Connecticut NCAA,39,33,6,0.846
Coppin State,30,12,18,0.4
Cornell,26,7,19,0.269
Creighton NCAA,32,26,6,0.813
Dartmouth,26,7,19,0.269
Davidson,26,18,8,0.692
Dayton,31,12,19,0.387
Delaware,31,11,20,0.355
