School,Sport,Race,%N,2013-14,4-Class,GSR
Abilene Christian University,Baseball,,2007-08,4-Class,ASR,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Am. Ind./AN,-,-,100-a,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Asian,-,-,100-a,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Black,-,-,0-a,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Hispanic,-,-,0-a,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Nat. Haw./PI,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,N-R Alien,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Two or More,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Unknown,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,White,50-b,69-c,88-e,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Total,50-b,69-c,84-e,
Abilene Christian University,Football,,2007-08,4-Class,ASR,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Am. Ind./AN,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Asian,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Black,23-c,36-e,36-e,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Hispanic,-,-,50-a,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Nat. Haw./PI,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,N-R Alien,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Two or More,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Unknown,-,-,0-a,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,White,57-e,55-e,67-e,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Total,46-e,48-e,51-e,
Abilene Christian University,Men's Basketball,,2007-08,4-Class,ASR,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Am. Ind./AN,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Asian,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Black,-,-,50-b,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Hispanic,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Nat. Haw./PI,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
