School,Metric,All Students,Student-Athletes
Abilene Christian University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Abilene Christian University,2007-08 Graduation Rate,57%,55%
Abilene Christian University,Four-Class Average,58%,57%
Abilene Christian University,Student-Athlete Academic Success Rate,,66%
Alabama A&M University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Alabama A&M University,2007-08 Graduation Rate,29%,33%
Alabama A&M University,Four-Class Average,41%,46%
Alabama A&M University,Student-Athlete Graduation Success Rate,,50%
Alabama State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Alabama State University,2007-08 Graduation Rate,25%,46%
Alabama State University,Four-Class Average,25%,45%
Alabama State University,Student-Athlete Graduation Success Rate,,70%
Alcorn State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Alcorn State University,2007-08 Graduation Rate,34%,30%
Alcorn State University,Four-Class Average,35%,35%
Alcorn State University,Student-Athlete Graduation Success Rate,,67%
American University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
American University,2007-08 Graduation Rate,80%,86%
American University,Four-Class Average,78%,74%
American University,Student-Athlete Graduation Success Rate,,94%
Appalachian State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Appalachian State University,2007-08 Graduation Rate,69%,73%
Appalachian State University,Four-Class Average,67%,63%
Appalachian State University,Student-Athlete Graduation Success Rate,,82%
Arizona State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Arizona State University,2007-08 Graduation Rate,59%,68%
Arizona State University,Four-Class Average,58%,62%
Arizona State University,Student-Athlete Graduation Success Rate,,82%
Arkansas State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Arkansas State University,2007-08 Graduation Rate,36%,52%
Arkansas State University,Four-Class Average,37%,55%
Arkansas State University,Student-Athlete Graduation Success Rate,,70%
Auburn University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Auburn University,2007-08 Graduation Rate,68%,67%
Auburn University,Four-Class Average,67%,62%
Auburn University,Student-Athlete Graduation Success Rate,,78%
Austin Peay State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Austin Peay State University,2007-08 Graduation Rate,36%,70%
Austin Peay State University,Four-Class Average,35%,62%
Austin Peay State University,Student-Athlete Graduation Success Rate,,77%
Ball State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Ball State University,2007-08 Graduation Rate,60%,73%
Ball State University,Four-Class Average,58%,61%
Ball State University,Student-Athlete Graduation Success Rate,,72%
Baylor University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Baylor University,2007-08 Graduation Rate,75%,70%
Baylor University,Four-Class Average,73%,66%
Baylor University,Student-Athlete Graduation Success Rate,,88%
Belmont University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Belmont University,2007-08 Graduation Rate,68%,78%
Belmont University,Four-Class Average,68%,77%
Belmont University,Student-Athlete Graduation Success Rate,,96%
Bethune-Cookman University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Bethune-Cookman University,2007-08 Graduation Rate,55%,51%
Bethune-Cookman University,Four-Class Average,42%,48%
Bethune-Cookman University,Student-Athlete Graduation Success Rate,,65%
