School,Metric,All Students,Student-Athletes
1 - DI CA Test,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
1 - DI CA Test,2017-18 Graduation Rate -,,-
1 - DI CA Test,Four-Class Average -,,25%
1 - DI CA Test,Student-Athlete Graduation Success Rate,,33%
Abilene Christian University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Abilene Christian University,2017-18 Graduation Rate,60%,73%
Abilene Christian University,Four-Class Average,62%,66%
Abilene Christian University,Student-Athlete Graduation Success Rate,,90%
Alabama A&M University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Alabama A&M University,2017-18 Graduation Rate,29%,51%
Alabama A&M University,Four-Class Average,28%,50%
Alabama A&M University,Student-Athlete Graduation Success Rate,,77%
Alabama State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Alabama State University,2017-18 Graduation Rate,30%,55%
Alabama State University,Four-Class Average,30%,56%
Alabama State University,Student-Athlete Graduation Success Rate,,79%
Alcorn State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Alcorn State University,2017-18 Graduation Rate,46%,70%
Alcorn State University,Four-Class Average,45%,62%
Alcorn State University,Student-Athlete Graduation Success Rate,,81%
American University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
American University,2017-18 Graduation Rate,79%,63%
American University,Four-Class Average,79%,71%
American University,Student-Athlete Graduation Success Rate,,94%
Appalachian State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Appalachian State University,2017-18 Graduation Rate,73%,76%
Appalachian State University,Four-Class Average,73%,65%
Appalachian State University,Student-Athlete Graduation Success Rate,,89%
Arizona State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Arizona State University,2017-18 Graduation Rate,69%,71%
Arizona State University,Four-Class Average,68%,66%
Arizona State University,Student-Athlete Graduation Success Rate,,93%
Arkansas State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Arkansas State University,2017-18 Graduation Rate -,,66%
Arkansas State University,Four-Class Average,52%,61%
Arkansas State University,Student-Athlete Graduation Success Rate,,85%
Auburn University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Auburn University,2017-18 Graduation Rate,79%,65%
Auburn University,Four-Class Average,78%,66%
