School,Men Basketball,4-Class,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian University,16,92-c,0.92,Abilene Christian,31,11,20,0.355
Alabama A&M University,1,64-c,0.64,Alabama A&M,30,14,16,0.4
Alabama State University,13,91-c,0.91,Alabama,32,13,19,0.618
Arkansas State University,12,71-d,0.71,Arkansas,34,22,12,0.387
Auburn University,11,100-c,1,Auburn,30,14,16,0.606
Austin Peay State University,13,71-d,0.71,Austin Peay,30,12,18,0.3
Belmont University,13,100-c,1,Belmont,36,26,10,0.647
Bethune-Cookman University,12,69-d,0.69,Bethune-Cookman,32,7,25,0.594
Binghamton University,13,92-c,0.92,Binghamton,30,7,23,0.419
Bradley University,13,93-c,0.93,Bradley,32,12,20,0.684
Brown University,0,96-e,0.96,Brown,29,15,14,0.219
Bryant University,13,85-c,0.85,Bryant,32,18,14,0.233
Bucknell University,12,100-c,1,Bucknell,30,16,14,0.618
Butler University,16,100-c,1,Butler,31,14,17,0.25
Campbell University,13,100-c,1,Campbell,32,12,20,0.533
Canisius University,12,100-c,1,Canisius,34,21,13,0.655
Central Michigan University,13,93-c,0.93,Central Michigan,31,10,21,0.406
Charleston Southern University,13,83-b,0.83,Charleston Southern,31,13,18,0.355
Clemson University,13,100-c,1,Clemson,36,23,13,0.6
Colgate University,12,100-c,1,Colgate,31,13,18,0.276
Cornell University,0,100-d,1,Cornell,28,2,26,0.406
Dartmouth College,14,100-c,1,Dartmouth,28,12,16,0.639
Davidson College,11,100-c,1,Davidson,33,20,13,0.636
DePaul University,13,61-d,1,DePaul,33,12,21,0.618
Drake University,16,100-c,1,Drake,31,15,16,0.438
Drexel University,13,100-c,1,Drexel,30,16,14,0.657
Duquesne University,13,100-c,1,Duquesne,30,13,17,0.618
East Carolina University,14,69-c,0.69,East Carolina,34,17,17,0.8
Eastern Illinois University,20,92-c,0.92,Eastern Illinois,30,11,19,0.071
Eastern Michigan University,16,100-c,1,Eastern Michigan,37,22,15,0.429
Eastern Washington University,12,100-c,1,Eastern Washington,31,15,16,0.606
Elon University,17,79-c,0.79,Elon,32,18,14,0.703
Fairfield University,11,93-c,0.93,Fairfield,32,7,25,0.714
Florida A&M University,13,68-d,0.68,Florida A&M,32,14,18,0.516
Florida Atlantic University,5,63-d,0.63,Florida Atlantic,32,10,22,0.364
Florida Gulf Coast University,13,50-c,0.5,Florida Gulf Coast,35,22,13,0.406
Florida International University,4,86-c,0.86,Florida International,31,15,16,0.484
Fordham University,13,93-c,0.93,Fordham,31,10,21,0.743
Furman University,13,100-c,1,Furman,30,9,21,0.433
Gardner-Webb University,12,100-b,1,Gardner-Webb,33,18,15,0.5
George Mason University,13,88-d,0.88,George Mason,31,11,20,0.543
Georgetown University,15,100-c,1,Georgetown,33,18,15,0.706
Georgia Southern University,13,86-c,0.86,Georgia Southern,34,15,19,0.484
Georgia State University,14,70-b,0.7,Georgia,34,20,14,0.563
Grambling State University,10,64-c,0.64,Grambling,29,5,24,0.219
Grand Canyon University,13,77-c,0.77,Grand Canyon,30,15,15,0.323
Hampton University,16,64-c,0.64,Hampton,31,18,13,0.923
High Point University,14,92-c,0.92,High Point,31,16,15,0.313
Hofstra University,10,75-d,0.75,Hofstra,33,10,23,0.629
Houston Christian University,16,67-c,0.67,Houston Christian,31,6,25,0.484
Howard University,0,79-c,0.79,Howard,33,8,25,0.611
Idaho State University,13,73-c,0.73,Idaho,34,16,18,0.323
Illinois State University,11,93-c,0.93,Illinois,35,20,15,0.538
Indiana State University,13,83-c,0.83,Indiana,32,17,15,0.3
Iona University,13,100-c,1,Iona,33,22,11,0.727
Jacksonville State University,13,83-c,0.83,Jacksonville,30,12,18,0.441
Jacksonville University,11,100-c,1,Jacksonville,30,12,18,0.441
James Madison University,15,83-c,0.83,James Madison,31,11,20,0.485
La Salle University,13,100-c,1,La Salle,31,15,16,0.774
Lafayette College,12,100-c,1,Lafayette,31,11,20,0.581
Lamar University,14,83-d,0.83,Lamar,30,4,26,0.515
Lehigh University,13,94-d,0.94,Lehigh,32,14,18,0.844
Liberty University,13,86-c,0.86,Liberty,32,11,21,0.645
Lipscomb University,14,100-b,1,Lipscomb,30,15,15,0.516
Longwood University,17,86-c,0.86,Longwood,32,8,24,0.515
Louisiana Tech University,13,100-c,1,Louisiana Tech,37,29,8,0.242
Loyola Marymount University,12,88-d,0.88,Loyola Marymount,32,13,19,0.471
Marist University,14,91-c,0.91,Marist,31,12,19,0.194
Marquette University,12,93-c,0.93,Marquette,32,17,15,0.778
Marshall University,12,64-c,0.64,Marshall,33,11,22,0.531
Middle Tennessee State University,13,100-c,1,Middle Tennessee,33,24,9,0.188
Mississippi State University,12,95-d,0.95,Mississippi,33,19,14,0.355
Missouri State University,13,100-b,1,Missouri,35,23,12,0.323
Monmouth University,14,100-c,1,Monmouth,32,11,21,0.355
Niagara University,12,100-c,1,Niagara,33,7,26,0.355
North Carolina A&T State University,15,75-d,0.75,North Carolina A&T,32,9,23,0.344
North Dakota State University,13,92-c,0.92,North Dakota,34,17,17,0.469
Northeastern University,12,92-c,0.92,Northeastern,32,11,21,0.31
Northern Arizona University,14,91-c,0.91,Northern Arizona,32,15,17,0.25
Northern Illinois University,13,92-c,0.92,Northern Illinois,32,15,17,0.657
Northern Kentucky University,14,92-c,0.92,Northern Kentucky,30,9,21,0.588
