School,Basketball Players,Graduation ,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian University,13,92-c,0.92,Abilene Christian,30,18,12,0.6
Alabama A&M University,2,64-c,0.64,Alabama A&M,30,6,24,0.034
Alabama State University,17,91-c,0.91,Alabama,30,14,16,0.697
Alcorn State University,14,73-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
American University,11,100-c,1,American,32,22,10,0.2
Appalachian State University,15,89-b,0.89,#N/A,#N/A,#N/A,#N/A,#N/A
Arizona State University,14,93-c,0.93,Arizona,30,5,25,0.848
Arkansas State University,15,71-d,0.71,Arkansas,30,19,11,0.267
Auburn University,15,100-c,1,Auburn,34,19,15,0.688
Austin Peay State University,14,71-d,0.71,Austin Peay,29,9,20,0.448
Ball State University,0,86-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
Baylor University,12,80-b,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
Belmont University,14,100-c,1,Belmont,32,14,18,0.633
Bethune-Cookman University,13,69-d,0.69,Bethune-Cookman,30,12,18,0.647
Binghamton University,13,92-c,0.92,Binghamton,30,5,25,0.103
Boise State University,15,79-c,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
Boston College,14,100-b,1,#N/A,#N/A,#N/A,#N/A,#N/A
Boston University,14,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Bowling Green State University,13,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Bradley University,14,93-c,0.93,Bradley,30,8,22,0.865
Brigham Young University,13,86-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
Brown University,0,96-e,0.96,Brown,28,10,18,0.4
Bryant University,14,85-c,0.85,Bryant,32,17,15,0.167
Bucknell University,12,100-c,1,Bucknell,30,16,14,0.563
Butler University,13,100-c,1,Butler,31,15,16,0.387
California Polytechnic State University,16,89-b,0.89,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Bakersfield,4,54-c,0.54,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Fresno,16,87-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Fullerton,13,81-d,0.81,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Northridge,11,62-c,0.62,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Sacramento,15,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Campbell University,15,100-c,1,Campbell,31,19,12,0.533
Canisius University,14,100-c,1,Canisius,30,13,17,0.567
Centenary College (Louisiana),0,100-a,1,#N/A,#N/A,#N/A,#N/A,#N/A
Central Connecticut State University,15,55-c,0.55,#N/A,#N/A,#N/A,#N/A,#N/A
Central Michigan University,16,93-c,0.93,Central Michigan,32,20,12,0.613
Charleston Southern University,15,83-b,0.83,Charleston Southern,30,8,22,0.4
Chicago State University,13,100-b,1,#N/A,#N/A,#N/A,#N/A,#N/A
Clemson University,12,100-c,1,Clemson,32,13,19,0.688
Cleveland State University,12,91-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Coastal Carolina University,15,100-c,1,Coastal Carolina,31,15,16,0.433
Colgate University,13,100-c,1,Colgate,30,8,22,0.6
College of Charleston (South Carolina),15,80-c,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
College of the Holy Cross,12,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Colorado State University,16,71-c,0.71,Colorado,34,19,15,0.267
Columbia University-Barnard College,0,94-d,0.94,#N/A,#N/A,#N/A,#N/A,#N/A
Coppin State University,11,44-b,0.44,#N/A,#N/A,#N/A,#N/A,#N/A
Cornell University,0,100-d,1,Cornell,28,14,14,0.1
Creighton University,15,100-c,1,Creighton,34,20,14,0.419
Dartmouth College,13,100-c,1,Dartmouth,28,5,23,0.406
Davidson College,12,100-c,1,Davidson,32,16,16,0.467
DePaul University,13,61-d,1,#N/A,#N/A,#N/A,#N/A,#N/A
Delaware State University,16,100-c,0.61,Delaware,31,20,11,0.267
Drake University,20,100-c,1,Drake,32,17,15,0.559
Drexel University,12,100-c,1,Drexel,31,15,16,0.559
Duke University,14,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Duquesne University,13,100-c,1,Duquesne,33,20,13,0.214
East Carolina University,13,69-c,0.69,East Carolina,31,22,9,1
East Tennessee State University,12,77-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
Eastern Illinois University,14,92-c,0.92,Eastern Illinois,28,12,16,0.5
Eastern Kentucky University,15,75-d,0.75,Eastern Kentucky,30,17,13,0.588
Eastern Michigan University,15,100-c,1,Eastern Michigan,32,18,14,0.179
Eastern Washington University,14,100-c,1,Eastern Washington,30,16,14,0.5
Elon University,15,79-c,0.79,Elon,31,15,16,0.742
Fairfield University,13,93-c,0.93,Fairfield,33,22,11,0.645
Fairleigh Dickinson University Metropolitan Campus,13,60-d,0.6,#N/A,#N/A,#N/A,#N/A,#N/A
Florida A&M University,14,68-d,0.68,Florida A&M,31,17,14,0.281
Florida Atlantic University,5,63-d,0.63,Florida Atlantic,30,16,14,0.806
Florida Gulf Coast University,14,50-c,0.5,#N/A,#N/A,#N/A,#N/A,#N/A
Florida International University,4,86-c,0.86,Florida International,33,15,18,0.531
Florida State University,12,83-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
Fordham University,14,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Furman University,14,100-c,1,Furman,31,18,13,0.606
Gardner-Webb University,15,100-b,1,Gardner-Webb,30,16,14,0.71
George Mason University,15,88-d,0.88,George Mason,31,8,23,0.3
George Washington University,14,100-b,1,George Washington,34,23,11,0.429
Georgetown University,15,100-c,1,Georgetown,32,11,21,0.567
Georgia Institute of Technology,14,67-c,0.67,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia Southern University,16,86-c,0.86,Georgia Southern,31,10,21,0.533
Georgia State University,15,70-b,0.7,#N/A,#N/A,#N/A,#N/A,#N/A
Gonzaga University,14,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Grambling State University,12,64-c,0.64,Grambling,31,11,20,0.667
Grand Canyon University,15,77-c,0.77,Grand Canyon,30,20,10,0.103
Hampton University,17,64-c,0.64,#N/A,#N/A,#N/A,#N/A,#N/A
Harvard University,0,100-d,1,Harvard,30,22,8,0.548
High Point University,12,92-c,0.92,High Point,33,22,11,0.533
Hofstra University,13,75-d,0.75,Hofstra,29,14,15,0.765
Houston Christian University,15,67-c,0.67,Houston Christian,29,12,17,0.455
Howard University,9,79-c,0.79,Howard,31,11,20,0.636
Idaho State University,14,73-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
Illinois State University,14,93-c,0.93,Illinois,30,9,21,0.667
