School,4-Class,GSR Rate,School,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian University,92-c,0.92,Abilene Christian,30,18,12,0.6
Alabama A&M University,64-c,0.64,Alabama A&M,30,6,24,0.2
Alabama State University,91-c,0.91,Alabama State,30,16,14,0.533
Alcorn State University,73-c,0.73,Alcorn State,30,8,22,0.267
American University,100-c,1,American,32,22,10,0.688
Appalachian State University,89-b,0.89,Appalachian State,29,13,16,0.448
Arizona State University,93-c,0.93,Arizona State NCAA,33,23,10,0.697
Arkansas State University,71-d,0.71,Arkansas State,34,22,12,0.647
Auburn University,100-c,1,Auburn,34,19,15,0.559
Austin Peay State University,71-d,0.71,Austin Peay,29,9,20,0.31
Ball State University,86-c,0.86,Ball State,35,18,17,0.514
Baylor University,80-b,0.8,Baylor NCAA,37,32,5,0.865
Belmont University,100-c,1,Belmont,32,14,18,0.438
Bethune-Cookman University,69-d,0.69,Bethune-Cookman,30,12,18,0.4
Binghamton University,92-c,0.92,Binghamton,30,5,25,0.167
Boise State University,79-c,0.79,Boise State,32,18,14,0.563
Boston College,100-b,1,Boston College,31,12,19,0.387
Boston University,100-c,1,Boston University,33,13,20,0.394
Bowling Green State University,93-c,0.93,Bowling Green State,35,30,5,0.857
Bradley University,93-c,0.93,Bradley,30,8,22,0.267
Brigham Young University,86-c,0.86,Brigham Young NCAA,35,28,7,0.8
Brown University,96-e,0.96,Brown,28,10,18,0.357
Bryant University,85-c,0.85,Bryant,32,17,15,0.531
Bucknell University,100-c,1,Bucknell,30,16,14,0.533
Butler University,100-c,1,Butler,31,15,16,0.484
California Polytechnic State University,89-b,0.89,Cal Poly,32,18,14,0.563
California State University Bakersfield,54-c,0.54,Cal State Bakersfield,31,19,12,0.613
California State University Fresno,87-c,0.87,Cal State Bakersfield,31,19,12,0.613
California State University Fullerton,81-d,0.81,Cal State Fullerton,30,12,18,0.4
California State University Northridge,62-c,0.62,Cal State Northridge NCAA,33,18,15,0.545
California State University Sacramento,93-c,0.93,Sacramento State,30,18,12,0.6
Campbell University,100-c,1,Campbell,31,19,12,0.613
Canisius University,100-c,1,Canisius,30,13,17,0.433
Centenary College (Louisiana),100-a,1,Fresno State NCAA,33,22,11,0.667
Central Connecticut State University,55-c,0.55,Central Connecticut State,28,11,17,0.393
Central Michigan University,93-c,0.93,Central Michigan,32,20,12,0.625
Charleston Southern University,83-b,0.83,Charleston Southern,30,8,22,0.267
Chicago State University,100-b,1,Chicago State,30,3,27,0.1
Clemson University,100-c,1,Clemson,32,13,19,0.406
Cleveland State University,91-c,0.91,Cleveland State,30,14,16,0.467
Coastal Carolina University,100-c,1,Coastal Carolina,31,15,16,0.484
Colgate University,100-c,1,Colgate,30,8,22,0.267
College of Charleston (South Carolina),80-c,0.8,College of Charleston,34,19,15,0.559
College of the Holy Cross,100-c,1,Holy Cross,32,20,12,0.625
Colorado State University,71-c,0.71,Colorado State,33,25,8,0.758
Columbia University-Barnard College,94-d,0.94,Columbia,28,6,22,0.214
Coppin State University,44-b,0.44,Coppin State,31,17,14,0.548
Cornell University,100-d,1,Cornell,28,14,14,0.5
Creighton University,100-c,1,Creighton,34,20,14,0.588
Dartmouth College,100-c,1,Dartmouth,28,5,23,0.179
Davidson College,100-c,1,Davidson,32,16,16,0.5
Delaware State University,61-d,0.61,Delaware State,29,8,21,0.276
DePaul University,100-c,1,DePaul NCAA,36,29,7,0.806
Drake University,100-c,1,Drake,32,17,15,0.531
Drexel University,100-c,1,Drexel,31,15,16,0.484
Duke University,100-c,1,Duke NCAA,35,28,7,0.8
Duquesne University,100-c,1,Duquesne,33,20,13,0.606
East Carolina University,69-c,0.69,East Carolina,31,22,9,0.71
East Tennessee State University,77-c,0.77,East Tennessee State,30,9,21,0.3
Eastern Illinois University,92-c,0.92,Eastern Illinois,28,12,16,0.429
Eastern Kentucky University,75-d,0.75,Eastern Kentucky,30,17,13,0.567
Eastern Michigan University,100-c,1,Eastern Michigan,32,18,14,0.563
Eastern Washington University,100-c,1,Eastern Washington,30,16,14,0.533
Elon University,79-c,0.79,Elon,31,15,16,0.484
Fairfield University,93-c,0.93,Fairfield,33,22,11,0.667
Florida A&M University,68-d,0.68,Florida A&M,31,17,14,0.548
Florida Atlantic University,63-d,0.63,Florida Atlantic,30,16,14,0.533
Florida Gulf Coast University,50-c,0.5,Florida Gulf Coast NCAA,34,26,8,0.765
Florida International University,86-c,0.86,Florida International,33,15,18,0.455
Florida State University,83-c,0.83,Florida State NCAA,33,21,12,0.636
Fordham University,93-c,0.93,Fordham NCAA,33,25,8,0.758
Furman University,100-c,1,Furman,31,18,13,0.581
Gardner-Webb University,100-b,1,Gardner-Webb,30,16,14,0.533
George Mason University,88-d,0.88,George Mason,31,8,23,0.258
George Washington University,100-b,1,George Washington,34,23,11,0.676
Georgetown University,100-c,1,Georgetown,32,11,21,0.344
Georgia Institute of Technology,67-c,0.67,Georgia Tech NCAA,32,20,12,0.625
Georgia Southern University,86-c,0.86,Georgia Southern,31,10,21,0.323
Georgia State University,70-b,0.7,Georgia State,31,12,19,0.387
Gonzaga University,92-c,0.92,Gonzaga NCAA,34,29,5,0.853
Grambling State University,64-c,0.64,Grambling,31,11,20,0.355
Grand Canyon University,77-c,0.77,Grand Canyon,30,20,10,0.667
Hampton University,64-c,0.64,Hampton NCAA,33,28,5,0.848
Harvard University,100-d,1,Harvard,30,22,8,0.733
High Point University,92-c,0.92,High Point,33,22,11,0.667
Hofstra University,75-d,0.75,Hofstra,29,14,15,0.483
Houston Christian University,67-c,0.67,Houston Christian,29,12,17,0.414
Howard University,79-c,0.79,Howard,31,11,20,0.355
Idaho State University,73-c,0.73,Idaho State,31,14,17,0.452
Illinois State University,93-c,0.93,Illinois State,30,10,20,0.333
Indiana State University,83-c,0.83,Indiana State,32,20,12,0.625
Indiana University Bloomington,90-b,0.9,Indiana,34,21,13,0.618
Indiana University Indianapolis,67-c,0.67,IU Indy,33,23,10,0.697
Iona University,100-c,1,Iona,32,26,6,0.813
Iowa State University,100-c,1,Iowa State NCAA,31,20,11,0.645
Jackson State University,75-d,0.75,Jackson State,30,15,15,0.5
