School,4-Class,GSR Rate,School 2 (For some),Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian University,57-e,0.57,Abilene Christian,31,11,20,0.355
Alabama A&M University,33-c,0.33,Alabama A&M,30,14,16,0.467
Alabama State University,45-c,0.45,Alabama State,32,19,13,0.594
Alcorn State University,55-c,0.55,Alcorn State,31,12,19,0.387
American University,93-c,0.93,American NCAA,33,20,13,0.606
Appalachian State University,71-c,0.71,Appalachian State,30,9,21,0.3
Arizona State University,80-b,0.8,Arizona State NCAA,33,21,12,0.636
Arkansas State University,50-d,0.5,Arkansas State,32,19,13,0.594
Auburn University,62-c,0.62,Auburn,30,14,16,0.467
Austin Peay State University,92-c,0.92,Austin Peay,30,12,18,0.4
Ball State University,47-d,0.47,Ball State,30,5,25,0.167
Baylor University,92-c,0.92,Baylor NCAA,38,26,12,0.684
Belmont University,100-b,1,Belmont,36,26,10,0.722
Bethune-Cookman University,67-d,0.67,Bethune-Cookman,32,7,25,0.219
Binghamton University,73-c,0.73,Binghamton,30,7,23,0.233
Boise State University,69-d,0.69,Boise State,34,21,13,0.618
Boston College,70-b,0.7,Boston College,32,8,24,0.25
Boston University,100-c,1,Boston University,35,24,11,0.686
Bowling Green State University,56-b,0.56,Bowling Green State,32,12,20,0.375
Bradley University,77-c,0.77,Bradley,32,12,20,0.375
Brigham Young University,82-c,0.82,Brigham Young NCAA,35,23,12,0.657
Brown University,100-d,1,Brown,29,15,14,0.517
Bryant University,82-d,0.82,Bryant,32,18,14,0.563
Bucknell University,100-b,1,Bucknell,30,16,14,0.533
Butler University,100-b,1,Butler,31,14,17,0.452
California Polytechnic State University,46-c,0.46,Cal Poly NCAA,34,14,20,0.412
California State University Bakersfield,62-c,0.62,Cal State Bakersfield,32,13,19,0.406
California State University Fullerton,68-e,0.68,Cal State Fullerton,31,11,20,0.355
California State University Northridge,48-e,0.48,Cal State Northridge,35,17,18,0.486
California State University Sacramento,80-d,0.8,Sacramento State,30,14,16,0.467
Campbell University,75-c,0.75,Campbell,32,12,20,0.375
Canisius University,71-d,0.71,Canisius,34,21,13,0.618
Centenary College (Louisiana),100-a,1,Fresno State,39,21,18,0.538
Central Connecticut State University,80-b,0.8,Central Connecticut State,30,11,19,0.367
Central Michigan University,64-c,0.64,Central Michigan,31,10,21,0.323
Charleston Southern University,88-b,0.88,Charleston Southern,31,13,18,0.419
Chicago State University,43-c,0.43,Chicago State,32,13,19,0.406
Clemson University,70-b,0.7,Clemson,36,23,13,0.639
Cleveland State University,100-b,1,Cleveland State,33,21,12,0.636
Coastal Carolina University,80-c,0.8,Coastal Carolina NCAA,34,21,13,0.618
Colgate University,100-b,1,Colgate,31,13,18,0.419
College of Charleston (South Carolina),46-c,0.46,College of Charleston,32,14,18,0.438
College of the Holy Cross,100-c,1,Holy Cross,34,20,14,0.588
Colorado State University,54-c,0.54,Colorado State,32,16,16,0.5
Columbia University-Barnard College,95-d,0.95,Columbia,34,21,13,0.618
Coppin State University,67-b,0.67,Coppin State,32,12,20,0.375
Cornell University,89-d,0.89,Cornell,28,2,26,0.071
Creighton University,90-b,0.9,Creighton NCAA,35,27,8,0.771
Dartmouth College,100-d,1,Dartmouth,28,12,16,0.429
Davidson College,100-c,1,Davidson,33,20,13,0.606
Delaware State University,50-c,0.5,Delaware State,30,9,21,0.3
DePaul University,60-b,0.6,DePaul,33,12,21,0.364
Drake University,90-b,0.9,Drake,31,15,16,0.484
Drexel University,100-b,1,Drexel,30,16,14,0.533
Duke University,100-b,1,Duke NCAA,35,26,9,0.743
Duquesne University,80-b,0.8,Duquesne,30,13,17,0.433
East Carolina University,70-b,0.7,East Carolina,34,17,17,0.5
East Tennessee State University,80-b,0.8,East Tennessee State,35,19,16,0.543
Eastern Illinois University,93-c,0.93,Eastern Illinois,30,11,19,0.367
Eastern Kentucky University,91-c,0.91,Eastern Kentucky NCAA,34,24,10,0.706
Eastern Michigan University,59-d,0.59,Eastern Michigan,37,22,15,0.595
Eastern Washington University,73-c,0.73,Eastern Washington,31,15,16,0.484
Elon University,100-c,1,Elon,32,18,14,0.563
Fairfield University,100-b,1,Fairfield,32,7,25,0.219
Florida A&M University,36-c,0.36,Florida A&M,32,14,18,0.438
Florida Atlantic University,45-c,0.45,Florida Atlantic,32,10,22,0.313
Florida Gulf Coast University,62-c,0.62,Florida Gulf Coast,35,22,13,0.629
Florida International University,55-d,0.55,Florida International,31,15,16,0.484
Florida State University,83-b,0.83,Florida State,36,22,14,0.611
Fordham University,91-c,0.91,Fordham,31,10,21,0.323
Furman University,100-b,1,Furman,30,9,21,0.3
Gardner-Webb University,82-c,0.82,Gardner-Webb,33,18,15,0.545
George Mason University,100-b,1,George Mason,31,11,20,0.355
George Washington University,80-b,0.8,George Washington NCAA,33,24,9,0.727
Georgetown University,70-b,0.7,Georgetown,33,18,15,0.545
Georgia Institute of Technology,46-c,0.46,Georgia Tech,33,16,17,0.485
Georgia Southern University,63-d,0.63,Georgia Southern,34,15,19,0.441
Georgia State University,77-c,0.77,Georgia State,34,25,9,0.735
Gonzaga University,91-c,0.91,Gonzaga NCAA,36,29,7,0.806
Grambling State University,9-c,0.09,Grambling,29,5,24,0.172
Grand Canyon University,56-d,0.56,Grand Canyon,30,15,15,0.5
Hampton University,67-c,0.67,Hampton,31,18,13,0.581
Harvard University,100-d,1,Harvard NCAA,32,27,5,0.844
High Point University,73-c,0.73,High Point,31,16,15,0.516
Hofstra University,92-c,0.92,Hofstra,33,10,23,0.303
Houston Christian University,86-c,0.86,Houston Christian,31,6,25,0.194
Howard University,50-c,0.5,Howard,33,8,25,0.242
Idaho State University,62-c,0.62,Idaho State,29,11,18,0.379
Illinois State University,88-d,0.88,Illinois State,34,18,16,0.529
Indiana State University,47-d,0.47,Indiana State,34,23,11,0.676
Indiana University Bloomington,42-c,0.42,Indiana,32,17,15,0.531
Indiana University Indianapolis,67-b,0.67,IU Indy,32,6,26,0.188
Iona University,60-b,0.6,Iona,33,22,11,0.667
Iowa State University,64-c,0.64,Iowa State NCAA,36,28,8,0.778
Jackson State University,54-c,0.54,Jackson State,31,11,20,0.355
Jacksonville State University,46-c,0.46,Jacksonville State,31,10,21,0.323
Jacksonville University,100-a,1,Jacksonville,30,12,18,0.4
James Madison University,50-c,0.5,James Madison,31,11,20,0.355
Kansas State University,75-c,0.75,Kansas State NCAA,33,20,13,0.606
Kennesaw State University,50-b,0.5,Kennesaw State,31,6,25,0.194
Kent State University,67-c,0.67,Kent State,32,16,16,0.5
La Salle University,77-c,0.77,La Salle,31,15,16,0.484
Lafayette College,90-b,0.9,Lafayette,31,11,20,0.355
Lamar University,80-b,0.8,Lamar,30,4,26,0.133
Lehigh University,90-b,0.9,Lehigh,32,14,18,0.438
Liberty University,54-c,0.54,Liberty,32,11,21,0.344
Lipscomb University,75-c,0.75,Lipscomb,30,15,15,0.5
Long Beach State University,82-c,0.82,Long Beach State,32,15,17,0.469
Long Island University,62-c,0.62,Long Island University,29,9,20,0.31
Longwood University,69-c,0.69,Longwood,32,8,24,0.25
Louisiana State University,50-b,0.5,Louisiana State,34,20,14,0.588
Louisiana Tech University,55-c,0.55,Louisiana Tech,37,29,8,0.784
Loyola Marymount University,100-b,1,Loyola Marymount,32,13,19,0.406
Loyola University Chicago,100-c,1,Loyola (IL),32,10,22,0.313
Loyola University Maryland,80-b,0.8,Loyola (MD),30,11,19,0.367
Manhattan University,73-c,0.73,Manhattan NCAA,33,25,8,0.758
Marist University,73-c,0.73,Marist,31,12,19,0.387
Marquette University,71-c,0.71,Marquette,32,17,15,0.531
Marshall University,63-b,0.63,Marshall,33,11,22,0.333
McNeese State University,88-d,0.88,McNeese State,31,11,20,0.355
Mercer University,75-d,0.75,Mercer NCAA,36,27,9,0.75
Miami University (Ohio),75-c,0.75,Miami (OH),31,13,18,0.419
Michigan State University,73-c,0.73,Michigan State NCAA,38,29,9,0.763
Middle Tennessee State University,100-c,1,Middle Tennessee,33,24,9,0.727
Mississippi State University,50-b,0.5,Mississippi State,33,14,19,0.424
Mississippi Valley State University,48-e,0.48,Mississippi Valley State,32,9,23,0.281
Missouri State University,77-c,0.77,Missouri State,33,20,13,0.606
Monmouth University,83-c,0.83,Monmouth,32,11,21,0.344
