Race,Men Basketball 0,Men Baseball 0,Men CC/Track 0,Men Football 2,Men Other 0,School,Sport Category,Men Football 0,Men Other 1,Men Football 1,Men Other 2,Men Basketball 1,Men CC/Track 1,Men Baseball 1,Men Football 4,Men Other 4,Men CC/Track 3,Men Other 9,Men Football 3,Men Baseball 2,Men Baseball 7,Men Other 7
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,0,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Black,7,1,9,51,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Hispanic,0,6,0,12,1,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,0,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
N-R Alien,2,1,5,1,4,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,1,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,2,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
White,7,44,16,64,15,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Total,16,52,30,133,20,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Black,1,2,2,,3,Alabama A&M University,Men,4,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
White,0,1,0,,1,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Total,1,5,2,,4,Alabama A&M University,Men,4,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Black,12,3,19,,2,Alabama State University,Men,63,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Hispanic,0,17,1,,1,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
N-R Alien,1,2,0,,11,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Alabama State University,Men,2,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Alabama State University,Men,2,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
White,0,7,0,,0,Alabama State University,Men,1,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Total,13,29,20,,14,Alabama State University,Men,68,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Black,13,14,12,,4,Alcorn State University,Men,73,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Hispanic,0,10,1,,1,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Alcorn State University,Men,4,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
N-R Alien,1,1,0,,4,Alcorn State University,Men,1,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Two or More,0,2,0,,1,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
White,0,0,0,,0,Alcorn State University,Men,2,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Total,14,27,13,,10,Alcorn State University,Men,80,,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,American University,Men,0,2,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Black,1,0,1,,,American University,Men,0,2,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,1,,,American University,Men,0,4,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,American University,Men,0,0,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,,American University,Men,0,4,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,,American University,Men,0,0,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Unknown,6,0,0,,,American University,Men,0,6,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
White,4,0,8,,,American University,Men,0,14,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Total,13,0,10,,,American University,Men,0,33,,,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,Appalachian State University,Men,,,0,0,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Black,10,3,5,,,Appalachian State University,Men,,,50,4,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,1,,,Appalachian State University,Men,,,1,0,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Appalachian State University,Men,,,0,0,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,,Appalachian State University,Men,,,0,7,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Two or More,1,4,0,,,Appalachian State University,Men,,,5,1,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,,Appalachian State University,Men,,,0,0,,,,,,,,,,,
