Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA
Am. Ind./AN,***,***,13,23,***,***,13,46,***,***,26,35,All Students,Abilene Christian University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Abilene Christian University
Asian,4,50,16,75,5,40,14,50,9,44,30,63,All Students,Abilene Christian University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Abilene Christian University
Black,40,23,164,27,30,33,133,41,70,27,297,34,All Students,Abilene Christian University,13,23,39,38,102,38,3,67,12,67,15,87,16,31,51,45,117,44,Student-Athletes,Abilene Christian University
Hispanic,24,42,104,32,50,52,167,53,74,49,271,45,All Students,Abilene Christian University,***,***,***,***,5,40,***,***,***,***,9,56,***,***,***,***,14,50,Student-Athletes,Abilene Christian University
Nat. Haw./PI,0,-,8,13,0,-,3,67,0,-,11,27,All Students,Abilene Christian University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Abilene Christian University
N-R Alien,11,64,52,56,7,43,49,63,18,56,101,59,All Students,Abilene Christian University,***,***,***,***,20,70,***,***,***,***,8,63,***,***,***,***,28,68,Student-Athletes,Abilene Christian University
Two or More,7,86,16,88,9,100,11,100,16,94,27,93,All Students,Abilene Christian University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Abilene Christian University
Unknown,***,***,20,50,***,***,23,52,***,***,43,51,All Students,Abilene Christian University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Abilene Christian University
White,314,57,1385,57,367,64,1702,65,681,61,3087,62,All Students,Abilene Christian University,43,56,98,57,154,73,18,72,48,77,83,86,61,61,146,64,237,78,Student-Athletes,Abilene Christian University
Total,408,52,1778,53,476,60,2115,63,884,57,3893,58,All Students,Abilene Christian University,57,49,145,51,286,59,23,70,65,71,115,82,80,55,210,57,401,66,Student-Athletes,Abilene Christian University
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alabama A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alabama A&M University
Asian,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Alabama A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alabama A&M University
Black,394,23,2000,35,468,35,2184,47,862,29,4184,41,All Students,Alabama A&M University,8,38,97,42,95,43,12,33,58,55,64,61,20,35,155,47,159,50,Student-Athletes,Alabama A&M University
Hispanic,***,***,10,40,***,***,9,33,***,***,19,37,All Students,Alabama A&M University,3,0,5,20,***,***,0,-,0,-,***,***,3,0,5,20,***,***,Student-Athletes,Alabama A&M University
Nat. Haw./PI,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Alabama A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alabama A&M University
N-R Alien,***,***,18,28,***,***,19,53,***,***,37,41,All Students,Alabama A&M University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Alabama A&M University
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Alabama A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alabama A&M University
Unknown,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Alabama A&M University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Alabama A&M University
White,***,***,24,38,***,***,20,60,***,***,44,48,All Students,Alabama A&M University,0,-,4,50,5,40,0,-,6,67,6,67,0,-,10,60,11,55,Student-Athletes,Alabama A&M University
Total,407,23,2054,35,475,35,2237,47,882,29,4291,41,All Students,Alabama A&M University,12,33,115,41,105,43,12,33,66,56,74,61,24,33,181,46,179,50,Student-Athletes,Alabama A&M University
Am. Ind./AN,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Alabama State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Alabama State University
Asian,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Alabama State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Alabama State University
Black,567,18,2163,19,749,31,2699,31,1316,25,4862,26,All Students,Alabama State University,28,32,114,41,103,64,26,65,79,56,72,78,54,48,193,47,175,70,Student-Athletes,Alabama State University
Hispanic,***,***,5,0,***,***,12,17,***,***,17,12,All Students,Alabama State University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Alabama State University
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Alabama State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alabama State University
N-R Alien,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alabama State University,***,***,0,-,***,***,***,***,4,25,***,***,***,***,4,25,***,***,Student-Athletes,Alabama State University
Two or More,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alabama State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alabama State University
Unknown,6,17,17,6,7,43,17,24,13,31,34,15,All Students,Alabama State University,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-,Student-Athletes,Alabama State University
White,8,13,30,23,4,0,22,27,12,8,52,25,All Students,Alabama State University,3,0,***,***,12,50,0,-,***,***,4,100,3,0,***,***,16,63,Student-Athletes,Alabama State University
Total,583,18,2218,19,768,31,2767,31,1351,25,4985,25,All Students,Alabama State University,31,29,129,41,117,63,28,64,91,52,78,79,59,46,220,45,195,70,Student-Athletes,Alabama State University
Am. Ind./AN,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Alcorn State University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Alcorn State University
Asian,0,-,3,0,0,-,6,17,0,-,9,11,All Students,Alcorn State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Alcorn State University
Black,203,25,919,28,300,41,1142,40,503,35,2061,34,All Students,Alcorn State University,32,28,116,31,91,55,27,37,68,41,55,76,59,32,184,35,146,63,Student-Athletes,Alcorn State University
Hispanic,***,***,7,43,***,***,4,50,***,***,11,45,All Students,Alcorn State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Alcorn State University
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alcorn State University,***,***,4,25,***,***,***,***,3,0,***,***,***,***,7,14,***,***,Student-Athletes,Alcorn State University
N-R Alien,***,***,11,45,***,***,8,50,***,***,19,47,All Students,Alcorn State University,***,***,6,0,5,100,***,***,11,64,12,92,***,***,17,41,17,94,Student-Athletes,Alcorn State University
Two or More,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alcorn State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alcorn State University
Unknown,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Alcorn State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Alcorn State University
White,***,***,23,39,***,***,25,48,***,***,48,44,All Students,Alcorn State University,***,***,3,33,***,***,***,***,3,33,***,***,***,***,6,33,***,***,Student-Athletes,Alcorn State University
Total,209,24,967,28,305,41,1189,40,514,34,2156,35,All Students,Alcorn State University,36,25,133,29,108,59,31,35,89,43,73,79,67,30,222,35,181,67,Student-Athletes,Alcorn State University
Am. Ind./AN,3,67,6,83,3,67,16,75,6,67,22,77,All Students,American University,***,***,***,***,3,100,***,***,***,***,0,-,***,***,***,***,3,100,Student-Athletes,American University
Asian,20,85,89,72,47,77,167,73,67,79,256,73,All Students,American University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,American University
Black,9,78,53,77,34,68,149,70,43,70,202,72,All Students,American University,***,***,5,80,8,88,***,***,6,83,6,100,***,***,11,82,14,93,Student-Athletes,American University
Hispanic,21,62,73,66,34,79,142,80,55,73,215,75,All Students,American University,***,***,***,***,3,100,***,***,***,***,3,100,***,***,***,***,6,100,Student-Athletes,American University
Nat. Haw./PI,0,-,***,***,0,-,***,***,0,-,***,***,All Students,American University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,American University
N-R Alien,12,58,49,73,35,77,103,77,47,72,152,76,All Students,American University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,American University
Two or More,18,50,38,58,36,72,74,66,54,65,112,63,All Students,American University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,American University
Unknown,60,77,***,***,102,82,***,***,162,80,***,***,All Students,American University,0,-,6,83,5,100,0,-,6,67,7,86,0,-,12,75,12,92,Student-Athletes,American University
White,305,84,1261,79,545,82,2186,81,850,82,3447,80,All Students,American University,14,93,43,72,44,93,13,77,55,73,43,95,27,85,98,72,87,94,Student-Athletes,American University
Total,448,80,1779,77,836,80,3312,79,1284,80,5091,78,All Students,American University,17,88,59,73,66,94,18,83,78,74,69,94,35,86,137,74,135,94,Student-Athletes,American University
Am. Ind./AN,3,100,23,52,5,80,22,59,8,88,45,56,All Students,Appalachian State University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Appalachian State University
Asian,14,86,63,67,15,47,77,69,29,66,140,68,All Students,Appalachian State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Appalachian State University
Black,67,45,200,52,71,61,204,62,138,53,404,57,All Students,Appalachian State University,14,79,52,65,61,72,7,57,26,54,18,89,21,71,78,62,79,76,Student-Athletes,Appalachian State University
Hispanic,20,75,98,56,34,82,114,70,54,80,212,64,All Students,Appalachian State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Appalachian State University
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Appalachian State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Appalachian State University
N-R Alien,4,25,20,45,3,100,15,53,7,57,35,49,All Students,Appalachian State University,0,-,***,***,4,100,0,-,***,***,4,100,0,-,***,***,8,100,Student-Athletes,Appalachian State University
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Appalachian State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Appalachian State University
Unknown,73,58,189,54,74,77,202,77,147,67,391,66,All Students,Appalachian State University,***,***,3,67,***,***,***,***,3,67,***,***,***,***,6,67,***,***,Student-Athletes,Appalachian State University
White,1148,64,4571,62,1199,74,4683,72,2347,69,9254,67,All Students,Appalachian State University,31,71,114,58,91,81,22,68,97,70,88,86,53,70,211,64,179,84,Student-Athletes,Appalachian State University
Total,1329,63,5164,62,1401,73,5317,71,2730,69,10481,67,All Students,Appalachian State University,47,74,179,60,165,79,33,70,129,67,114,88,80,73,308,63,279,82,Student-Athletes,Appalachian State University
