School,Basketball Player #,GSR,GSR Percentage,Graduation Rate,School Checked,Overall Games,Overall Wins,Overall Losses,W-L%
Abilene Christian University,14,100-c,1,14,Abilene Christian,30,14,16,0.467
Alabama A&M University,12,80-c,0.8,10,Alabama A&M,31,15,16,0.469
Alabama State University,15,88-d,0.88,13,#N/A,#N/A,#N/A,#N/A,#N/A
Alcorn State University,13,72-d,0.72,9,#N/A,#N/A,#N/A,#N/A,#N/A
American University,12,92-c,0.92,11,American,30,10,20,0.484
Appalachian State University,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
Arizona State University,15,100-b,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
Arkansas State University,14,84-d,0.84,12,Arkansas,33,18,15,0.375
Auburn University,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
Austin Peay State University,7,94-d,0.94,7,Austin Peay,33,17,16,0.531
Ball State University,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
Baylor University,0,100-c,1,0,#N/A,#N/A,#N/A,#N/A,#N/A
Belmont University,12,93-c,0.93,11,Belmont,35,26,9,0.545
Bethune-Cookman University,3,92-c,0.92,3,Bethune-Cookman,31,15,16,0.433
Binghamton University,15,100-c,1,15,Binghamton,31,14,17,0.515
Boise State University,16,100-c,1,16,#N/A,#N/A,#N/A,#N/A,#N/A
Boston College,15,91-c,0.91,14,#N/A,#N/A,#N/A,#N/A,#N/A
Boston University,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
Bowling Green State University,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
Bradley University,14,100-c,1,14,Bradley,32,6,26,0.765
Brigham Young University,10,86-c,0.86,9,Brigham Young,33,16,17,0.345
Brown University,0,100-d,1,0,Brown,27,16,11,0.743
Bryant University,14,100-c,1,14,Bryant,30,15,15,0.484
Bucknell University,12,100-c,1,12,Bucknell,31,13,18,0.452
Butler University,14,88-d,0.88,12,Butler,32,15,17,0.6
California Baptist University,11,100-b,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
California Polytechnic State University,11,88-d,0.88,10,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Bakersfield,9,100-c,1,9,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Fresno,16,86-c,0.86,14,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Fullerton,12,82-c,0.82,10,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Northridge,9,93-c,0.93,8,#N/A,#N/A,#N/A,#N/A,#N/A
California State University Sacramento,14,82-c,0.82,11,#N/A,#N/A,#N/A,#N/A,#N/A
Campbell University,13,100-c,1,13,Campbell,31,17,14,0.419
Canisius University,8,100-c,1,8,Canisius,31,17,14,0.576
Central Connecticut State University,14,93-c,0.93,13,#N/A,#N/A,#N/A,#N/A,#N/A
Central Michigan University,16,100-c,1,16,Central Michigan,28,6,22,0.548
Charleston Southern University,12,81-d,0.81,10,Charleston Southern,30,11,19,0.276
Chicago State University,13,40-b,0.4,5,#N/A,#N/A,#N/A,#N/A,#N/A
Clemson University,13,95-d,0.95,12,Clemson,31,12,19,0.1
Cleveland State University,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
Coastal Carolina University,15,87-c,0.87,13,Coastal Carolina,33,12,21,0.875
Colgate University,14,100-c,1,14,Colgate,34,20,14,0.548
College of Charleston (South Carolina),13,82-c,0.82,11,#N/A,#N/A,#N/A,#N/A,#N/A
College of the Holy Cross,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
Colorado State University,14,100-b,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
Columbia University-Barnard College,0,100-d,1,0,#N/A,#N/A,#N/A,#N/A,#N/A
Coppin State University,0,83-b,0.83,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cornell University,0,94-d,0.94,0,Cornell,26,7,19,0.516
Creighton University,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
Dartmouth College,5,100-d,1,5,Dartmouth,26,7,19,0.037
Davidson College,13,100-c,1,13,Davidson,26,18,8,0.438
DePaul University,13,83-e,0.83,11,DePaul,32,12,20,0.387
Delaware State University,11,100-c,1,11,Delaware,31,11,20,0.829
Drake University,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
Drexel University,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
Duke University,10,92-c,0.92,9,#N/A,#N/A,#N/A,#N/A,#N/A
Duquesne University,14,100-c,1,14,Duquesne,34,21,13,0.706
East Carolina University,14,93-c,0.93,13,East Carolina,33,19,14,0.645
East Tennessee State University,3,80-c,0.8,2,#N/A,#N/A,#N/A,#N/A,#N/A
Eastern Illinois University,15,100-b,1,15,Eastern Illinois,33,15,18,0.846
Eastern Kentucky University,13,100-c,1,13,Eastern Kentucky,34,22,12,0.4
Eastern Michigan University,14,100-c,1,14,Eastern Michigan,29,7,22,0.269
Eastern Washington University,15,93-c,0.93,14,#N/A,#N/A,#N/A,#N/A,#N/A
Elon University,0,100-b,1,0,Elon,32,11,21,0.269
Fairfield University,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
Fairleigh Dickinson University Metropolitan Campus,13,80-c,0.8,10,#N/A,#N/A,#N/A,#N/A,#N/A
Florida A&M University,12,64-c,0.64,8,Florida A&M,30,9,21,0.355
Florida Atlantic University,10,92-c,0.92,9,Florida Atlantic,30,11,19,0.286
Florida Gulf Coast University,0,100-c,1,0,#N/A,#N/A,#N/A,#N/A,#N/A
Florida International University,9,93-c,0.93,8,Florida International,33,21,12,0.375
Florida State University,11,90-b,0.9,10,Florida,32,16,16,0.515
Fordham University,8,85-c,0.85,7,Fordham,29,12,17,0.829
Furman University,13,100-b,1,13,Furman,31,15,16,0.559
Gardner-Webb University,13,92-c,0.92,12,Gardner-Webb,30,6,24,0.647
George Mason University,14,100-c,1,14,George Mason,31,23,8,0.618
George Washington University,15,92-c,0.92,14,George Washington,31,13,18,0.576
Georgetown University,14,100-b,1,14,Georgetown,35,23,12,0.6
Georgia Institute of Technology,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia Southern University,15,93-c,0.93,14,Georgia Southern,33,15,18,0.455
Georgia State University,13,77-c,0.77,10,Georgia,30,12,18,0.647
Gonzaga University,10,93-c,0.93,9,#N/A,#N/A,#N/A,#N/A,#N/A
Grambling State University,14,89-d,0.89,12,Grambling,33,23,10,0.829
Grand Canyon University,14,78-b,0.78,11,Grand Canyon,32,24,8,0.344
Hampton University,15,70-b,0.7,11,Hampton,29,3,26,0.125
Harvard University,0,100-d,1,0,Harvard,28,16,12,0.939
High Point University,16,100-c,1,16,High Point,32,20,12,0.452
Hofstra University,13,100-c,1,13,Hofstra,32,11,21,0.5
Houston Christian University,13,100-d,1,13,Houston Christian,29,6,23,0.3
Howard University,15,76-d,0.76,11,Howard,31,15,16,0.367
Idaho State University,14,100-c,1,14,Idaho,31,15,16,0.853
Illinois State University,13,91-c,0.91,12,Illinois,34,19,15,0.636
Indiana State University,15,69-d,0.69,10,#N/A,#N/A,#N/A,#N/A,#N/A
Indiana University Bloomington,9,100-c,1,9,#N/A,#N/A,#N/A,#N/A,#N/A
Indiana University Indianapolis,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
Iona University,14,83-c,0.83,12,Iona,30,11,19,0.484
Iowa State University,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
Jackson State University,14,95-d,0.95,13,#N/A,#N/A,#N/A,#N/A,#N/A
Jacksonville State University,13,94-d,0.94,12,Jacksonville,31,11,20,0.419
