Race,2017-18 N, %,4-Class N, %_1,2017-18 N_1, %_2,4-Class N_1, %_3,2017-18 N_2, %_4,4-Class N_2, %_5,Source,School,Student-Athletes 17-18 N,Student-Athletes  %,Student-Athletes 4-Class N,Student-Athletes  %_1,Student-Athletes GSR N,Student-Athletes 20 %,Student-Athletes 17-18 N_1,Student-Athletes  %_2,Student-Athletes 4-Class N_1,Student-Athletes  %_3,Student-Athletes GSR N_1,Student-Athletes 20 %_1,Student-Athletes 17-18 N_2,Student-Athletes  %_4,Student-Athletes 4-Class N_2,Student-Athletes  %_5,Student-Athletes GSR N_2,Student-Athletes  %_6
Am. Ind./AN,***,***,4,0,***,***,8,75,***,***,12,50,All Students,Abilene Christian University,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-
Asian,4,75,15,80,5,60,27,63,9,67,42,69,All Students,Abilene Christian University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Black,39,41,166,40,48,44,191,52,87,43,357,46,All Students,Abilene Christian University,8,75,59,51,68,76,9,67,18,72,13,100,17,71,77,56,81,80
Hispanic,62,45,253,53,109,59,493,54,171,54,746,53,All Students,Abilene Christian University,***,***,5,40,9,100,***,***,17,65,12,100,***,***,22,59,21,100
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Abilene Christian University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-
Total,379,56,1574,58,561,63,2389,64,940,60,3963,62,All Students,Abilene Christian University,27,67,137,59,167,86,35,77,108,74,92,97,62,73,245,66,259,90
Two or More,15,47,89,51,25,52,107,55,40,50,196,53,All Students,Abilene Christian University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***
US N-R,19,58,54,57,21,62,62,68,40,60,116,63,All Students,Abilene Christian University,***,***,4,75,3,100,***,***,4,100,6,100,***,***,8,88,9,100
Unknown,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Abilene Christian University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
White,239,62,981,64,352,68,1492,70,591,65,2473,67,All Students,Abilene Christian University,15,67,62,69,80,91,17,76,65,75,58,95,32,72,127,72,138,93
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alabama A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Asian,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alabama A&M University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***
Black,464,21,1881,20,694,32,2621,33,1158,28,4502,28,All Students,Alabama A&M University,18,50,86,42,83,63,28,64,95,61,75,91,46,59,181,52,158,76
Hispanic,8,38,24,38,5,40,15,40,13,38,39,38,All Students,Alabama A&M University,***,***,12,58,10,90,***,***,8,38,5,60,***,***,20,50,15,80
Nat. Haw./PI,***,***,4,50,***,***,4,50,***,***,8,50,All Students,Alabama A&M University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Total,514,22,2060,21,772,33,2850,33,1286,29,4910,28,All Students,Alabama A&M University,31,45,121,42,122,67,43,56,128,57,98,89,74,51,249,50,220,77
Two or More,4,25,67,22,10,20,99,29,14,21,166,27,All Students,Alabama A&M University,***,***,3,67,6,83,***,***,6,83,6,83,***,***,9,78,12,83
US N-R,3,67,8,50,6,50,14,57,9,56,22,55,All Students,Alabama A&M University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Unknown,22,27,27,22,46,50,51,49,68,43,78,40,All Students,Alabama A&M University,***,***,***,***,3,67,***,***,***,***,0,-,***,***,***,***,3,67
White,13,15,46,30,6,33,35,23,19,21,81,27,All Students,Alabama A&M University,7,14,16,25,13,62,5,60,10,50,9,89,12,33,26,35,22,73
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alabama State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***
Asian,***,***,4,25,***,***,8,13,***,***,12,17,All Students,Alabama State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Black,323,58,1443,30,567,14,2465,29,890,30,3908,30,All Students,Alabama State University,14,50,71,55,100,69,17,65,68,66,68,85,31,58,139,60,168,76
Hispanic,4,100,23,43,6,50,23,43,10,70,46,43,All Students,Alabama State University,***,***,9,78,11,91,***,***,8,63,6,83,***,***,17,71,17,88
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alabama State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Total,349,57,1553,30,602,15,2614,30,951,30,4167,30,All Students,Alabama State University,24,54,104,52,131,73,25,56,110,60,110,86,49,55,214,56,241,79
Two or More,4,25,21,10,8,38,39,33,12,33,60,25,All Students,Alabama State University,***,***,3,33,5,80,***,***,3,67,3,67,***,***,6,50,8,75
US N-R,***,***,16,25,***,***,14,50,***,***,30,37,All Students,Alabama State University,***,***,8,38,5,100,***,***,8,50,9,100,***,***,16,44,14,100
Unknown,5,80,19,47,9,33,28,29,14,50,47,36,All Students,Alabama State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***
White,5,40,22,27,8,38,33,45,13,38,55,38,All Students,Alabama State University,3,33,10,20,6,67,6,33,20,45,21,86,9,33,30,37,27,81
Am. Ind./AN,3,0,4,0,0,-,3,67,3,0,7,29,All Students,Alcorn State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Asian,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Alcorn State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Black,252,37,829,37,416,48,1380,49,668,44,2209,44,All Students,Alcorn State University,16,69,76,67,92,80,24,79,62,73,70,83,40,75,138,70,162,81
Hispanic,***,***,9,22,***,***,12,50,***,***,21,38,All Students,Alcorn State University,***,***,7,29,4,100,***,***,8,63,9,89,***,***,15,47,13,92
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Alcorn State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Total,283,39,889,37,447,50,1459,49,730,46,2348,45,All Students,Alcorn State University,19,58,93,60,107,82,28,79,93,63,100,80,47,70,186,62,207,81
Two or More,0,-,6,33,0,-,12,58,0,-,18,50,All Students,Alcorn State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***
US N-R,20,75,20,75,19,100,21,90,39,87,41,83,All Students,Alcorn State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Alcorn State University,***,***,0,-,***,***,***,***,5,60,***,***,***,***,5,60,***,***
White,6,33,19,26,7,29,28,25,13,31,47,26,All Students,Alcorn State University,***,***,6,17,9,89,***,***,10,20,13,54,***,***,16,19,22,68
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,American University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
