,Basketball,CC/Track,Other,School,Sport Category
Am. Ind./AN,0,0,0,1 - DI CA Test,Women
Asian,0,0,0,1 - DI CA Test,Women
Black,0,0,0,1 - DI CA Test,Women
Hispanic,0,0,0,1 - DI CA Test,Women
Nat. Haw./PI,0,0,0,1 - DI CA Test,Women
US N-R,0,0,0,1 - DI CA Test,Women
Two or More,0,0,0,1 - DI CA Test,Women
Unknown,0,0,0,1 - DI CA Test,Women
White,0,0,0,1 - DI CA Test,Women
Total,0,0,0,1 - DI CA Test,Women
Am. Ind./AN,0,0,2,Abilene Christian University,Women
Asian,0,0,1,Abilene Christian University,Women
Black,1,5,4,Abilene Christian University,Women
Hispanic,0,1,9,Abilene Christian University,Women
Nat. Haw./PI,0,0,3,Abilene Christian University,Women
US N-R,1,3,7,Abilene Christian University,Women
Two or More,0,0,0,Abilene Christian University,Women
Unknown,0,0,0,Abilene Christian University,Women
White,12,19,56,Abilene Christian University,Women
Total,14,28,82,Abilene Christian University,Women
Am. Ind./AN,0,0,0,Alabama A&M University,Women
Asian,0,0,0,Alabama A&M University,Women
Black,12,17,39,Alabama A&M University,Women
Hispanic,0,0,17,Alabama A&M University,Women
Nat. Haw./PI,0,0,0,Alabama A&M University,Women
US N-R,0,1,4,Alabama A&M University,Women
Two or More,0,0,12,Alabama A&M University,Women
Unknown,0,0,0,Alabama A&M University,Women
White,0,0,17,Alabama A&M University,Women
Total,12,18,89,Alabama A&M University,Women
Am. Ind./AN,0,0,0,Alabama State University,Women
Asian,0,0,0,Alabama State University,Women
Black,15,17,30,Alabama State University,Women
Hispanic,0,0,3,Alabama State University,Women
Nat. Haw./PI,0,0,0,Alabama State University,Women
US N-R,0,2,15,Alabama State University,Women
Two or More,0,0,2,Alabama State University,Women
Unknown,0,0,2,Alabama State University,Women
White,0,0,20,Alabama State University,Women
Total,15,19,72,Alabama State University,Women
Am. Ind./AN,0,0,0,Alcorn State University,Women
Asian,0,0,0,Alcorn State University,Women
Black,13,15,30,Alcorn State University,Women
Hispanic,0,0,9,Alcorn State University,Women
Nat. Haw./PI,0,0,0,Alcorn State University,Women
US N-R,0,0,7,Alcorn State University,Women
Two or More,0,0,0,Alcorn State University,Women
Unknown,0,0,0,Alcorn State University,Women
White,0,0,7,Alcorn State University,Women
Total,13,15,53,Alcorn State University,Women
Am. Ind./AN,0,0,0,American University,Women
Asian,0,0,3,American University,Women
Black,1,2,6,American University,Women
Hispanic,1,2,5,American University,Women
Nat. Haw./PI,0,0,0,American University,Women
US N-R,3,0,9,American University,Women
Two or More,1,2,6,American University,Women
Unknown,0,0,2,American University,Women
White,6,11,71,American University,Women
Total,12,17,102,American University,Women
Am. Ind./AN,0,0,0,Appalachian State University,Women
Asian,0,0,1,Appalachian State University,Women
Black,7,11,2,Appalachian State University,Women
Hispanic,0,0,3,Appalachian State University,Women
Nat. Haw./PI,0,0,0,Appalachian State University,Women
US N-R,0,1,16,Appalachian State University,Women
Two or More,3,3,5,Appalachian State University,Women
Unknown,0,0,1,Appalachian State University,Women
White,3,9,62,Appalachian State University,Women
Total,13,24,90,Appalachian State University,Women
Am. Ind./AN,0,0,0,Arizona State University,Women
Asian,0,0,1,Arizona State University,Women
Black,7,8,8,Arizona State University,Women
Hispanic,1,3,16,Arizona State University,Women
Nat. Haw./PI,0,0,0,Arizona State University,Women
US N-R,3,3,55,Arizona State University,Women
