School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,Unnamed: 8,Win Category
Abilene Christian University,100-c,1.0,Abilene Christian,34.0,16.0,18.0,0.471,,3.0
Alabama A&M University,71-b,0.71,Alabama A&M,35.0,12.0,23.0,0.343,,3.0
Alabama State University,68-d,0.68,Alabama State,32.0,13.0,19.0,0.406,,5.0
Alcorn State University,59-d,0.59,Alcorn State,32.0,14.0,18.0,0.438,,4.0
American University,82-c,0.82,American,32.0,16.0,16.0,0.5,,4.0
Appalachian State University,100-b,1.0,Appalachian State,34.0,27.0,7.0,0.794,,3.0
Arizona State University,100-c,1.0,Arizona State,32.0,14.0,18.0,0.438,,4.0
Arkansas State University,88-d,0.88,Arkansas State,37.0,20.0,17.0,0.541,,3.0
Auburn University,70-b,0.7,Auburn NCAA,35.0,27.0,8.0,0.771,,2.0
Austin Peay State University,91-c,0.91,Austin Peay,35.0,19.0,16.0,0.543,,3.0
Ball State University,93-c,0.93,Ball State,31.0,15.0,16.0,0.484,,1.0
Baylor University,67-b,0.67,Baylor NCAA,35.0,24.0,11.0,0.686,,2.0
Belmont University,100-b,1.0,Belmont,33.0,20.0,13.0,0.606,,2.0
Bethune-Cookman University,79-c,0.79,Bethune-Cookman,34.0,17.0,17.0,0.5,,3.0
Binghamton University,86-b,0.86,Binghamton,30.0,15.0,15.0,0.5,,3.0
Boise State University,92-c,0.92,Boise State NCAA,33.0,22.0,11.0,0.667,,2.0
Boston College,100-b,1.0,Boston College,36.0,20.0,16.0,0.556,,3.0
Boston University,100-c,1.0,Boston University,33.0,16.0,17.0,0.485,,2.0
Bowling Green State University,92-c,0.92,Bowling Green State,34.0,20.0,14.0,0.588,,3.0
Bradley University,100-c,1.0,Bradley,35.0,23.0,12.0,0.657,,5.0
Brigham Young University,88-b,0.88,Brigham Young NCAA,34.0,23.0,11.0,0.676,,3.0
Brown University,94-d,0.94,Brown,31.0,13.0,18.0,0.419,,3.0
Bryant University,90-b,0.9,Bryant,33.0,20.0,13.0,0.606,,3.0
Bucknell University,91-c,0.91,Bucknell,33.0,14.0,19.0,0.424,,3.0
Butler University,86-c,0.86,Butler,33.0,18.0,15.0,0.545,,3.0
California Baptist University,85-c,0.85,California Baptist,33.0,16.0,17.0,0.485,,1.0
California Polytechnic State University,100-c,1.0,Cal Poly,32.0,4.0,28.0,0.125,,3.0
California State University Bakersfield,93-c,0.93,Cal State Bakersfield,32.0,13.0,19.0,0.406,,4.0
California State University Fresno,83-b,0.83,Fresno State,33.0,12.0,21.0,0.364,,3.0
California State University Fullerton,90-b,0.9,Cal State Fullerton,32.0,14.0,18.0,0.438,,4.0
California State University Northridge,53-d,0.53,Cal State Northridge,34.0,19.0,15.0,0.559,,5.0
California State University Sacramento,88-d,0.88,Sacramento State,34.0,10.0,24.0,0.294,*,5.0
Campbell University,100-c,1.0,Campbell,32.0,14.0,18.0,0.438,,3.0
Canisius University,90-b,0.9,Canisius,32.0,14.0,18.0,0.438,,3.0
Central Connecticut State University,83-c,0.83,Central Connecticut State,31.0,20.0,11.0,0.645,,4.0
Central Michigan University,76-d,0.76,Central Michigan,32.0,18.0,14.0,0.563,,4.0
Charleston Southern University,93-c,0.93,Charleston Southern,30.0,10.0,20.0,0.333,,4.0
Chicago State University,56-d,0.56,Chicago State,32.0,13.0,19.0,0.406,,5.0
Clemson University,100-b,1.0,Clemson NCAA,36.0,24.0,12.0,0.667,,4.0
Cleveland State University,100-c,1.0,Cleveland State,36.0,21.0,15.0,0.583,,1.0
Coastal Carolina University,89-b,0.89,Coastal Carolina,31.0,9.0,22.0,0.29,,4.0
Colgate University,85-c,0.85,Colgate NCAA,35.0,25.0,10.0,0.714,,3.0
College of Charleston (South Carolina),92-c,0.92,College of Charleston NCAA,35.0,27.0,8.0,0.771,,2.0
College of the Holy Cross,100-b,1.0,Holy Cross,33.0,10.0,23.0,0.303,,2.0
Colorado State University,90-b,0.9,Colorado State NCAA,36.0,25.0,11.0,0.694,,2.0
Columbia University-Barnard College,100-d,1.0,Columbia,27.0,13.0,14.0,0.481,,2.0
Coppin State University,82-c,0.82,Coppin State,29.0,2.0,27.0,0.069,,3.0
Cornell University,100-d,1.0,Cornell,30.0,22.0,8.0,0.733,,4.0
Creighton University,91-c,0.91,Creighton NCAA,35.0,25.0,10.0,0.714,,1.0
Dartmouth College,100-c,1.0,Dartmouth,27.0,6.0,21.0,0.222,,4.0
Davidson College,91-c,0.91,Davidson,32.0,15.0,17.0,0.469,,2.0
Delaware State University,73-c,0.73,Delaware State,34.0,15.0,19.0,0.441,,4.0
DePaul University,86-b,0.86,DePaul,32.0,3.0,29.0,0.094,,4.0
Drake University,79-c,0.79,Drake NCAA,35.0,28.0,7.0,0.8,,1.0
Drexel University,100-c,1.0,Drexel,32.0,20.0,12.0,0.625,,3.0
Duke University,67-b,0.67,Duke NCAA,36.0,27.0,9.0,0.75,,2.0
Duquesne University,100-b,1.0,Duquesne NCAA,37.0,25.0,12.0,0.676,,2.0
East Carolina University,82-c,0.82,East Carolina,33.0,15.0,18.0,0.455,,3.0
East Tennessee State University,89-d,0.89,East Tennessee State,35.0,19.0,16.0,0.543,,2.0
Eastern Illinois University,71-c,0.71,Eastern Illinois,32.0,14.0,18.0,0.438,,3.0
Eastern Kentucky University,92-c,0.92,Eastern Kentucky,31.0,17.0,14.0,0.548,,2.0
Eastern Michigan University,93-c,0.93,Eastern Michigan,31.0,13.0,18.0,0.419,,4.0
Eastern Washington University,100-b,1.0,Eastern Washington,32.0,21.0,11.0,0.656,,1.0
Elon University,100-c,1.0,Elon,32.0,13.0,19.0,0.406,,4.0
Fairfield University,100-c,1.0,Fairfield,37.0,24.0,13.0,0.649,,1.0
Fairleigh Dickinson University Metropolitan Campus,83-c,0.83,,,,,,*,4.0
Florida A&M University,62-e,0.62,Florida A&M,29.0,6.0,23.0,0.207,,4.0
Florida Atlantic University,100-c,1.0,Florida Atlantic NCAA,34.0,25.0,9.0,0.735,,1.0
Florida Gulf Coast University,93-c,0.93,Florida Gulf Coast,32.0,14.0,18.0,0.438,,2.0
Florida International University,81-d,0.81,Florida International,33.0,11.0,22.0,0.333,,2.0
Florida State University,100-c,1.0,Florida State,33.0,17.0,16.0,0.515,,3.0
Fordham University,93-c,0.93,Fordham,33.0,13.0,20.0,0.394,,3.0
Furman University,100-c,1.0,Furman,33.0,17.0,16.0,0.515,,4.0
Gardner-Webb University,100-b,1.0,Gardner-Webb,33.0,17.0,16.0,0.515,,2.0
George Mason University,100-b,1.0,George Mason,32.0,20.0,12.0,0.625,,3.0
George Washington University,100-b,1.0,George Washington,32.0,15.0,17.0,0.469,,2.0
Georgetown University,73-c,0.73,Georgetown,32.0,9.0,23.0,0.281,,3.0
Georgia Institute of Technology,75-c,0.75,Georgia Tech,32.0,14.0,18.0,0.438,,3.0
Georgia Southern University,73-c,0.73,Georgia Southern,33.0,9.0,24.0,0.273,,3.0
Georgia State University,91-c,0.91,Georgia State,31.0,14.0,17.0,0.452,,1.0
Gonzaga University,89-b,0.89,Gonzaga NCAA,35.0,27.0,8.0,0.771,,2.0
Grambling State University,86-c,0.86,Grambling NCAA,36.0,21.0,15.0,0.583,,2.0
Grand Canyon University,69-d,0.69,Grand Canyon NCAA,35.0,30.0,5.0,0.857,,5.0
Hampton University,75-c,0.75,Hampton,33.0,9.0,24.0,0.273,,3.0
Harvard University,100-d,1.0,Harvard,27.0,14.0,13.0,0.519,,2.0
High Point University,100-b,1.0,High Point,36.0,27.0,9.0,0.75,,4.0
Hofstra University,100-c,1.0,Hofstra,33.0,20.0,13.0,0.606,,4.0
Houston Christian University,71-c,0.71,Houston Christian,29.0,6.0,23.0,0.207,,3.0
Howard University,78-b,0.78,Howard NCAA,35.0,18.0,17.0,0.514,,4.0
Idaho State University,87-c,0.87,Idaho State,34.0,14.0,20.0,0.412,,2.0
Illinois State University,69-c,0.69,Illinois State,32.0,15.0,17.0,0.469,,4.0
Indiana State University,83-c,0.83,Indiana State,39.0,32.0,7.0,0.821,,1.0
Indiana University Bloomington,83-c,0.83,Indiana,33.0,19.0,14.0,0.576,*,4.0
Indiana University Indianapolis,100-c,1.0,IU Indy,32.0,6.0,26.0,0.188,*,4.0
Iona University,78-d,0.78,Iona,33.0,16.0,17.0,0.485,,2.0
Iowa State University,88-b,0.88,Iowa State NCAA,37.0,29.0,8.0,0.784,,2.0
Jackson State University,69-c,0.69,Jackson State,32.0,15.0,17.0,0.469,,3.0
Jacksonville State University,72-d,0.72,Jacksonville State,32.0,14.0,18.0,0.438,,4.0
Jacksonville University,100-c,1.0,Jacksonville,33.0,16.0,17.0,0.485,,2.0
James Madison University,86-b,0.86,James Madison NCAA,36.0,32.0,4.0,0.889,,2.0
Kansas State University,78-b,0.78,Kansas State,34.0,19.0,15.0,0.559,,4.0
Kennesaw State University,64-c,0.64,Kennesaw State,31.0,15.0,16.0,0.484,,2.0
Kent State University,88-d,0.88,Kent State,34.0,17.0,17.0,0.5,,4.0
La Salle University,100-b,1.0,La Salle,33.0,16.0,17.0,0.485,,4.0
Lafayette College,100-c,1.0,Lafayette,32.0,11.0,21.0,0.344,,2.0
Lamar University,86-c,0.86,Lamar,33.0,19.0,14.0,0.576,,3.0
Lehigh University,90-b,0.9,Lehigh,32.0,14.0,18.0,0.438,,3.0
Liberty University,100-c,1.0,Liberty,32.0,18.0,14.0,0.563,,3.0
Lipscomb University,100-b,1.0,Lipscomb,32.0,20.0,12.0,0.625,,3.0
Long Beach State University,56-d,0.56,Long Beach State NCAA,36.0,21.0,15.0,0.583,,4.0
Long Island University,92-c,0.92,Long Island University,29.0,7.0,22.0,0.241,,4.0
