School,GSR,GSR Percentage ,School_2,Overall G,Overall W,Overall L,Overall W-L%,Win Category
Abilene Christian University,100-c,1.0,Abilene Christian,30,14,16,0.467,3.0
Alabama A&M University,80-c,0.8,Alabama A&M,31,15,16,0.484,3.0
Alabama State University,88-d,0.88,Alabama State,29,3,26,0.103,5.0
Alcorn State University,72-d,0.72,Alcorn State,32,12,20,0.375,4.0
American University,92-c,0.92,American,30,10,20,0.333,4.0
Appalachian State University,100-c,1.0,Appalachian State,32,17,15,0.531,3.0
Arizona State University,100-b,1.0,Arizona State,31,11,20,0.355,4.0
Arkansas State University,84-d,0.84,Arkansas State,30,13,17,0.433,3.0
Auburn University,100-c,1.0,Auburn NCAA,32,20,12,0.625,2.0
Austin Peay State University,94-d,0.94,Austin Peay,33,17,16,0.515,3.0
Ball State University,100-c,1.0,Ball State,34,28,6,0.824,1.0
Baylor University,100-c,1.0,Baylor NCAA,34,26,8,0.765,2.0
Belmont University,93-c,0.93,Belmont,35,26,9,0.743,2.0
Bethune-Cookman University,92-c,0.92,Bethune-Cookman,31,15,16,0.484,3.0
Binghamton University,100-c,1.0,Binghamton,31,14,17,0.452,3.0
Boise State University,100-c,1.0,Boise State NCAA,35,21,14,0.6,2.0
Boston College,91-c,0.91,Boston College,33,14,19,0.424,3.0
Boston University,100-c,1.0,Boston University,32,20,12,0.625,2.0
Bowling Green State University,100-c,1.0,Bowling Green State,31,16,15,0.516,3.0
Bradley University,100-c,1.0,Bradley,32,6,26,0.188,5.0
Brigham Young University,86-c,0.86,Brigham Young NCAA,33,16,17,0.485,3.0
Brown University,100-d,1.0,Brown,27,16,11,0.593,3.0
Bryant University,100-c,1.0,Bryant,30,15,15,0.5,3.0
Bucknell University,100-c,1.0,Bucknell,31,13,18,0.419,3.0
Butler University,88-d,0.88,Butler,32,15,17,0.469,3.0
California Baptist University,100-b,1.0,California Baptist,32,28,4,0.875,1.0
California Polytechnic State University,88-d,0.88,Cal Poly,31,17,14,0.548,3.0
California State University Bakersfield,100-c,1.0,Cal State Bakersfield,29,8,21,0.276,4.0
California State University Fresno,86-c,0.86,Fresno State,33,15,18,0.455,3.0
California State University Fullerton,82-c,0.82,Cal State Fullerton,31,10,21,0.323,4.0
California State University Northridge,93-c,0.93,Cal State Northridge,30,3,27,0.1,5.0
California State University Sacramento,82-c,0.82,Sacramento State,31,6,25,0.194,5.0
Campbell University,100-c,1.0,Campbell,31,17,14,0.548,3.0
Canisius University,100-c,1.0,Canisius,31,17,14,0.548,3.0
Central Connecticut State University,93-c,0.93,Central Connecticut State,30,9,21,0.3,4.0
Central Michigan University,100-c,1.0,Central Michigan,28,6,22,0.214,4.0
Charleston Southern University,81-d,0.81,Charleston Southern,30,11,19,0.367,4.0
