Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2017,Arizona State University,Pac-12 Conference,Overall,AZ,93,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/28.pdf?v=1748710721067
2017,University of Arizona,Pac-12 Conference,Overall,AZ,90,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/29.pdf?v=1748710721067
2017,Arkansas State University,Sun Belt Conference,Overall,AR,85,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/30.pdf?v=1748710721067
2017,"University of Arkansas, Fayetteville",Southeastern Conference,Overall,AR,89,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/31.pdf?v=1748710721067
2017,University of Arkansas at Little Rock,Ohio Valley Conference,Overall,AR,87,51,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/32.pdf?v=1748710721067
2017,Auburn University,Southeastern Conference,Overall,AL,94,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/37.pdf?v=1748710721067
2017,Austin Peay State University,Atlantic Sun Conference,Overall,TN,88,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/43.pdf?v=1748710721067
2017,Ball State University,Mid-American Conference,Overall,IN,93,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/47.pdf?v=1748710721067
2017,Charleston Southern University,Big South Conference,Overall,SC,85,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/48.pdf?v=1748710721067
2017,Baylor University,Big 12 Conference,Overall,TX,94,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/51.pdf?v=1748710721067
2017,Bethune-Cookman University,Southwestern Athletic Conf.,Overall,FL,78,43,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/61.pdf?v=1748710721067
2017,Binghamton University,America East Conference,Overall,NY,93,81,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/62.pdf?v=1748710721067
2017,Boise State University,Mountain West Conference,Overall,ID,96,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/66.pdf?v=1748710721067
2017,Boston College,Atlantic Coast Conference,Overall,MA,98,79,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/67.pdf?v=1748710721067
2017,Boston University,Patriot League,Overall,MA,96,87,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/68.pdf?v=1748710721067
2017,Bowling Green State University,Mid-American Conference,Overall,OH,91,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/71.pdf?v=1748710721067
2017,Bradley University,Missouri Valley Conference,Overall,IL,97,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/72.pdf?v=1748710721067
2017,Brigham Young University,Big 12 Conference,Overall,UT,79,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/77.pdf?v=1748710721067
2017,Brown University,The Ivy League,Overall,RI,98,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/80.pdf?v=1748710721067
2017,Bryant University,America East Conference,Overall,RI,96,80,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/81.pdf?v=1748710721067
2017,Bucknell University,Patriot League,Overall,PA,98,90,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/83.pdf?v=1748710721067
2017,"University at Buffalo, the State University of New York",Mid-American Conference,Overall,NY,91,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/86.pdf?v=1748710721067
2017,Butler University,Big East Conference,Overall,IN,94,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/87.pdf?v=1748710721067
2017,California Polytechnic State University,Big West Conference,Overall,CA,90,79,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/90.pdf?v=1748710721067
2017,"California State University, Bakersfield",Big West Conference,Overall,CA,90,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/94.pdf?v=1748710721067
2017,"California State University, Fresno",Mountain West Conference,Overall,CA,83,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/96.pdf?v=1748710721067
2017,"California State University, Fullerton",Big West Conference,Overall,CA,80,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/97.pdf?v=1748710721067
2017,Long Beach State University,Big West Conference,Overall,CA,85,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/99.pdf?v=1748710721067
2017,"California State University, Northridge",Big West Conference,Overall,CA,79,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/101.pdf?v=1748710721067
2017,"California State University, Sacramento",Big Sky Conference,Overall,CA,84,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/102.pdf?v=1748710721067
2017,"University of California, Santa Barbara",Big West Conference,Overall,CA,90,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/104.pdf?v=1748710721067
2017,"University of California, Berkeley",Pac-12 Conference,Overall,CA,93,84,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/107.pdf?v=1748710721067
2017,"University of California, Davis",Big West Conference,Overall,CA,90,83,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/108.pdf?v=1748710721067
2017,"University of California, Irvine",Big West Conference,Overall,CA,88,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/109.pdf?v=1748710721067
2017,"University of California, Los Angeles",Pac-12 Conference,Overall,CA,91,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/110.pdf?v=1748710721067
2017,"University of California, Riverside",Big West Conference,Overall,CA,85,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/111.pdf?v=1748710721067
2017,Campbell University,Coastal Athletic Association,Overall,NC,93,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/115.pdf?v=1748710721067
