School,Sport,Race,%N,2017-18,4-Class,GSR
Abilene Christian University,Baseball,,2017-18 4,-Class,GSR,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Am. Ind./AN,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Asian,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Black,-,-,100-a,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Hispanic,-,0-a,100-b,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Nat. Haw./PI,-,0-a,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,US N-R,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Two or More,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Unknown,-,-,-,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,White,50-a,43-c,87-e,
Abilene Christian University,Baseball,,,,,
Abilene Christian University,Baseball,Total,50-a,35-d,91-e,
Abilene Christian University,Football,,2017-18 4,-Class,GSR,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Am. Ind./AN,0-a,0-a,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Asian,-,100-a,100-a,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Black,71-b,42-e,69-e,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Hispanic,-,100-a,100-a,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Nat. Haw./PI,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,US N-R,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Two or More,-,50-a,75-a,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Unknown,-,-,-,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,White,63-b,60-e,87-e,
Abilene Christian University,Football,,,,,
Abilene Christian University,Football,Total,63-d,48-e,76-e,
Abilene Christian University,Men's Basketball,,2017-18 4,-Class,GSR,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Am. Ind./AN,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Asian,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Black,-,88-b,100-b,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Hispanic,-,0-a,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Nat. Haw./PI,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,US N-R,100-a,100-a,100-a,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Two or More,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Unknown,-,-,-,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,White,-,100-a,100-a,
Abilene Christian University,Men's Basketball,,,,,
Abilene Christian University,Men's Basketball,Total,100-a,85-c,100-c,
Abilene Christian University,Men's Other,,2017-18 4,-Class,GSR,
Abilene Christian University,Men's Other,,,,,
Abilene Christian University,Men's Other,Am. Ind./AN,-,-,-,
Abilene Christian University,Men's Other,,,,,
Abilene Christian University,Men's Other,Asian,-,100-a,100-a,
Abilene Christian University,Men's Other,,,,,
