Race,2017-18 N, %,4-Class N, %_1,2017-18 N_1, %_2,4-Class N_1, %_3,2017-18 N_2, %_4,4-Class N_2, %_5,Source,School,Student-Athletes 17-18 N,Student-Athletes  %,Student-Athletes 4-Class N,Student-Athletes  %_1,Student-Athletes ASR N,Student-Athletes 20 %,Student-Athletes 17-18 N_1,Student-Athletes  %_2,Student-Athletes 4-Class N_1,Student-Athletes  %_3,Student-Athletes ASR N_1,Student-Athletes 20 %_1,Student-Athletes 17-18 N_2,Student-Athletes  %_4,Student-Athletes 4-Class N_2,Student-Athletes  %_5,Student-Athletes ASR N_2,Student-Athletes  %_6,Men 2017-18, , 4-Class, _1,Women 2017-18, _2, 4-Class_1, _3,Total 2017-18, _4, 4-Class_2, _5,Student-Athletes n 7-18,Student-Athletes  4-,Student-Athletes  Class,Student-Athletes  ,Student-Athletes  ASR,Student-Athletes Wo 201,Student-Athletes men 7-18,Student-Athletes  4-_1,Student-Athletes  Class_1,Student-Athletes  _1,Student-Athletes  ASR_1,Student-Athletes  _2,Student-Athletes Total 2017-18,Student-Athletes  4-_2,Student-Athletes  Class_2,Student-Athletes  _3,Student-Athletes  ASR_2,Student-Athletes  _4,Student-Athletes GSR N,Student-Athletes GSR N_1,Student-Athletes GSR N_2,Student-Athletes N 0,Student-Athletes % -,Student-Athletes N 0_1,Student-Athletes % -_1,Student-Athletes N 0_2,Student-Athletes % -_2,Student-Athletes N 0_3,Student-Athletes % -_3,Student-Athletes N 0_4,Student-Athletes % -_4,Student-Athletes N 0_5,Student-Athletes % -_5,Student-Athletes N 0_6,Student-Athletes % -_6,Student-Athletes N 0_7,Student-Athletes % -_7,Student-Athletes N 0_8,Student-Athletes % -_8,Student-Athletes 7-18 N,Student-Athletes 4- %,Student-Athletes Class N,Student-Athletes 201 %,Student-Athletes 7-18 N_1,Student-Athletes 4- %_1,Student-Athletes Class N_1,Student-Athletes 4- %_2,Student-Athletes Class N_2,Student-Athletes 201 %_1,Student-Athletes 7-18 N_2,Student-Athletes N ***,Student-Athletes % ***,Student-Athletes N ***_1,Student-Athletes % ***_1,Student-Athletes N ***_2,Student-Athletes % ***_2
Am. Ind./AN,3,0,10,20,3,0,15,40,6,0,25,32,All Students,2017 FSR,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,7,71,27,67,10,70,31,48,17,71,58,57,All Students,2017 FSR,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,64,42,299,32,149,44,601,42,213,43,900,39,All Students,2017 FSR,***,***,5,60,16,75,***,***,11,73,22,86,***,***,16,69,38,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,52,31,159,34,105,41,297,46,157,38,456,42,All Students,2017 FSR,***,***,5,60,12,83,***,***,10,70,17,82,***,***,15,67,29,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,***,***,0,-,***,***,0,-,***,***,All Students,2017 FSR,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,183,44,716,41,355,48,1245,46,538,47,1961,44,All Students,2017 FSR,13,46,45,62,80,85,26,42,103,61,124,91,39,44,148,61,204,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,20,35,***,***,38,47,***,***,58,43,All Students,2017 FSR,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US N-R,16,44,100,55,22,50,71,51,38,47,171,53,All Students,2017 FSR,6,33,18,67,18,100,10,20,25,40,17,100,16,25,43,51,35,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,2017 FSR,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,40,63,101,59,65,69,190,59,105,67,291,59,All Students,2017 FSR,6,67,13,54,31,81,15,53,54,67,62,94,21,57,67,64,93,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
