Cohort Year,School,Conference,Sport,State,ASR,FGR,ASR Report,FGR Report,PDF_URL
2017,Adelphi University,Northeast-10 Conference,Overall,NY,91,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/3.pdf?v=1755023393102
2017,University of Alabama in Huntsville,Gulf South Conference,Overall,AL,80,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/10.pdf?v=1755023393102
2017,University of Alaska Anchorage,Great Northwest Athletic Conference,Overall,AK,67,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/11.pdf?v=1755023393102
2017,University of Alaska Fairbanks,Great Northwest Athletic Conference,Overall,AK,76,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/12.pdf?v=1755023393102
2017,Albany State University (Georgia),Southern Intercol. Ath. Conf.,Overall,GA,59,38,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/13.pdf?v=1755023393102
2017,American International College,Northeast-10 Conference,Overall,MA,71,52,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/22.pdf?v=1755023393102
2017,Angelo State University,Lone Star Conference,Overall,TX,70,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/25.pdf?v=1755023393102
2017,Ashland University,Great Midwest Athletic Conference,Overall,OH,80,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/35.pdf?v=1755023393102
2017,Assumption University,Northeast-10 Conference,Overall,MA,92,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/36.pdf?v=1755023393102
2017,Augusta University,Peach Belt Conference,Overall,GA,73,53,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/39.pdf?v=1755023393102
