Cohort Year,School,Conference,Sport,State,ASR,FGR,ASR Report,FGR Report,PDF_URL
2017,Augustana University (South Dakota),Northern Sun Intercollegiate Conference,Overall,SD,94,79,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/41.pdf?v=1755023136420
2017,Barry University,Sunshine State Conference,Overall,FL,89,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/49.pdf?v=1755023136420
2017,Bellarmine University,Atlantic Sun Conference,Overall,KY,87,80,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/52.pdf?v=1755023136420
2017,Bemidji State University,Northern Sun Intercollegiate Conference,Overall,MN,80,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/54.pdf?v=1755023136420
2017,Benedict College,Southern Intercol. Ath. Conf.,Overall,SC,62,44,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/55.pdf?v=1755023136420
2017,Bentley University,Northeast-10 Conference,Overall,MA,98,91,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/56.pdf?v=1755023136420
2017,Bloomsburg University of Pennsylvania,Pennsylvania State Athletic Conference,Overall,PA,87,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/65.pdf?v=1755023136420
2017,Bowie State University,Central Intercollegiate Athletic Association,Overall,MD,55,51,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/70.pdf?v=1755023136420
2017,University of Bridgeport,Central Atlantic Collegiate Conference,Overall,CT,89,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/74.pdf?v=1755023136420
2017,"California State Polytechnic University, Pomona",California Collegiate Athletic Association,Overall,CA,81,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/91.pdf?v=1755023136420
2017,"California State University, Dominguez Hills",California Collegiate Athletic Association,Overall,CA,61,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/92.pdf?v=1755023136420
2017,"California State University, San Bernardino",California Collegiate Athletic Association,Overall,CA,64,51,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/93.pdf?v=1755023136420
2017,"California State University, Chico",California Collegiate Athletic Association,Overall,CA,77,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/95.pdf?v=1755023136420
2017,"California State University, East Bay",California Collegiate Athletic Association,Overall,CA,82,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/98.pdf?v=1755023136420
2017,"California State University, Los Angeles",California Collegiate Athletic Association,Overall,CA,74,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/100.pdf?v=1755023136420
2017,"California State University, Stanislaus",California Collegiate Athletic Association,Overall,CA,66,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/103.pdf?v=1755023136420
