Race,"All Students, Men 2017-18 N","All Students 2017-18, Men %","All Students, Men 4-Class N","All Students, Men %","All Studens, Women 2017-18 N","All Students, Women 2017-2018 %","All Students, Women 4-Class N","All Students, Women 4-Class %","All Students, Total 2017-18 N","All Students, Total 2017-18 %","All Students, Total 4-Class N","All Students, Total 4-Class %",Source_All,School_All,Student-Athletes Men 17-18 N,Student-Athletes Men 17-18 %,Student-Athletes Men 4-Class N,Student-Athletes  Men 4-Class %,Student-Athletes Men GSR N,Student-Athletes Men GSR %,Student-Athletes Women 17-18 N,Student-Athletes Women 17-18 %,Student-Athletes Women 4-Class N,Student-Athletes Women 4-Class %,Student-Athletes Women GSR N,Student-Athletes Women GSR %,Student-Athletes Total 17-18 N,Student-Athletes Total 17-18 %,Student-Athletes Total 4-Class N,Student-Athletes Total 4-Class %,Student-Athletes Total GSR N,Student-Athletes Total GSR %,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Total,3983,55,14755,55,4547,61,17070,60,8530,59,31825,58,All Students,Arizona State University,45,60,162,48,156,74,36,78,138,78,150,89,81,68,300,62,306,82,Student-Athletes,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,693,33,2610,34,962,38,3483,39,1655,36,6093,37,All Students,Arkansas State University,33,52,117,51,154,67,31,52,108,58,100,75,64,52,225,55,254,70,Student-Athletes,Arkansas State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1958,63,7591,64,2207,72,8404,70,4165,68,15995,67,All Students,Auburn University,47,60,189,52,188,66,53,74,179,72,159,91,100,67,368,62,347,78,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,495,30,1947,31,678,40,2807,37,1173,36,4754,35,All Students,Austin Peay State University,32,59,95,56,166,72,39,79,119,66,112,84,71,70,214,62,278,77,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1489,56,5925,54,1993,63,7712,60,3482,60,13637,58,All Students,Ball State University,36,67,144,55,187,66,41,78,153,67,161,78,77,73,297,61,348,72,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1103,72,4561,71,1618,77,6875,74,2721,75,11436,73,All Students,Baylor University,40,68,147,60,142,81,41,73,158,72,140,94,81,70,305,66,282,88,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,346,67,1257,67,453,69,1822,68,799,68,3079,68,All Students,Belmont University,20,75,67,81,69,100,25,80,96,74,87,93,45,78,163,77,156,96,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,310,44,1417,35,511,62,2036,47,821,55,3453,42,All Students,Bethune-Cookman University,33,42,124,44,158,58,28,61,73,53,82,78,61,51,197,48,240,65,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1183,77,4645,75,1032,85,4106,84,2215,81,8751,79,All Students,Binghamton University,47,74,131,66,134,80,38,87,116,75,109,92,85,80,247,70,243,85,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,896,39,3306,31,1035,44,3832,34,1931,41,7138,33,All Students,Boise State University,31,77,115,67,133,79,36,56,116,59,124,79,67,66,231,63,257,79,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1143,90,4469,90,1144,92,4719,93,2287,91,9188,91,All Students,Boston College,42,71,146,69,235,93,43,79,167,83,167,98,85,75,313,76,402,95,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1627,84,6582,83,2536,85,10266,85,4163,84,16848,84,All Students,Boston University,27,74,101,73,96,93,44,91,159,85,153,96,71,85,260,80,249,95,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1438,49,6275,53,1795,58,7982,61,3233,54,14257,58,All Students,Bowling Green State University,38,47,171,60,161,80,44,77,150,79,136,93,82,63,321,69,297,86,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,481,72,1847,74,598,78,2446,77,1079,76,4293,75,All Students,Bradley University,15,47,52,56,63,84,17,88,75,83,75,96,32,69,127,72,138,91,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,775,77,3115,79,2343,78,9524,77,3118,78,12639,78,All Students,Brigham Young University,25,56,109,50,134,58,33,88,141,78,146,86,58,74,250,66,280,73,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,665,94,2778,94,816,95,3035,96,1481,94,5813,95,All Students,Brown University,0,-,0,-,398,98,0,-,0,-,388,97,0,-,0,-,786,98,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,479,83,1864,79,370,80,1374,80,849,82,3238,79,All Students,Bryant University,48,88,155,73,355,90,27,70,84,73,186,95,75,81,239,73,541,92,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,446,89,1783,90,441,92,1851,92,887,91,3634,91,All Students,Bucknell University,40,85,125,88,144,94,33,91,131,95,132,98,73,88,256,92,276,96,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,374,71,1418,71,612,76,2321,75,986,74,3739,74,All Students,Butler University,22,77,86,57,185,82,21,86,84,82,108,95,43,81,170,69,293,87,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2528,66,8236,68,1885,80,6407,81,4413,72,14643,74,All Students,California Polytechnic State University,56,68,192,63,215,69,29,66,121,75,113,86,85,67,313,67,328,75,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,289,30,1117,34,584,45,2120,45,873,40,3237,41,All Students,California State University Bakersfield,27,41,72,42,90,61,28,54,97,56,111,74,55,47,169,50,201,68,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1026,44,3898,44,1527,52,5782,52,2553,49,9680,49,All Students,California State University Fresno,35,46,150,51,145,65,42,69,135,64,138,82,77,58,285,57,283,73,Student-Athletes,California State University Fresno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1611,46,6109,45,2431,59,9032,56,4042,53,15141,52,All Students,California State University Fullerton,25,32,100,33,83,57,36,78,122,68,107,82,61,59,222,52,190,71,Student-Athletes,California State University Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1697,41,5881,41,2281,49,8173,50,3978,46,14054,47,All Students,California State University Northridge,29,41,116,41,132,55,33,73,140,71,144,81,62,58,256,58,276,68,Student-Athletes,California State University Northridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,983,36,4455,38,1486,44,5531,44,2469,41,9986,41,All Students,California State University Sacramento,25,44,116,38,182,62,39,77,141,76,153,87,64,64,257,59,335,73,Student-Athletes,California State University Sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,439,47,1471,49,448,51,1675,53,887,49,3146,51,All Students,Campbell University,25,52,110,53,120,75,35,69,134,66,110,92,60,62,244,60,230,83,Student-Athletes,Campbell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,380,67,1429,67,466,68,1828,70,846,68,3257,68,All Students,Canisius University,21,81,103,66,119,80,25,76,93,76,88,89,46,78,196,71,207,84,Student-Athletes,Canisius University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,86,52,278,54,114,64,395,60,200,59,673,58,All Students,Centenary College (Louisiana),34,47,34,47,18,100,35,51,35,51,19,100,69,49,69,49,37,100,Student-Athletes,Centenary College (Louisiana),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,790,46,2821,44,676,59,2538,56,1466,52,5359,50,All Students,Central Connecticut State University,37,46,109,53,110,71,26,54,82,57,68,78,63,49,191,55,178,74,Student-Athletes,Central Connecticut State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1589,56,6351,53,2179,62,8671,59,3768,59,15022,56,All Students,Central Michigan University,40,50,170,45,144,63,39,69,138,75,125,90,79,59,308,59,269,75,Student-Athletes,Central Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,263,30,874,31,412,40,1360,41,675,36,2234,37,All Students,Charleston Southern University,31,39,120,43,110,66,29,55,109,61,91,84,60,47,229,51,201,74,Student-Athletes,Charleston Southern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,117,25,553,19,255,19,1145,19,372,21,1698,19,All Students,Chicago State University,16,50,49,47,67,57,14,43,41,59,46,78,30,47,90,52,113,65,Student-Athletes,Chicago State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1398,79,5882,77,1303,86,5461,84,2701,83,11343,80,All Students,Clemson University,50,62,225,60,163,84,34,85,186,84,186,97,84,71,411,71,349,91,Student-Athletes,Clemson University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,510,31,1819,31,622,32,2087,31,1132,32,3906,31,All Students,Cleveland State University,40,48,112,48,69,78,25,68,115,65,94,85,65,55,227,57,163,82,Student-Athletes,Cleveland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,761,41,2786,42,886,50,3140,49,1647,46,5926,46,All Students,Coastal Carolina University,47,66,185,50,167,78,43,65,122,64,106,91,90,66,307,56,273,83,Student-Athletes,Coastal Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,362,89,1391,90,382,92,1563,90,744,91,2954,90,All Students,Colgate University,36,83,143,86,215,97,25,84,109,89,157,100,61,84,252,87,372,98,Student-Athletes,Colgate University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,709,62,2595,63,1352,66,5349,67,2061,64,7944,66,All Students,College of Charleston (South Carolina),25,44,93,57,108,68,26,81,107,75,115,81,51,63,200,67,223,74,Student-Athletes,College of Charleston (South Carolina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,320,88,1294,91,398,94,1601,93,718,91,2895,92,All Students,College of the Holy Cross,42,86,169,86,170,97,32,97,190,95,183,100,74,91,359,91,353,99,Student-Athletes,College of the Holy Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1965,62,7041,60,2387,65,8805,66,4352,64,15846,64,All Students,Colorado State University,29,66,112,61,120,77,34,74,142,73,116,89,63,70,254,68,236,83,Student-Athletes,Colorado State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,700,94,2884,93,671,93,3155,92,1371,93,6039,93,All Students,Columbia University-Barnard College,0,-,0,-,327,98,0,-,0,-,289,97,0,-,0,-,616,97,Student-Athletes,Columbia University-Barnard College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,134,16,544,14,421,13,1786,16,555,14,2330,15,All Students,Coppin State University,13,15,32,28,36,69,13,46,44,55,48,75,26,31,76,43,84,73,Student-Athletes,Coppin State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1551,92,6285,92,1454,95,6026,95,3005,93,12311,93,All Students,Cornell University,0,-,0,-,387,93,0,-,0,-,308,98,0,-,0,-,695,95,Student-Athletes,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,370,78,1536,76,577,74,2314,76,947,76,3850,76,All Students,Creighton University,16,50,71,61,67,93,15,80,90,84,88,99,31,65,161,74,155,96,Student-Athletes,Creighton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,557,95,2150,94,557,94,2192,96,1114,95,4342,95,All Students,Dartmouth College,0,-,0,-,388,98,0,-,0,-,316,100,0,-,0,-,704,99,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,230,91,908,90,234,94,939,94,464,93,1847,92,All Students,Davidson College,26,77,95,87,164,98,23,100,91,96,87,100,49,88,186,91,251,98,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1055,69,4076,66,1458,72,5664,70,2513,70,9740,68,All Students,DePaul University,15,67,67,64,59,86,25,84,87,79,81,96,40,78,154,73,140,92,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,304,29,1317,29,495,42,1872,41,799,37,3189,36,All Students,Delaware State University,23,48,95,43,140,59,31,77,104,63,117,74,54,65,199,54,257,66,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,366,57,1308,68,557,62,1871,68,923,60,3179,68,All Students,Drake University,9,89,50,76,163,83,32,81,98,81,89,98,41,83,148,79,252,88,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1314,66,5397,64,944,75,3503,73,2258,70,8900,68,All Students,Drexel University,30,73,108,74,108,88,35,89,116,85,111,97,65,82,224,80,219,93,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,854,92,3461,93,845,96,3283,95,1699,94,6744,94,All Students,Duke University,47,74,184,82,246,95,35,89,141,88,171,99,82,80,325,84,417,97,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,508,74,1876,71,694,77,2628,77,1202,76,4504,74,All Students,Duquesne University,44,73,130,72,146,83,39,85,141,83,132,94,83,78,271,78,278,88,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1662,52,5674,55,2533,59,8977,60,4195,57,14651,58,All Students,East Carolina University,52,60,196,56,176,73,36,75,139,73,126,89,88,66,335,63,302,79,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,855,37,2902,37,1063,45,3772,44,1918,41,6674,41,All Students,East Tennessee State University,14,50,80,53,87,74,25,72,121,57,105,79,39,64,201,55,192,77,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,653,55,2722,55,988,64,4049,64,1641,60,6771,60,All Students,Eastern Illinois University,48,56,184,60,171,85,28,75,127,71,115,88,76,63,311,65,286,86,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1084,36,4116,35,1349,41,5606,39,2433,39,9722,37,All Students,Eastern Kentucky University,32,47,116,54,129,74,30,60,122,57,118,86,62,53,238,56,247,79,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1020,35,3814,34,1345,41,5405,42,2365,38,9219,38,All Students,Eastern Michigan University,58,53,195,52,196,66,34,79,133,74,124,90,92,63,328,61,320,75,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,543,41,2249,43,770,49,3460,49,1313,45,5709,46,All Students,Eastern Washington University,15,33,77,38,77,57,21,57,75,48,59,83,36,47,152,43,136,68,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,540,79,2027,81,746,84,3009,83,1286,82,5036,82,All Students,Elon University,50,76,178,71,172,85,36,83,116,84,112,95,86,79,294,77,284,89,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,346,83,1478,81,496,82,2056,83,842,82,3534,82,All Students,Fairfield University,28,82,86,74,84,94,36,72,136,81,132,98,64,77,222,78,216,96,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,190,35,734,41,210,57,978,51,400,47,1712,46,All Students,Fairleigh Dickinson University Metropolitan Campus,18,44,79,43,86,57,31,77,100,66,97,75,49,65,179,56,183,67,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,783,35,3107,28,1071,46,4217,38,1854,41,7324,34,All Students,Florida A&M University,34,44,117,44,138,47,26,42,84,51,92,54,60,43,201,47,230,50,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1237,37,4238,37,1326,45,4876,46,2563,41,9114,42,All Students,Florida Atlantic University,35,66,153,50,165,61,32,50,117,65,125,82,67,58,270,56,290,70,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,752,38,2232,39,935,49,3067,49,1687,44,5299,45,All Students,Florida Gulf Coast University,21,38,52,38,86,62,37,46,76,49,89,72,58,43,128,45,175,67,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1523,44,6482,40,1707,58,7972,53,3230,52,14454,47,All Students,Florida International University,30,37,143,39,156,58,22,68,104,59,112,79,52,50,247,47,268,66,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2671,73,10234,72,3437,80,14315,77,6108,77,24549,75,All Students,Florida State University,47,64,181,55,169,78,31,74,129,71,125,93,78,68,310,62,294,84,Student-Athletes,Florida State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,850,81,3046,79,910,80,3819,80,1760,81,6865,80,All Students,Fordham University,47,81,183,79,174,89,30,87,112,83,110,95,77,83,295,81,284,92,Student-Athletes,Fordham University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,285,82,1213,83,414,86,1582,86,699,84,2795,85,All Students,Furman University,44,59,164,72,151,86,19,95,82,82,77,95,63,70,246,75,228,89,Student-Athletes,Furman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,170,54,666,47,250,55,1001,53,420,54,1667,51,All Students,Gardner-Webb University,57,58,202,57,180,80,27,74,124,71,102,96,84,63,326,63,282,86,Student-Athletes,Gardner-Webb University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,952,60,4129,60,1222,72,5099,69,2174,67,9228,65,All Students,George Mason University,22,59,83,61,92,75,29,59,114,68,101,86,51,59,197,65,193,81,Student-Athletes,George Mason University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,925,79,4232,78,1198,82,5362,82,2123,81,9594,81,All Students,George Washington University,18,67,105,76,102,93,27,81,145,80,127,97,45,76,250,78,229,95,Student-Athletes,George Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,713,91,2848,93,864,93,3370,94,1577,92,6218,93,All Students,Georgetown University,40,85,167,82,158,92,29,93,117,94,116,99,69,88,284,87,274,95,Student-Athletes,Georgetown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1768,80,7223,78,854,86,3224,85,2622,82,10447,80,All Students,Georgia Institute of Technology,47,77,180,64,166,75,25,68,94,76,89,91,72,74,274,68,255,81,Student-Athletes,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1626,45,6303,41,1402,57,5561,56,3028,50,11864,48,All Students,Georgia Southern University,27,70,144,51,181,58,29,55,126,67,122,80,56,63,270,59,303,67,Student-Athletes,Georgia Southern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1035,46,3833,44,1486,58,5459,54,2521,53,9292,50,All Students,Georgia State University,15,60,65,57,70,86,27,56,103,60,99,87,42,57,168,59,169,86,Student-Athletes,Georgia State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,485,83,1855,81,550,81,2114,82,1035,82,3969,82,All Students,Gonzaga University,26,73,88,77,86,97,18,100,84,90,86,98,44,84,172,84,172,97,Student-Athletes,Gonzaga University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
