School,Metric,All Students,Student-Athletes
Abilene Christian University,2007-08 Graduation Rate,57%,55%
Alabama A&M University,2007-08 Graduation Rate,29%,33%
Alabama State University,2007-08 Graduation Rate,25%,46%
Alcorn State University,2007-08 Graduation Rate,34%,30%
American University,2007-08 Graduation Rate,80%,86%
Appalachian State University,2007-08 Graduation Rate,69%,73%
Arizona State University,2007-08 Graduation Rate,59%,68%
Arkansas State University,2007-08 Graduation Rate,36%,52%
Auburn University,2007-08 Graduation Rate,68%,67%
Austin Peay State University,2007-08 Graduation Rate,36%,70%
Ball State University,2007-08 Graduation Rate,60%,73%
Baylor University,2007-08 Graduation Rate,75%,70%
Belmont University,2007-08 Graduation Rate,68%,78%
Bethune-Cookman University,2007-08 Graduation Rate,55%,51%
Binghamton University,2007-08 Graduation Rate,81%,80%
Boise State University,2007-08 Graduation Rate,41%,66%
Boston College,2007-08 Graduation Rate,91%,75%
Boston University,2007-08 Graduation Rate,84%,85%
Bowling Green State University,2007-08 Graduation Rate,54%,63%
Bradley University,2007-08 Graduation Rate,76%,69%
Brigham Young University,2007-08 Graduation Rate,78%,74%
Brown University,2007-08 Graduation Rate,94%,-
Bryant University,2007-08 Graduation Rate,82%,81%
Bucknell University,2007-08 Graduation Rate,91%,88%
Butler University,2007-08 Graduation Rate,74%,81%
California Polytechnic State University,2007-08 Graduation Rate,72%,67%
California State University Bakersfield,2007-08 Graduation Rate,40%,47%
California State University Fresno,2007-08 Graduation Rate,49%,58%
California State University Fullerton,2007-08 Graduation Rate,53%,59%
California State University Northridge,2007-08 Graduation Rate,46%,58%
California State University Sacramento,2007-08 Graduation Rate,41%,64%
Campbell University,2007-08 Graduation Rate,49%,62%
Canisius University,2007-08 Graduation Rate,68%,78%
Centenary College (Louisiana),2007-08 Graduation Rate,59%,49%
Central Connecticut State University,2007-08 Graduation Rate,52%,49%
Central Michigan University,2007-08 Graduation Rate,59%,59%
Charleston Southern University,2007-08 Graduation Rate,36%,47%
Chicago State University,2007-08 Graduation Rate,21%,47%
Clemson University,2007-08 Graduation Rate,83%,71%
Cleveland State University,2007-08 Graduation Rate,32%,55%
Coastal Carolina University,2007-08 Graduation Rate,46%,66%
Colgate University,2007-08 Graduation Rate,91%,84%
College of Charleston (South Carolina),2007-08 Graduation Rate,64%,63%
College of the Holy Cross,2007-08 Graduation Rate,91%,91%
Colorado State University,2007-08 Graduation Rate,64%,70%
Columbia University-Barnard College,2007-08 Graduation Rate,93%,-
Coppin State University,2007-08 Graduation Rate,14%,31%
Cornell University,2007-08 Graduation Rate,93%,-
Creighton University,2007-08 Graduation Rate,76%,65%
Dartmouth College,2007-08 Graduation Rate,95%,-
Davidson College,2007-08 Graduation Rate,93%,88%
DePaul University,2007-08 Graduation Rate,70%,78%
Delaware State University,2007-08 Graduation Rate,37%,65%
Drake University,2007-08 Graduation Rate,60%,83%
Drexel University,2007-08 Graduation Rate,70%,82%
Duke University,2007-08 Graduation Rate,94%,80%
Duquesne University,2007-08 Graduation Rate,76%,78%
East Carolina University,2007-08 Graduation Rate,57%,66%
East Tennessee State University,2007-08 Graduation Rate,41%,64%
Eastern Illinois University,2007-08 Graduation Rate,60%,63%
Eastern Kentucky University,2007-08 Graduation Rate,39%,53%
Eastern Michigan University,2007-08 Graduation Rate,38%,63%
Eastern Washington University,2007-08 Graduation Rate,45%,47%
Elon University,2007-08 Graduation Rate,82%,79%
Fairfield University,2007-08 Graduation Rate,82%,77%
Fairleigh Dickinson University Metropolitan Campus,2007-08 Graduation Rate,47%,65%
Florida A&M University,2007-08 Graduation Rate,41%,43%
Florida Atlantic University,2007-08 Graduation Rate,41%,58%
Florida Gulf Coast University,2007-08 Graduation Rate,44%,43%
Florida International University,2007-08 Graduation Rate,52%,50%
Florida State University,2007-08 Graduation Rate,77%,68%
Fordham University,2007-08 Graduation Rate,81%,83%
Furman University,2007-08 Graduation Rate,84%,70%
Gardner-Webb University,2007-08 Graduation Rate,54%,63%
George Mason University,2007-08 Graduation Rate,67%,59%
George Washington University,2007-08 Graduation Rate,81%,76%
Georgetown University,2007-08 Graduation Rate,92%,88%
Georgia Institute of Technology,2007-08 Graduation Rate,82%,74%
Georgia Southern University,2007-08 Graduation Rate,50%,63%
Georgia State University,2007-08 Graduation Rate,53%,57%
Gonzaga University,2007-08 Graduation Rate,82%,84%
Grambling State University,2007-08 Graduation Rate,31%,49%
Grand Canyon University,2007-08 Graduation Rate,30%,40%
Hampton University,2007-08 Graduation Rate,63%,68%
Harvard University,2007-08 Graduation Rate,98%,-
High Point University,2007-08 Graduation Rate,62%,72%
Hofstra University,2007-08 Graduation Rate,62%,57%
Houston Christian University,2007-08 Graduation Rate,43%,59%
Howard University,2007-08 Graduation Rate,61%,71%
Idaho State University,2007-08 Graduation Rate,31%,48%
Illinois State University,2007-08 Graduation Rate,72%,76%
Indiana State University,2007-08 Graduation Rate,42%,54%
Indiana University Bloomington,2007-08 Graduation Rate,77%,69%
Indiana University Indianapolis,2007-08 Graduation Rate,44%,65%
Iona University,2007-08 Graduation Rate,63%,74%
Iowa State University,2007-08 Graduation Rate,68%,55%
Jackson State University,2007-08 Graduation Rate,47%,43%
Jacksonville State University,2007-08 Graduation Rate,31%,48%
Jacksonville University,2007-08 Graduation Rate,38%,66%
James Madison University,2007-08 Graduation Rate,81%,82%
Kansas State University,2007-08 Graduation Rate,60%,65%
Kennesaw State University,2007-08 Graduation Rate,43%,49%
Kent State University,2007-08 Graduation Rate,52%,75%
La Salle University,2007-08 Graduation Rate,65%,67%
Lafayette College,2007-08 Graduation Rate,88%,87%
Lamar University,2007-08 Graduation Rate,35%,48%
Lehigh University,2007-08 Graduation Rate,86%,78%
Liberty University,2007-08 Graduation Rate,53%,76%
Lipscomb University,2007-08 Graduation Rate,64%,72%
Long Beach State University,2007-08 Graduation Rate,60%,60%
Long Island University,2007-08 Graduation Rate,24%,52%
Longwood University,2007-08 Graduation Rate,63%,73%
Louisiana State University,2007-08 Graduation Rate,67%,64%
Louisiana Tech University,2007-08 Graduation Rate,50%,60%
Loyola Marymount University,2007-08 Graduation Rate,76%,66%
Loyola University Chicago,2007-08 Graduation Rate,71%,78%
Loyola University Maryland,2007-08 Graduation Rate,84%,82%
Manhattan University,2007-08 Graduation Rate,74%,75%
Marist University,2007-08 Graduation Rate,80%,82%
Marquette University,2007-08 Graduation Rate,78%,66%
Marshall University,2007-08 Graduation Rate,44%,57%
McNeese State University,2007-08 Graduation Rate,38%,64%
Mercer University,2007-08 Graduation Rate,59%,66%
Miami University (Ohio),2007-08 Graduation Rate,81%,82%
Michigan State University,2007-08 Graduation Rate,78%,62%
Middle Tennessee State University,2007-08 Graduation Rate,46%,64%
Mississippi State University,2007-08 Graduation Rate,61%,69%
Mississippi Valley State University,2007-08 Graduation Rate,26%,51%
Missouri State University,2007-08 Graduation Rate,53%,56%
Monmouth University,2007-08 Graduation Rate,61%,78%
Montana State University-Bozeman,2007-08 Graduation Rate,49%,76%
Morehead State University,2007-08 Graduation Rate,45%,70%
Morgan State University,2007-08 Graduation Rate,35%,59%
Mount St. Mary's University,2007-08 Graduation Rate,66%,75%
Murray State University,2007-08 Graduation Rate,53%,53%
New Jersey Institute of Technology,2007-08 Graduation Rate,58%,47%
New Mexico State University,2007-08 Graduation Rate,43%,51%
Niagara University,2007-08 Graduation Rate,65%,77%
Nicholls State University,2007-08 Graduation Rate,42%,43%
Norfolk State University,2007-08 Graduation Rate,37%,55%
North Carolina A&T State University,2007-08 Graduation Rate,43%,55%
North Carolina Central University,2007-08 Graduation Rate,40%,44%
North Carolina State University,2007-08 Graduation Rate,75%,71%
North Dakota State University,2007-08 Graduation Rate,53%,58%
Northeastern University,2007-08 Graduation Rate,83%,75%
Northern Arizona University,2007-08 Graduation Rate,49%,59%
Northern Illinois University,2007-08 Graduation Rate,51%,80%
Northern Kentucky University,2007-08 Graduation Rate,38%,57%
Northwestern State University,2007-08 Graduation Rate,38%,48%
Northwestern University,2007-08 Graduation Rate,94%,89%
Oakland University,2007-08 Graduation Rate,43%,57%
Ohio University,2007-08 Graduation Rate,72%,75%
Oklahoma State University,2007-08 Graduation Rate,60%,46%
Old Dominion University,2007-08 Graduation Rate,51%,57%
Oral Roberts University,2007-08 Graduation Rate,53%,67%
Oregon State University,2007-08 Graduation Rate,61%,48%
Pennsylvania State University,2007-08 Graduation Rate,85%,77%
Pepperdine University,2007-08 Graduation Rate,80%,49%
Portland State University,2007-08 Graduation Rate,40%,39%
Prairie View A&M University,2007-08 Graduation Rate,37%,50%
Presbyterian College,2007-08 Graduation Rate,68%,73%
Princeton University,2007-08 Graduation Rate,97%,-
Providence College,2007-08 Graduation Rate,85%,73%
Purdue University,2007-08 Graduation Rate,71%,70%
Purdue University Fort Wayne,2007-08 Graduation Rate,25%,59%
Quinnipiac University,2007-08 Graduation Rate,76%,68%
Radford University,2007-08 Graduation Rate,59%,70%
Rice University,2007-08 Graduation Rate,91%,80%
Rider University,2007-08 Graduation Rate,66%,68%
Robert Morris University,2007-08 Graduation Rate,56%,70%
Sacred Heart University,2007-08 Graduation Rate,69%,68%
Saint Francis University,2007-08 Graduation Rate,71%,77%
Saint Joseph's University,2007-08 Graduation Rate,79%,81%
Saint Louis University,2007-08 Graduation Rate,70%,62%
Saint Mary's College of California,2007-08 Graduation Rate,60%,67%
Saint Peter's University,2007-08 Graduation Rate,53%,64%
Sam Houston State University,2007-08 Graduation Rate,51%,56%
Samford University,2007-08 Graduation Rate,69%,77%
San Diego State University,2007-08 Graduation Rate,67%,67%
San Jose State University,2007-08 Graduation Rate,60%,54%
Santa Clara University,2007-08 Graduation Rate,84%,67%
Savannah State University,2007-08 Graduation Rate,29%,38%
Seattle University,2007-08 Graduation Rate,77%,81%
Seton Hall University,2007-08 Graduation Rate,64%,73%
Siena College,2007-08 Graduation Rate,80%,80%
South Carolina State University,2007-08 Graduation Rate,36%,71%
South Dakota State University,2007-08 Graduation Rate,57%,62%
Southeast Missouri State University,2007-08 Graduation Rate,42%,56%
Southeastern Louisiana University,2007-08 Graduation Rate,36%,58%
Southern Illinois University Edwardsville,2007-08 Graduation Rate,50%,71%
Southern Illinois University at Carbondale,2007-08 Graduation Rate,43%,65%
Southern Methodist University,2007-08 Graduation Rate,79%,66%
Southern University Baton Rouge,2007-08 Graduation Rate,32%,49%
Southern Utah University,2007-08 Graduation Rate,53%,50%
St. Bonaventure University,2007-08 Graduation Rate,67%,73%
St. Francis College Brooklyn,2007-08 Graduation Rate,52%,76%
St. John's University (New York),2007-08 Graduation Rate,55%,64%
Stanford University,2007-08 Graduation Rate,96%,96%
Stephen F. Austin State University,2007-08 Graduation Rate,43%,51%
Stetson University,2007-08 Graduation Rate,64%,90%
Stony Brook University,2007-08 Graduation Rate,66%,67%
Syracuse University,2007-08 Graduation Rate,81%,71%
Temple University,2007-08 Graduation Rate,66%,68%
Tennessee State University,2007-08 Graduation Rate,29%,41%
Tennessee Technological University,2007-08 Graduation Rate,51%,57%
Texas A&M University-Corpus Christi,2007-08 Graduation Rate,40%,42%
Texas A&M University College Station,2007-08 Graduation Rate,79%,65%
Texas Christian University,2007-08 Graduation Rate,76%,71%
Texas Southern University,2007-08 Graduation Rate,16%,54%
Texas State University,2007-08 Graduation Rate,57%,56%
Texas Tech University,2007-08 Graduation Rate,59%,58%
The Citadel,2007-08 Graduation Rate,69%,66%
The Ohio State University,2007-08 Graduation Rate,83%,74%
The University of North Carolina at Charlotte,2007-08 Graduation Rate,54%,82%
The University of North Carolina at Greensboro,2007-08 Graduation Rate,55%,62%
The University of Southern Mississippi,2007-08 Graduation Rate,45%,58%
The University of Texas Rio Grande Valley,2007-08 Graduation Rate,39%,48%
The University of Tulsa,2007-08 Graduation Rate,69%,64%
Towson University,2007-08 Graduation Rate,65%,62%
Troy University,2007-08 Graduation Rate,36%,66%
Tulane University,2007-08 Graduation Rate,76%,70%
U.S. Air Force Academy,2007-08 Graduation Rate,86%,-
U.S. Military Academy,2007-08 Graduation Rate,84%,-
U.S. Naval Academy,2007-08 Graduation Rate,88%,-
University at Albany,2007-08 Graduation Rate,66%,64%
University at Buffalo the State University of New York,2007-08 Graduation Rate,72%,68%
University of Akron,2007-08 Graduation Rate,42%,65%
University of Alabama,2007-08 Graduation Rate,67%,68%
University of Alabama at Birmingham,2007-08 Graduation Rate,54%,61%
University of Arizona,2007-08 Graduation Rate,61%,49%
University of Arkansas Fayetteville,2007-08 Graduation Rate,60%,56%
University of Arkansas Pine Bluff,2007-08 Graduation Rate,26%,55%
University of Arkansas at Little Rock,2007-08 Graduation Rate,21%,43%
University of California Berkeley,2007-08 Graduation Rate,91%,78%
