Race,Men 2017-18,,4-Class,_1,Women 2017-18,_2,4-Class_1,_3,Total 2017-18,_4,4-Class_2,_5,Source,School,Student-Athletes n 7-18,Student-Athletes  4-,Student-Athletes  Class,Student-Athletes,Student-Athletes  ASR,Student-Athletes Wo 201,Student-Athletes men 7-18,Student-Athletes  4-_1,Student-Athletes  Class_1,Student-Athletes  _1,Student-Athletes  ASR_1,Student-Athletes  _2,Student-Athletes Total 2017-18,Student-Athletes  4-_2,Student-Athletes  Class_2,Student-Athletes  _3,Student-Athletes  ASR_2,Student-Athletes  _4,2017-18 N,%,4-Class N,%_1,2017-18 N_1,%_2,4-Class N_1,%_3,2017-18 N_2,%_4,4-Class N_2,%_5,Student-Athletes 17-18 N,Student-Athletes  %,Student-Athletes 4-Class N,Student-Athletes  %_1,Student-Athletes ASR N,Student-Athletes 20 %,Student-Athletes 17-18 N_1,Student-Athletes  %_2,Student-Athletes 4-Class N_1,Student-Athletes  %_3,Student-Athletes ASR N_1,Student-Athletes 20 %_1,Student-Athletes 17-18 N_2,Student-Athletes  %_4,Student-Athletes 4-Class N_2,Student-Athletes  %_5,Student-Athletes ASR N_2,Student-Athletes  %_6,Student-Athletes GSR N,Student-Athletes GSR N_1,Student-Athletes GSR N_2,Student-Athletes N 0,Student-Athletes % -,Student-Athletes N 0_1,Student-Athletes % -_1,Student-Athletes N 0_2,Student-Athletes % -_2,Student-Athletes N 0_3,Student-Athletes % -_3,Student-Athletes N 0_4,Student-Athletes % -_4,Student-Athletes N 0_5,Student-Athletes % -_5,Student-Athletes N 0_6,Student-Athletes % -_6,Student-Athletes N 0_7,Student-Athletes % -_7,Student-Athletes N 0_8,Student-Athletes % -_8,Student-Athletes 7-18 N,Student-Athletes 4- %,Student-Athletes Class N,Student-Athletes 201 %,Student-Athletes 7-18 N_1,Student-Athletes 4- %_1,Student-Athletes Class N_1,Student-Athletes 4- %_2,Student-Athletes Class N_2,Student-Athletes 201 %_1,Student-Athletes 7-18 N_2,Student-Athletes N ***,Student-Athletes % ***,Student-Athletes N ***_1,Student-Athletes % ***_1,Student-Athletes N ***_2,Student-Athletes % ***_2
Am. Ind./AN,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,***,***,8,13,***,***,3,33,***,***,11,18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,12,33,75,43,23,39,82,57,35,37,157,50,***,***,***,***,0,-,***,***,***,***,3,100,***,***,***,***,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,17,24,81,16,32,31,94,30,49,29,175,23,4,25,13,38,24,42,4,75,11,73,21,62,8,50,24,54,45,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,20,20,112,23,57,33,190,30,77,30,302,27,***,***,10,50,9,78,***,***,12,58,13,77,***,***,22,55,22,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,***,***,3,33,***,***,11,9,***,***,14,14,0,-,0,-,0,-,3,67,7,71,8,88,3,67,7,71,8,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,192,32,956,32,457,40,1467,43,649,38,2423,39,16,50,66,52,83,67,21,76,94,65,120,75,37,65,160,59,203,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,5,0,31,26,12,42,69,29,17,29,100,28,***,***,6,33,7,43,***,***,12,75,17,71,***,***,18,61,24,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US N-R,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,52,54,330,41,144,56,565,56,196,56,895,51,***,***,***,***,7,57,***,***,***,***,6,67,***,***,***,***,13,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,61,18,166,18,135,30,216,29,196,27,382,24,***,***,5,20,***,***,***,***,15,40,***,***,***,***,20,35,***,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,All Students,Academy of Art University,,,,,,,,,,,,,,,,,,,24,42,150,41,49,37,237,43,73,38,387,42,8,75,31,68,28,89,8,63,30,70,36,86,16,69,61,69,64,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
