School,Sport,Race,%N,2017-18,4-Class,GSR
Academy of Art University,Baseball,,2017-18 4,-ClassA,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Am. Ind./AN,-,-,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Asian,-,-,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Black,-,100-a,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Hispanic,0-a,33-a,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Nat. Haw./PI,-,-,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,US N-R,-,-,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Two or More,-,-,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Unknown,-,0-a,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,White,100-a,80-a,,
Academy of Art University,Baseball,,,,,
Academy of Art University,Baseball,Total,50-a,60-b,,
Academy of Art University,Football,,%-N,,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,,2017-18 4-C,lassA,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Am. Ind./AN,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Asian,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Black,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Hispanic,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Nat. Haw./PI,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,US N-R,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Two or More,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Unknown,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,White,-,-,,
Academy of Art University,Football,,,,,
Academy of Art University,Football,Total,-,-,,
Academy of Art University,Men's Basketball,Am. Ind./AN,-,-,-,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,Asian,-,-,-,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,Black,-,67-a,27-c,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,Hispanic,-,-,100-a,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,Nat. Haw./PI,-,-,-,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,US N-R,-,-,50-a,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,Two or More,-,50-a,50-a,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,Unknown,0-a,0-a,100-a,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,White,67-a,60-a,80-a,
Academy of Art University,Men's Basketball,,,,,
Academy of Art University,Men's Basketball,Total,50-a,50-c,50-e,
Academy of Art University,Men's Other,Am. Ind./AN,-,-,-,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,Asian,0-a,0-a,-,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,Black,-,-,-,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,Hispanic,-,50-b,71-b,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,Nat. Haw./PI,-,-,-,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,US N-R,-,-,100-a,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,Two or More,-,0-a,33-a,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,Unknown,100-a,50-a,83-b,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,White,100-a,80-c,100-d,
Academy of Art University,Men's Other,,,,,
Academy of Art University,Men's Other,Total,80-a,59-e,86-e,
Academy of Art University,Men's CC/Track,,2017-18 4,-Class,ASR,
Academy of Art University,Men's CC/Track,,,,,
Academy of Art University,Men's CC/Track,Am. Ind./AN,-,-,-,
Academy of Art University,Men's CC/Track,,,,,
Academy of Art University,Men's CC/Track,Asian,-,-,-,
Academy of Art University,Men's CC/Track,,,,,
Academy of Art University,Men's CC/Track,Black,25-a,22-b,54-c,
Academy of Art University,Men's CC/Track,,,,,
Academy of Art University,Men's CC/Track,Hispanic,-,100-a,100-a,
Academy of Art University,Men's CC/Track,,,,,
Academy of Art University,Men's CC/Track,Nat. Haw./PI,-,-,-,
Academy of Art University,Men's CC/Track,,,,,
