,School,Overall G,Overall W,Overall L,Overall W-L%,Overall,Overall
1,Abilene Christian,34,16,18,0.471,-4.12,-1.12
2,Air Force,31,9,22,0.29,-4.77,1.43
3,Akron NCAA,35,24,11,0.686,2.77,-2.08
4,Alabama NCAA,37,25,12,0.676,20.69,11.8
5,Alabama A&M,35,12,23,0.343,-14.35,-7.52
6,Alabama State,32,13,19,0.406,-11.73,-6.87
7,Albany (NY),32,13,19,0.406,-6.6,-5.22
8,Alcorn State,32,14,18,0.438,-11.58,-5.61
9,American,32,16,16,0.5,-8.96,-8.79
10,Appalachian State,34,27,7,0.794,6.04,-2.34
11,Arizona NCAA,36,27,9,0.75,24.54,9.45
12,Arizona State,32,14,18,0.438,4.58,9.55
13,Arkansas,33,16,17,0.485,6.12,8.15
14,Arkansas State,37,20,17,0.541,0.28,-1.53
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.56,-7.6
16,Army,32,10,22,0.313,-14.67,-8.93
17,Auburn NCAA,35,27,8,0.771,22.46,7.66
18,Austin Peay,35,19,16,0.543,-6.13,-4.85
19,Ball State,31,15,16,0.484,-6.68,-5.93
20,Baylor NCAA,35,24,11,0.686,19.5,10.71
21,Bellarmine,31,8,23,0.258,-11.79,-2.47
22,Belmont,33,20,13,0.606,2.79,1.44
23,Bethune-Cookman,34,17,17,0.5,-11.87,-8.87
24,Binghamton,30,15,15,0.5,-9.29,-5.21
25,Boise State NCAA,33,22,11,0.667,13.31,7.35
26,Boston College,36,20,16,0.556,9.48,7.25
27,Boston University,33,16,17,0.485,-9.93,-8.49
28,Bowling Green State,34,20,14,0.588,-4.93,-5.52
29,Bradley,35,23,12,0.657,9.48,2.96
30,Brigham Young NCAA,34,23,11,0.676,19.33,7.86
31,Brown,31,13,18,0.419,-3.6,-1.73
32,Bryant,33,20,13,0.606,-3.06,-3.54
33,Bucknell,33,14,19,0.424,-8.33,-6.39
34,Buffalo,31,4,27,0.129,-15.12,-2.82
35,Butler,33,18,15,0.545,12.18,9.49
36,Cal Poly,32,4,28,0.125,-13.64,-2.28
37,Cal State Bakersfield,32,13,19,0.406,-5.37,-2.17
38,Cal State Fullerton,32,14,18,0.438,-5.15,-1.15
39,Cal State Northridge,34,19,15,0.559,-4.78,-4.13
40,California,32,13,19,0.406,4.94,8
41,California Baptist,33,16,17,0.485,-2.32,-2.26
42,Campbell,32,14,18,0.438,-10.62,-5.66
43,Canisius,32,14,18,0.438,-7.95,-4.89
44,Central Arkansas,32,9,23,0.281,-15.7,-5.64
45,Central Connecticut State,31,20,11,0.645,-8.15,-10.15
46,Central Michigan,32,18,14,0.563,-8.07,-3.59
47,Charleston Southern,30,10,20,0.333,-12.03,-1.59
48,Charlotte,31,19,12,0.613,4.09,2.42
49,Chattanooga,33,21,12,0.636,-0.21,-3.85
50,Chicago State,32,13,19,0.406,-9.34,-3.03
51,Cincinnati,37,22,15,0.595,15.06,8.49
52,Clemson NCAA,36,24,12,0.667,16.2,10.04
53,Cleveland State,36,21,15,0.583,-3.47,-4.44
54,Coastal Carolina,31,9,22,0.29,-10.47,-2.88
55,Colgate NCAA,35,25,10,0.714,-0.31,-5.55
56,College of Charleston NCAA,35,27,8,0.771,4.09,-2.38
57,Colorado NCAA,37,26,11,0.703,15.95,8.36
58,Colorado State NCAA,36,25,11,0.694,13.4,7.28
59,Columbia,27,13,14,0.481,-5.43,-3.72
60,Connecticut NCAA,40,37,3,0.925,26.7,8.7
61,Coppin State,29,2,27,0.069,-21.46,-6.49
62,Cornell,30,22,8,0.733,3.58,-1.59
63,Creighton NCAA,35,25,10,0.714,20.07,9.53
64,Dartmouth,27,6,21,0.222,-13.99,-1.31
65,Davidson,32,15,17,0.469,3.63,3.3
66,Dayton NCAA,33,25,8,0.758,13.45,5.73
67,Delaware,33,19,14,0.576,-1.68,-4.3
68,Delaware State,34,15,19,0.441,-10.51,-7.58
69,Denver,34,17,17,0.5,-7.39,-4.82
70,DePaul,32,3,29,0.094,-6.23,10.8
71,Detroit Mercy,32,1,31,0.031,-16.9,-2.62
72,Drake NCAA,35,28,7,0.8,11.08,1.84
73,Drexel,32,20,12,0.625,1.14,-3.64
74,Duke NCAA,36,27,9,0.75,20.67,8.36
75,Duquesne NCAA,37,25,12,0.676,7.35,4.68
76,East Carolina,33,15,18,0.455,-0.62,1.32
77,East Tennessee State,35,19,16,0.543,-3.11,-2.74
78,East Texas A&M,33,13,20,0.394,-14.52,-5.19
79,Eastern Illinois,32,14,18,0.438,-11.6,-6.5
80,Eastern Kentucky,31,17,14,0.548,-5.42,-4.49
81,Eastern Michigan,31,13,18,0.419,-12.76,-5.07
