School,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian,30,18,12,0.6
Air Force,29,1,28,0.034
Akron NCAA,33,23,10,0.697
Alabama,30,14,16,0.467
Alabama A&M,30,6,24,0.2
Alabama State,30,16,14,0.533
Albany (NY) NCAA,33,28,5,0.848
Alcorn State,30,8,22,0.267
American,32,22,10,0.688
Appalachian State,29,13,16,0.448
Arizona,30,5,25,0.167
Arizona State NCAA,33,23,10,0.697
Arkansas,30,19,11,0.633
Arkansas State,34,22,12,0.647
Arkansas-Pine Bluff,29,3,26,0.103
Army NCAA,33,25,8,0.758
Auburn,34,19,15,0.559
Austin Peay,29,9,20,0.31
Ball State,35,18,17,0.514
Baylor NCAA,37,32,5,0.865
Belmont,32,14,18,0.438
Bethune-Cookman,30,12,18,0.4
Binghamton,30,5,25,0.167
Boise State,32,18,14,0.563
Boston College,31,12,19,0.387
Boston University,33,13,20,0.394
Bowling Green State,35,30,5,0.857
Bradley,30,8,22,0.267
Brigham Young NCAA,35,28,7,0.8
Brown,28,10,18,0.357
Bryant,32,17,15,0.531
Bucknell,30,16,14,0.533
Buffalo,30,17,13,0.567
Butler,31,15,16,0.484
Cal Poly,32,18,14,0.563
Cal State Bakersfield,31,19,12,0.613
Cal State Fullerton,30,12,18,0.4
Cal State Northridge NCAA,33,18,15,0.545
California NCAA,32,22,10,0.688
Campbell,31,19,12,0.613
Canisius,30,13,17,0.433
Central Arkansas,30,18,12,0.6
Central Connecticut State,28,11,17,0.393
Central Michigan,32,20,12,0.625
Charleston Southern,30,8,22,0.267
Charlotte,31,15,16,0.484
Chattanooga NCAA,33,29,4,0.879
Chicago State,30,3,27,0.1
Cincinnati,31,13,18,0.419
Clemson,32,13,19,0.406
Cleveland State,30,14,16,0.467
Coastal Carolina,31,15,16,0.484
Colgate,30,8,22,0.267
College of Charleston,34,19,15,0.559
Colorado,34,19,15,0.559
Colorado State,33,25,8,0.758
Columbia,28,6,22,0.214
